#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698708,54975750,HOR10_gp02,HOR10_gp02,BF2512_02,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210129,-
1698708,54975751,HOR10_gp03,HOR10_gp03,BF2512_03,-,-,-,putative DNA maturase A,protein-coding,-,-,-,putative DNA maturase A,20210129,-
1698708,54975752,HOR10_gp04,HOR10_gp04,BF2512_04,-,-,-,DNA maturase B,protein-coding,-,-,-,DNA maturase B,20210129,-
1698708,54975753,HOR10_gp05,HOR10_gp05,BF2512_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975754,HOR10_gp06,HOR10_gp06,BF2512_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975755,HOR10_gp07,HOR10_gp07,BF2512_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1698708,54975756,HOR10_gp08,HOR10_gp08,BF2512_08,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210129,-
1698708,54975757,HOR10_gp09,HOR10_gp09,BF2512_09,-,-,-,putative tailspike protein,protein-coding,-,-,-,putative tailspike protein,20201221,-
1698708,54975758,HOR10_gp10,HOR10_gp10,BF2512_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975759,HOR10_gp11,HOR10_gp11,BF2512_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975760,HOR10_gp12,HOR10_gp12,BF2512_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975761,HOR10_gp13,HOR10_gp13,BF2512_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975762,HOR10_gp14,HOR10_gp14,BF2512_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975763,HOR10_gp15,HOR10_gp15,BF2512_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975764,HOR10_gp16,HOR10_gp16,BF2512_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975765,HOR10_gp17,HOR10_gp17,BF2512_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1698708,54975766,HOR10_gp18,HOR10_gp18,BF2512_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975767,HOR10_gp19,HOR10_gp19,BF2512_19,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210129,-
1698708,54975768,HOR10_gp20,HOR10_gp20,BF2512_20,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210129,-
1698708,54975769,HOR10_gp21,HOR10_gp21,BF2512_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975770,HOR10_gp22,HOR10_gp22,BF2512_22,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210129,-
1698708,54975771,HOR10_gp23,HOR10_gp23,BF2512_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975772,HOR10_gp24,HOR10_gp24,BF2512_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975773,HOR10_gp25,HOR10_gp25,BF2512_25,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210129,-
1698708,54975774,HOR10_gp26,HOR10_gp26,BF2512_26,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210129,-
1698708,54975775,HOR10_gp27,HOR10_gp27,BF2512_27,-,-,-,putative DNA polymerase I,protein-coding,-,-,-,putative DNA polymerase I,20210129,-
1698708,54975776,HOR10_gp28,HOR10_gp28,BF2512_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975777,HOR10_gp29,HOR10_gp29,BF2512_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1698708,54975778,HOR10_gp30,HOR10_gp30,BF2512_30,-,-,-,putative DNA exonuclease,protein-coding,-,-,-,putative DNA exonuclease,20210129,-
1698708,54975779,HOR10_gp31,HOR10_gp31,BF2512_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1698708,54975780,HOR10_gp32,HOR10_gp32,BF2512_32,-,-,-,putative DNA endonuclease,protein-coding,-,-,-,putative DNA endonuclease,20210129,-
1698708,54975781,HOR10_gp33,HOR10_gp33,BF2512_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975782,HOR10_gp34,HOR10_gp34,BF2512_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1698708,54975783,HOR10_gp35,HOR10_gp35,BF2512_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1698708,54975784,HOR10_gp36,HOR10_gp36,BF2512_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975785,HOR10_gp37,HOR10_gp37,BF2512_37,-,-,-,putative polynucleotide kinase/phosphatase,protein-coding,-,-,-,putative polynucleotide kinase/phosphatase,20210129,-
1698708,54975786,HOR10_gp38,HOR10_gp38,BF2512_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1698708,54975787,HOR10_gp39,HOR10_gp39,BF2512_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975788,HOR10_gp40,HOR10_gp40,BF2512_40,-,-,-,putative RNA polymerase,protein-coding,-,-,-,putative RNA polymerase,20210129,-
1698708,54975789,HOR10_gp41,HOR10_gp41,BF2512_42,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210129,-
1698708,54975790,HOR10_gp42,HOR10_gp42,BF2512_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975791,HOR10_gp43,HOR10_gp43,BF2512_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975792,HOR10_gp44,HOR10_gp44,BF2512_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1698708,54975793,HOR10_gp45,HOR10_gp45,BF2512_46,-,-,-,putative head-tail connector protein,protein-coding,-,-,-,putative head-tail connector protein,20210129,-
1698708,54975794,HOR10_gp46,HOR10_gp46,BF2512_47,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20210129,-
1698708,54975795,HOR10_gp47,HOR10_gp47,BF2512_48,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20210129,-
1698708,54975796,HOR10_gp48,HOR10_gp48,BF2512_49,-,-,-,putative tail tubular protein A,protein-coding,-,-,-,putative tail tubular protein A,20210129,-
1698708,54975797,HOR10_gp49,HOR10_gp49,BF2512_50,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20201221,-
1698708,54975798,HOR10_gp50,HOR10_gp50,BF2512_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1698708,54975799,HOR10_gp51,HOR10_gp51,BF2512_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698708,54975800,HOR10_gp01,HOR10_gp01,BF2512_01,-,-,-,putative internal core protein,protein-coding,-,-,-,putative internal core protein,20210129,-
