#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701257,26522898,ABY59_0200047,ABY59_0200047,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1701257,26522899,ABY59_0200048,ABY59_0200048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522900,ABY59_0200049,ABY59_0200049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522901,ABY59_0200050,ABY59_0200050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522902,ABY59_0200051,ABY59_0200051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522903,ABY59_0200052,ABY59_0200052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522904,ABY59_0200053,ABY59_0200053,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1701257,26522905,ABY59_0200054,ABY59_0200054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522906,ABY59_0200055,ABY59_0200055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522907,ABY59_0200056,ABY59_0200056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522908,ABY59_0200057,ABY59_0200057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522909,ABY59_0200058,ABY59_0200058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522910,ABY59_0200059,ABY59_0200059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522911,ABY59_0200060,ABY59_0200060,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1701257,26522912,ABY59_0200061,ABY59_0200061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522913,ABY59_0200062,ABY59_0200062,-,-,-,-,putative replicative helicase/primease,protein-coding,-,-,-,putative replicative helicase/primease,20201221,-
1701257,26522915,ABY59_0200001,ABY59_0200001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522916,ABY59_0200002,ABY59_0200002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522917,ABY59_0200003,ABY59_0200003,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1701257,26522918,ABY59_0200004,ABY59_0200004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522919,ABY59_0200005,ABY59_0200005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522920,ABY59_0200006,ABY59_0200006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522921,ABY59_0200007,ABY59_0200007,-,-,-,-,putative holin-like class I,protein-coding,-,-,-,putative holin-like class I,20201221,-
1701257,26522922,ABY59_0200008,ABY59_0200008,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1701257,26522923,ABY59_0200009,ABY59_0200009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701257,26522924,ABY59_0200010,ABY59_0200010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
