#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701798,40077332,FDH47_gp02,FDH47_gp02,SEA_BRENT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1701798,40077333,FDH47_gp03,FDH47_gp03,SEA_BRENT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1701798,40077334,FDH47_gp04,FDH47_gp04,SEA_BRENT_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077335,FDH47_gp05,FDH47_gp05,SEA_BRENT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077336,FDH47_gp06,FDH47_gp06,SEA_BRENT_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
1701798,40077337,FDH47_gp07,FDH47_gp07,SEA_BRENT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077338,FDH47_gp08,FDH47_gp08,SEA_BRENT_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1701798,40077339,FDH47_gp09,FDH47_gp09,SEA_BRENT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077340,FDH47_gp10,FDH47_gp10,SEA_BRENT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077341,FDH47_gp11,FDH47_gp11,SEA_BRENT_11,-,-,-,head-tail connector,protein-coding,-,-,-,head-tail connector,20201221,-
1701798,40077342,FDH47_gp12,FDH47_gp12,SEA_BRENT_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077343,FDH47_gp13,FDH47_gp13,SEA_BRENT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077344,FDH47_gp14,FDH47_gp14,SEA_BRENT_14,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20201221,-
1701798,40077345,FDH47_gp15,FDH47_gp15,SEA_BRENT_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077346,FDH47_gp16,FDH47_gp16,SEA_BRENT_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077347,FDH47_gp17,FDH47_gp17,SEA_BRENT_17,-,-,-,putative tapemeasure,protein-coding,-,-,-,putative tapemeasure,20201221,-
1701798,40077348,FDH47_gp18,FDH47_gp18,SEA_BRENT_18,-,-,-,peptidoglycan-binding protein,protein-coding,-,-,-,peptidoglycan-binding protein,20201221,-
1701798,40077349,FDH47_gp19,FDH47_gp19,SEA_BRENT_19,-,-,-,peptidoglycan hydrolase,protein-coding,-,-,-,peptidoglycan hydrolase,20201221,-
1701798,40077350,FDH47_gp20,FDH47_gp20,SEA_BRENT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077351,FDH47_gp21,FDH47_gp21,SEA_BRENT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077352,FDH47_gp22,FDH47_gp22,SEA_BRENT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077353,FDH47_gp23,FDH47_gp23,SEA_BRENT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077354,FDH47_gp24,FDH47_gp24,SEA_BRENT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077355,FDH47_gp25,FDH47_gp25,SEA_BRENT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077356,FDH47_gp26,FDH47_gp26,SEA_BRENT_26,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1701798,40077357,FDH47_gp27,FDH47_gp27,SEA_BRENT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077358,FDH47_gp28,FDH47_gp28,SEA_BRENT_28,-,-,-,tail lysozyme,protein-coding,-,-,-,tail lysozyme,20201221,-
1701798,40077359,FDH47_gp29,FDH47_gp29,SEA_BRENT_29,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20201221,-
1701798,40077360,FDH47_gp30,FDH47_gp30,SEA_BRENT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077361,FDH47_gp31,FDH47_gp31,SEA_BRENT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077362,FDH47_gp32,FDH47_gp32,SEA_BRENT_32,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
