#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701812,30307112,BOX03_gp02,BOX03_gp02,phiARI0031_2,-,-,-,N-acetylmuramoyl-L-alanine amidase family protein,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase family protein,20201221,-
1701812,30307113,BOX03_gp03,BOX03_gp03,phiARI0031_3,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1701812,30307114,BOX03_gp04,BOX03_gp04,phiARI0031_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701812,30307115,BOX03_gp05,BOX03_gp05,phiARI0031_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701812,30307116,BOX03_gp06,BOX03_gp06,phiARI0031_6,-,-,-,peptidase_S74 domain protein,protein-coding,-,-,-,peptidase_S74 domain protein,20200629,-
1701812,30307117,BOX03_gp07,BOX03_gp07,phiARI0031_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701812,30307118,BOX03_gp08,BOX03_gp08,phiARI0031_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701812,30307119,BOX03_gp09,BOX03_gp09,phiARI0031_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701812,30307120,BOX03_gp10,BOX03_gp10,phiARI0031_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701812,30307121,BOX03_gp11,BOX03_gp11,phiARI0031_11,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1701812,30307122,BOX03_gp12,BOX03_gp12,phiARI0031_12,-,-,-,DUF3168 domain protein,protein-coding,-,-,-,DUF3168 domain protein,20200629,-
1701812,30307123,BOX03_gp13,BOX03_gp13,phiARI0031_13,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201221,-
1701812,30307124,BOX03_gp14,BOX03_gp14,phiARI0031_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701812,30307125,BOX03_gp15,BOX03_gp15,phiARI0031_15,-,-,-,Rho termination factor N-terminal domain-containing protein,protein-coding,-,-,-,Rho termination factor N-terminal domain-containing protein,20210417,-
1701812,30307126,BOX03_gp16,BOX03_gp16,phiARI0031_16,-,-,-,N4-gp56 family major capsid protein,protein-coding,-,-,-,N4-gp56 family major capsid protein,20210417,-
1701812,30307127,BOX03_gp17,BOX03_gp17,phiARI0031_17,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20210417,-
1701812,30307128,BOX03_gp18,BOX03_gp18,phiARI0031_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701812,30307129,BOX03_gp19,BOX03_gp19,phiARI0031_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701812,30307130,BOX03_gp20,BOX03_gp20,phiARI0031_20,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
