#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701852,63208974,J4T93_gp002,J4T93_gp002,SEA_LUMOS_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210322,-
1701852,63208975,J4T93_gp003,J4T93_gp003,SEA_LUMOS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63208976,J4T93_gp004,J4T93_gp004,SEA_LUMOS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63208977,J4T93_gp005,J4T93_gp005,SEA_LUMOS_5,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210322,-
1701852,63208978,J4T93_gp006,J4T93_gp006,SEA_LUMOS_6,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1701852,63208979,J4T93_gp007,J4T93_gp007,SEA_LUMOS_7,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210322,-
1701852,63208980,J4T93_gp008,J4T93_gp008,SEA_LUMOS_8,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
1701852,63208981,J4T93_gp009,J4T93_gp009,SEA_LUMOS_9,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1701852,63208982,J4T93_gp010,J4T93_gp010,SEA_LUMOS_10,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210425,-
1701852,63208983,J4T93_gp011,J4T93_gp011,SEA_LUMOS_11,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210322,-
1701852,63208984,J4T93_gp012,J4T93_gp012,SEA_LUMOS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63208985,J4T93_gp013,J4T93_gp013,SEA_LUMOS_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210322,-
1701852,63208986,J4T93_gp014,J4T93_gp014,SEA_LUMOS_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
1701852,63208987,J4T93_gp015,J4T93_gp015,SEA_LUMOS_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210322,-
1701852,63208988,J4T93_gp017,J4T93_gp017,SEA_LUMOS_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210322,-
1701852,63208989,J4T93_gp016,J4T93_gp016,SEA_LUMOS_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210322,-
1701852,63208990,J4T93_gp018,J4T93_gp018,SEA_LUMOS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
1701852,63208991,J4T93_gp019,J4T93_gp019,SEA_LUMOS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
1701852,63208992,J4T93_gp020,J4T93_gp020,SEA_LUMOS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
1701852,63208993,J4T93_gp021,J4T93_gp021,SEA_LUMOS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63208994,J4T93_gp022,J4T93_gp022,SEA_LUMOS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63208995,J4T93_gp023,J4T93_gp023,SEA_LUMOS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63208996,J4T93_gp024,J4T93_gp024,SEA_LUMOS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63208997,J4T93_gp025,J4T93_gp025,SEA_LUMOS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63208998,J4T93_gp026,J4T93_gp026,SEA_LUMOS_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1701852,63208999,J4T93_gp027,J4T93_gp027,SEA_LUMOS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1701852,63209000,J4T93_gp028,J4T93_gp028,SEA_LUMOS_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210322,-
1701852,63209001,J4T93_gp029,J4T93_gp029,SEA_LUMOS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209002,J4T93_gp030,J4T93_gp030,SEA_LUMOS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209003,J4T93_gp031,J4T93_gp031,SEA_LUMOS_31,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
1701852,63209004,J4T93_gp032,J4T93_gp032,SEA_LUMOS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209005,J4T93_gp033,J4T93_gp033,SEA_LUMOS_33,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210424,-
1701852,63209006,J4T93_gp034,J4T93_gp034,SEA_LUMOS_34,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20210424,-
1701852,63209007,J4T93_gp035,J4T93_gp035,SEA_LUMOS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209008,J4T93_gp036,J4T93_gp036,SEA_LUMOS_36,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210427,-
1701852,63209009,J4T93_gp037,J4T93_gp037,SEA_LUMOS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209010,J4T93_gp038,J4T93_gp038,SEA_LUMOS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209011,J4T93_gp039,J4T93_gp039,SEA_LUMOS_39,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210424,-
1701852,63209012,J4T93_gp040,J4T93_gp040,SEA_LUMOS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1701852,63209013,J4T93_gp041,J4T93_gp041,SEA_LUMOS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209014,J4T93_gp042,J4T93_gp042,SEA_LUMOS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209015,J4T93_gp043,J4T93_gp043,SEA_LUMOS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1701852,63209016,J4T93_gp044,J4T93_gp044,SEA_LUMOS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209017,J4T93_gp045,J4T93_gp045,SEA_LUMOS_45,-,-,-,esterase,protein-coding,-,-,-,esterase,20210425,-
1701852,63209018,J4T93_gp046,J4T93_gp046,SEA_LUMOS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209019,J4T93_gp047,J4T93_gp047,SEA_LUMOS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209020,J4T93_gp048,J4T93_gp048,SEA_LUMOS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209021,J4T93_gp049,J4T93_gp049,SEA_LUMOS_49,-,-,-,band-7-like membrane protein,protein-coding,-,-,-,band-7-like membrane protein,20210322,-
1701852,63209022,J4T93_gt001,J4T93_gt001,SEA_LUMOS_50,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
1701852,63209023,J4T93_gp128,J4T93_gp128,SEA_LUMOS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209024,J4T93_gp127,J4T93_gp127,SEA_LUMOS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209025,J4T93_gp126,J4T93_gp126,SEA_LUMOS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209026,J4T93_gp125,J4T93_gp125,SEA_LUMOS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209027,J4T93_gp124,J4T93_gp124,SEA_LUMOS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209028,J4T93_gp123,J4T93_gp123,SEA_LUMOS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1701852,63209029,J4T93_gp122,J4T93_gp122,SEA_LUMOS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209030,J4T93_gp121,J4T93_gp121,SEA_LUMOS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209031,J4T93_gp120,J4T93_gp120,SEA_LUMOS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209032,J4T93_gp119,J4T93_gp119,SEA_LUMOS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209033,J4T93_gp118,J4T93_gp118,SEA_LUMOS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209034,J4T93_gp117,J4T93_gp117,SEA_LUMOS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209035,J4T93_gp116,J4T93_gp116,SEA_LUMOS_63,-,-,-,ERF family ssDNA binding protein,protein-coding,-,-,-,ERF family ssDNA binding protein,20210322,-
1701852,63209036,J4T93_gp115,J4T93_gp115,SEA_LUMOS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209037,J4T93_gp114,J4T93_gp114,SEA_LUMOS_65,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210424,-
1701852,63209038,J4T93_gp113,J4T93_gp113,SEA_LUMOS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209039,J4T93_gp112,J4T93_gp112,SEA_LUMOS_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1701852,63209040,J4T93_gp111,J4T93_gp111,SEA_LUMOS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209041,J4T93_gp110,J4T93_gp110,SEA_LUMOS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209042,J4T93_gp109,J4T93_gp109,SEA_LUMOS_70,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210424,-
1701852,63209043,J4T93_gp108,J4T93_gp108,SEA_LUMOS_71,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210322,-
1701852,63209044,J4T93_gp107,J4T93_gp107,SEA_LUMOS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209045,J4T93_gp106,J4T93_gp106,SEA_LUMOS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209046,J4T93_gp105,J4T93_gp105,SEA_LUMOS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209047,J4T93_gp104,J4T93_gp104,SEA_LUMOS_75,-,-,-,phosphoribosyl pyrophosphate transferase,protein-coding,-,-,-,phosphoribosyl pyrophosphate transferase,20210322,-
1701852,63209048,J4T93_gp103,J4T93_gp103,SEA_LUMOS_76,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20210427,-
1701852,63209049,J4T93_gp102,J4T93_gp102,SEA_LUMOS_77,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210322,-
1701852,63209050,J4T93_gp101,J4T93_gp101,SEA_LUMOS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209051,J4T93_gp100,J4T93_gp100,SEA_LUMOS_79,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210529,-
1701852,63209052,J4T93_gp099,J4T93_gp099,SEA_LUMOS_80,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
1701852,63209053,J4T93_gp098,J4T93_gp098,SEA_LUMOS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209054,J4T93_gp097,J4T93_gp097,SEA_LUMOS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209055,J4T93_gp096,J4T93_gp096,SEA_LUMOS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209056,J4T93_gp095,J4T93_gp095,SEA_LUMOS_84,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210424,-
1701852,63209057,J4T93_gp094,J4T93_gp094,SEA_LUMOS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209058,J4T93_gp093,J4T93_gp093,SEA_LUMOS_86,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210424,-
1701852,63209059,J4T93_gp092,J4T93_gp092,SEA_LUMOS_87,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20210425,-
1701852,63209060,J4T93_gp091,J4T93_gp091,SEA_LUMOS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1701852,63209061,J4T93_gp090,J4T93_gp090,SEA_LUMOS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209062,J4T93_gp089,J4T93_gp089,SEA_LUMOS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209063,J4T93_gp088,J4T93_gp088,SEA_LUMOS_91,-,-,-,excise,protein-coding,-,-,-,excise,20210322,-
1701852,63209064,J4T93_gp087,J4T93_gp087,SEA_LUMOS_92,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1701852,63209065,J4T93_gp086,J4T93_gp086,SEA_LUMOS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209066,J4T93_gp085,J4T93_gp085,SEA_LUMOS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1701852,63209067,J4T93_gp084,J4T93_gp084,SEA_LUMOS_95,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210424,-
1701852,63209068,J4T93_gp083,J4T93_gp083,SEA_LUMOS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209069,J4T93_gp082,J4T93_gp082,SEA_LUMOS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209070,J4T93_gp081,J4T93_gp081,SEA_LUMOS_98,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210322,-
1701852,63209071,J4T93_gp080,J4T93_gp080,SEA_LUMOS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209072,J4T93_gp079,J4T93_gp079,SEA_LUMOS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209073,J4T93_gp078,J4T93_gp078,SEA_LUMOS_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209074,J4T93_gp077,J4T93_gp077,SEA_LUMOS_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209075,J4T93_gt002,J4T93_gt002,SEA_LUMOS_103,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
1701852,63209076,J4T93_gp076,J4T93_gp076,SEA_LUMOS_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209077,J4T93_gt003,J4T93_gt003,SEA_LUMOS_105,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
1701852,63209078,J4T93_gp075,J4T93_gp075,SEA_LUMOS_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209079,J4T93_gt004,J4T93_gt004,SEA_LUMOS_107,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
1701852,63209080,J4T93_gt005,J4T93_gt005,SEA_LUMOS_108,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
1701852,63209081,J4T93_gt006,J4T93_gt006,SEA_LUMOS_109,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
1701852,63209082,J4T93_gp074,J4T93_gp074,SEA_LUMOS_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209083,J4T93_gt007,J4T93_gt007,SEA_LUMOS_111,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
1701852,63209084,J4T93_gt008,J4T93_gt008,SEA_LUMOS_112,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
1701852,63209085,J4T93_gp073,J4T93_gp073,SEA_LUMOS_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209086,J4T93_gp072,J4T93_gp072,SEA_LUMOS_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209087,J4T93_gt009,J4T93_gt009,SEA_LUMOS_115,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
1701852,63209088,J4T93_gt010,J4T93_gt010,SEA_LUMOS_116,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
1701852,63209089,J4T93_gp071,J4T93_gp071,SEA_LUMOS_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209090,J4T93_gp001,J4T93_gp001,SEA_LUMOS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209091,J4T93_gp070,J4T93_gp070,SEA_LUMOS_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209092,J4T93_gp069,J4T93_gp069,SEA_LUMOS_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209093,J4T93_gp068,J4T93_gp068,SEA_LUMOS_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209094,J4T93_gp067,J4T93_gp067,SEA_LUMOS_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209095,J4T93_gp066,J4T93_gp066,SEA_LUMOS_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209096,J4T93_gp065,J4T93_gp065,SEA_LUMOS_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209097,J4T93_gp064,J4T93_gp064,SEA_LUMOS_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1701852,63209098,J4T93_gp063,J4T93_gp063,SEA_LUMOS_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209099,J4T93_gp062,J4T93_gp062,SEA_LUMOS_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209100,J4T93_gp061,J4T93_gp061,SEA_LUMOS_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209101,J4T93_gp060,J4T93_gp060,SEA_LUMOS_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209102,J4T93_gp059,J4T93_gp059,SEA_LUMOS_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209103,J4T93_gp058,J4T93_gp058,SEA_LUMOS_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209104,J4T93_gp057,J4T93_gp057,SEA_LUMOS_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209105,J4T93_gp056,J4T93_gp056,SEA_LUMOS_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209106,J4T93_gp055,J4T93_gp055,SEA_LUMOS_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
1701852,63209107,J4T93_gp054,J4T93_gp054,SEA_LUMOS_134,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
1701852,63209108,J4T93_gp053,J4T93_gp053,SEA_LUMOS_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
