#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
179237,929304,PBC5_gp07,PBC5_gp07,PBC5_000007,-,-,-,N4-gp56 family major capsid protein,protein-coding,-,-,-,N4-gp56 family major capsid protein,20210603,-
179237,929312,PBC5_gp55,PBC5_gp55,PBC5_000055,-,-,-,DUF5131 family protein,protein-coding,-,-,-,DUF5131 family protein,20210603,-
179237,929313,PBC5_gp14,PBC5_gp14,PBC5_000014,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210603,-
179237,929317,PBC5_gp50,PBC5_gp50,PBC5_000050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929319,PBC5_gp27,PBC5_gp27,PBC5_000027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929321,PBC5_gp49,PBC5_gp49,PBC5_000049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929324,PBC5_gp43,PBC5_gp43,PBC5_000043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929325,PBC5_gp45,PBC5_gp45,PBC5_000045,-,-,-,C4-dicarboxylate ABC transporter substrate-binding protein,protein-coding,-,-,-,C4-dicarboxylate ABC transporter substrate-binding protein,20210603,-
179237,929326,PBC5_gp42,PBC5_gp42,PBC5_000042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929328,PBC5_gp04,PBC5_gp04,PBC5_000004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929332,PBC5_gp32,PBC5_gp32,PBC5_000032,-,-,-,DUF1376 domain-containing protein,protein-coding,-,-,-,DUF1376 domain-containing protein,20210603,-
179237,929333,PBC5_gp38,PBC5_gp38,PBC5_000038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929337,PBC5_gp52,PBC5_gp52,PBC5_000052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929338,PBC5_gp05,PBC5_gp05,PBC5_000005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929339,PBC5_gp56,PBC5_gp56,PBC5_000056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929343,PBC5_gp30,PBC5_gp30,PBC5_000030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929344,PBC5_gp24,PBC5_gp24,PBC5_000024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929345,PBC5_gp16,PBC5_gp16,PBC5_000016,-,-,-,SGNH/GDSL hydrolase family protein,protein-coding,-,-,-,SGNH/GDSL hydrolase family protein,20210603,-
179237,929346,PBC5_gp11,PBC5_gp11,PBC5_000011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929347,PBC5_gp10,PBC5_gp10,PBC5_000010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929349,PBC5_gp53,PBC5_gp53,PBC5_000053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929350,PBC5_gp48,PBC5_gp48,PBC5_000048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929351,PBC5_gp44,PBC5_gp44,PBC5_000044,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210603,-
179237,929352,PBC5_gp29,PBC5_gp29,PBC5_000029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929353,PBC5_gp36,PBC5_gp36,PBC5_000036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929355,PBC5_gp15,PBC5_gp15,PBC5_000015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929361,PBC5_gp40,PBC5_gp40,PBC5_000040,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210603,-
179237,929363,PBC5_gp47,PBC5_gp47,PBC5_000047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929364,PBC5_gp35,PBC5_gp35,PBC5_000035,-,-,-,DUF2312 domain-containing protein,protein-coding,-,-,-,DUF2312 domain-containing protein,20210603,-
179237,929366,PBC5_gp59,PBC5_gp59,PBC5_000059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929369,PBC5_gp19,PBC5_gp19,PBC5_000019,-,-,-,tail fiber domain-containing protein,protein-coding,-,-,-,tail fiber domain-containing protein,20210603,-
179237,929370,PBC5_gp03,PBC5_gp03,PBC5_000003,-,-,-,integrase arm-type DNA-binding domain-containing protein,protein-coding,-,-,-,integrase arm-type DNA-binding domain-containing protein,20210603,-
179237,929371,PBC5_gp39,PBC5_gp39,PBC5_000039,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210603,-
179237,929372,PBC5_gp20,PBC5_gp20,PBC5_000020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929375,PBC5_gp22,PBC5_gp22,PBC5_000022,-,-,-,PLxRFG domain-containing protein,protein-coding,-,-,-,PLxRFG domain-containing protein,20210603,-
