#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821538,29124817,2,BJD69_gp02,SEA_XENO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821538,29124818,3,BJD69_gp03,SEA_XENO_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124819,4,BJD69_gp04,SEA_XENO_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1821538,29124820,5,BJD69_gp05,SEA_XENO_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1821538,29124821,6,BJD69_gp06,SEA_XENO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821538,29124822,7,BJD69_gp07,SEA_XENO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124823,8,BJD69_gp08,SEA_XENO_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124824,9,BJD69_gp09,SEA_XENO_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1821538,29124825,10,BJD69_gp10,SEA_XENO_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124826,11,BJD69_gp11,SEA_XENO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821538,29124827,12,BJD69_gp12,SEA_XENO_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1821538,29124828,13,BJD69_gp13,SEA_XENO_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1821538,29124829,15,BJD69_gp14,SEA_XENO_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821538,29124830,16,BJD69_gp16,SEA_XENO_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1821538,29124831,14,BJD69_gp15,SEA_XENO_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821538,29124832,17,BJD69_gp17,SEA_XENO_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821538,29124833,18,BJD69_gp18,SEA_XENO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821538,29124834,19,BJD69_gp19,SEA_XENO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821538,29124835,20,BJD69_gp20,SEA_XENO_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821538,29124836,21,BJD69_gp21,SEA_XENO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124837,22,BJD69_gp22,SEA_XENO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124838,23,BJD69_gp23,SEA_XENO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124839,24,BJD69_gp24,SEA_XENO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124840,25,BJD69_gp25,SEA_XENO_25,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20201217,-
1821538,29124841,26,BJD69_gp26,SEA_XENO_26,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20200927,-
1821538,29124842,27,BJD69_gp27,SEA_XENO_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1821538,29124843,28,BJD69_gp28,SEA_XENO_28,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1821538,29124844,29,BJD69_gp29,SEA_XENO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124845,30,BJD69_gp30,SEA_XENO_30,-,-,-,HicB-like antitoxin,protein-coding,-,-,-,HicB-like antitoxin,20200927,-
1821538,29124846,31,BJD69_gp31,SEA_XENO_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124847,32,BJD69_gp32,SEA_XENO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1821538,29124848,33,BJD69_gp33,SEA_XENO_33,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1821538,29124849,34,BJD69_gp34,SEA_XENO_34,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1821538,29124850,35,BJD69_gp35,SEA_XENO_35,-,-,-,excise,protein-coding,-,-,-,excise,20200927,-
1821538,29124851,36,BJD69_gp36,SEA_XENO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124852,37,BJD69_gp37,SEA_XENO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124853,38,BJD69_gp38,SEA_XENO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124854,39,BJD69_gp39,SEA_XENO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124855,40,BJD69_gp40,SEA_XENO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821538,29124856,41,BJD69_gp41,SEA_XENO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124857,42,BJD69_gp42,SEA_XENO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124858,43,BJD69_gp43,SEA_XENO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124859,44,BJD69_gp44,SEA_XENO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124860,45,BJD69_gp45,SEA_XENO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124861,46,BJD69_gp46,SEA_XENO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124862,47,BJD69_gp47,SEA_XENO_47,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210123,-
1821538,29124863,48,BJD69_gp48,SEA_XENO_48,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200927,-
1821538,29124864,49,BJD69_gp49,SEA_XENO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124865,50,BJD69_gp50,SEA_XENO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124866,51,BJD69_gp51,SEA_XENO_51,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20200927,-
1821538,29124867,52,BJD69_gp52,SEA_XENO_52,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210424,-
1821538,29124868,53,BJD69_gp53,SEA_XENO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124869,54,BJD69_gp54,SEA_XENO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124870,55,BJD69_gp55,SEA_XENO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124871,56,BJD69_gp56,SEA_XENO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124872,57,BJD69_gp57,SEA_XENO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124873,58,BJD69_gp58,SEA_XENO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124874,59,BJD69_gp59,SEA_XENO_59,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1821538,29124875,60,BJD69_gp60,SEA_XENO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124876,61,BJD69_gp61,SEA_XENO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124877,62,BJD69_gp62,SEA_XENO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124878,63,BJD69_gp63,SEA_XENO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124879,64,BJD69_gp64,SEA_XENO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124880,65,BJD69_gp65,SEA_XENO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124881,66,BJD69_gp66,SEA_XENO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124882,67,BJD69_gp67,SEA_XENO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124883,68,BJD69_gp68,SEA_XENO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29124884,69,BJD69_gp69,SEA_XENO_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821538,29124885,1,BJD69_gp01,SEA_XENO_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821538,29140827,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Xeno).,other,-,-,-,-,20200513,-
