#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821548,40071336,2,FDH00_gp02,SEA_ATTIS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821548,40071337,3,FDH00_gp03,SEA_ATTIS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1821548,40071338,4,FDH00_gp04,SEA_ATTIS_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1821548,40071339,5,FDH00_gp05,SEA_ATTIS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821548,40071340,6,FDH00_gp06,SEA_ATTIS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1821548,40071341,7,FDH00_gp07,SEA_ATTIS_7,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1821548,40071342,8,FDH00_gp08,SEA_ATTIS_8,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1821548,40071343,9,FDH00_gp09,SEA_ATTIS_9,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1821548,40071344,10,FDH00_gp10,SEA_ATTIS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071345,11,FDH00_gp11,SEA_ATTIS_11,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210425,-
1821548,40071346,12,FDH00_gp12,SEA_ATTIS_12,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1821548,40071347,13,FDH00_gp13,SEA_ATTIS_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821548,40071348,14,FDH00_gp14,SEA_ATTIS_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821548,40071349,15,FDH00_gp15,SEA_ATTIS_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071350,16,FDH00_gp16,SEA_ATTIS_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821548,40071351,17,FDH00_gp17,SEA_ATTIS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071352,18,FDH00_gp18,SEA_ATTIS_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071353,19,FDH00_gp19,SEA_ATTIS_19,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1821548,40071354,20,FDH00_gp20,SEA_ATTIS_20,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821548,40071355,21,FDH00_gp21,SEA_ATTIS_21,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821548,40071356,22,FDH00_gp22,SEA_ATTIS_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821548,40071357,23,FDH00_gp23,SEA_ATTIS_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821548,40071358,24,FDH00_gp24,SEA_ATTIS_24,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1821548,40071359,25,FDH00_gp25,SEA_ATTIS_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821548,40071360,26,FDH00_gp26,SEA_ATTIS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071361,27,FDH00_gp27,SEA_ATTIS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071362,28,FDH00_gp28,SEA_ATTIS_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821548,40071363,29,FDH00_gp29,SEA_ATTIS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071364,30,FDH00_gp30,SEA_ATTIS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071365,31,FDH00_gp31,SEA_ATTIS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071366,32,FDH00_gp32,SEA_ATTIS_32,-,-,-,toxin,protein-coding,-,-,-,toxin,20201221,-
1821548,40071367,33,FDH00_gp33,SEA_ATTIS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071368,34,FDH00_gp34,SEA_ATTIS_34,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1821548,40071369,35,FDH00_gp35,SEA_ATTIS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071370,36,FDH00_gp36,SEA_ATTIS_36,-,-,-,MazE antitoxin,protein-coding,-,-,-,MazE antitoxin,20201221,-
1821548,40071371,37,FDH00_gp37,SEA_ATTIS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071372,38,FDH00_gp38,SEA_ATTIS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071373,39,FDH00_gp39,SEA_ATTIS_39,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1821548,40071374,40,FDH00_gp40,SEA_ATTIS_40,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20201221,-
1821548,40071375,41,FDH00_gp41,SEA_ATTIS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071376,42,FDH00_gp42,SEA_ATTIS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071377,43,FDH00_gp43,SEA_ATTIS_43,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1821548,40071378,44,FDH00_gp44,SEA_ATTIS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071379,45,FDH00_gp45,SEA_ATTIS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071380,46,FDH00_gp46,SEA_ATTIS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071381,47,FDH00_gp47,SEA_ATTIS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071382,48,FDH00_gp48,SEA_ATTIS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071383,49,FDH00_gp49,SEA_ATTIS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071384,50,FDH00_gp50,SEA_ATTIS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071385,51,FDH00_gp51,SEA_ATTIS_51,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1821548,40071386,52,FDH00_gp52,SEA_ATTIS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071387,53,FDH00_gp53,SEA_ATTIS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071388,54,FDH00_gp54,SEA_ATTIS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071389,55,FDH00_gp55,SEA_ATTIS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071390,56,FDH00_gp56,SEA_ATTIS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071391,57,FDH00_gp57,SEA_ATTIS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071392,58,FDH00_gp58,SEA_ATTIS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071393,59,FDH00_gp59,SEA_ATTIS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071394,60,FDH00_gp60,SEA_ATTIS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071395,61,FDH00_gp61,SEA_ATTIS_61,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20201221,-
1821548,40071396,62,FDH00_gp62,SEA_ATTIS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071397,63,FDH00_gp63,SEA_ATTIS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071398,64,FDH00_gp64,SEA_ATTIS_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1821548,40071399,65,FDH00_gp65,SEA_ATTIS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071400,66,FDH00_gp66,SEA_ATTIS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071401,67,FDH00_gp67,SEA_ATTIS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071402,68,FDH00_gp68,SEA_ATTIS_68,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
1821548,40071403,69,FDH00_gp69,SEA_ATTIS_69,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20201221,-
1821548,40071404,70,FDH00_gp70,SEA_ATTIS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071405,71,FDH00_gp71,SEA_ATTIS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071406,72,FDH00_gp72,SEA_ATTIS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071407,73,FDH00_gp73,SEA_ATTIS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821548,40071408,74,FDH00_gp74,SEA_ATTIS_74,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1821548,40071409,1,FDH00_gp01,SEA_ATTIS_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1821548,40120314,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
