#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821557,29123268,2,BJD62_gp02,SEA_LUCKY10_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821557,29123269,3,BJD62_gp03,SEA_LUCKY10_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1821557,29123270,4,BJD62_gp04,SEA_LUCKY10_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1821557,29123271,5,BJD62_gp05,SEA_LUCKY10_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1821557,29123272,6,BJD62_gp06,SEA_LUCKY10_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1821557,29123273,7,BJD62_gp07,SEA_LUCKY10_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123274,8,BJD62_gp08,SEA_LUCKY10_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123275,9,BJD62_gp09,SEA_LUCKY10_9,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200927,-
1821557,29123276,10,BJD62_gp10,SEA_LUCKY10_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123277,11,BJD62_gp11,SEA_LUCKY10_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123278,12,BJD62_gp12,SEA_LUCKY10_12,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200927,-
1821557,29123279,13,BJD62_gp13,SEA_LUCKY10_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821557,29123280,14,BJD62_gp14,SEA_LUCKY10_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821557,29123281,15,BJD62_gp15,SEA_LUCKY10_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123282,16,BJD62_gp16,SEA_LUCKY10_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1821557,29123283,17,BJD62_gp17,SEA_LUCKY10_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821557,29123284,18,BJD62_gp18,SEA_LUCKY10_18,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200927,-
1821557,29123285,19,BJD62_gp19,SEA_LUCKY10_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123286,20,BJD62_gp20,SEA_LUCKY10_20,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1821557,29123287,21,BJD62_gp21,SEA_LUCKY10_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123288,22,BJD62_gp22,SEA_LUCKY10_22,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1821557,29123289,23,BJD62_gp23,SEA_LUCKY10_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123290,24,BJD62_gp24,SEA_LUCKY10_24,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1821557,29123291,25,BJD62_gp25,SEA_LUCKY10_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123292,26,BJD62_gp26,SEA_LUCKY10_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123293,27,BJD62_gp27,SEA_LUCKY10_27,-,-,-,alpha-L-arabinofuranosidase,protein-coding,-,-,-,alpha-L-arabinofuranosidase,20200927,-
1821557,29123294,28,BJD62_gp28,SEA_LUCKY10_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123295,29,BJD62_gp29,SEA_LUCKY10_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123296,30,BJD62_gp30,SEA_LUCKY10_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123297,31,BJD62_gp31,SEA_LUCKY10_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123298,32,BJD62_gp32,SEA_LUCKY10_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123299,33,BJD62_gp33,SEA_LUCKY10_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123300,34,BJD62_gp34,SEA_LUCKY10_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123301,35,BJD62_gp35,SEA_LUCKY10_35,-,-,-,integrase,protein-coding,-,-,-,integrase,20200927,-
1821557,29123302,36,BJD62_gp36,SEA_LUCKY10_36,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20200927,-
1821557,29123303,37,BJD62_gp37,SEA_LUCKY10_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123304,38,BJD62_gp38,SEA_LUCKY10_38,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1821557,29123305,39,BJD62_gp39,SEA_LUCKY10_39,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200927,-
1821557,29123306,40,BJD62_gp40,SEA_LUCKY10_40,-,-,-,GIY-YIG nuclease,protein-coding,-,-,-,GIY-YIG nuclease,20200927,-
1821557,29123307,41,BJD62_gp41,SEA_LUCKY10_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123308,42,BJD62_gp42,SEA_LUCKY10_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123309,43,BJD62_gp43,SEA_LUCKY10_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123310,44,BJD62_gp44,SEA_LUCKY10_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123311,45,BJD62_gp45,SEA_LUCKY10_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123312,46,BJD62_gp46,SEA_LUCKY10_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123313,47,BJD62_gp47,SEA_LUCKY10_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123314,48,BJD62_gp48,SEA_LUCKY10_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123315,49,BJD62_gp49,SEA_LUCKY10_49,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200927,-
1821557,29123316,50,BJD62_gp50,SEA_LUCKY10_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123317,51,BJD62_gp51,SEA_LUCKY10_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123318,52,BJD62_gp52,SEA_LUCKY10_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123319,53,BJD62_gp53,SEA_LUCKY10_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
