#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821560,29068187,2,BI045_gp02,SEA_PHINALLY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1821560,29068188,3,BI045_gp03,SEA_PHINALLY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068189,4,BI045_gp04,SEA_PHINALLY_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068190,5,BI045_gp05,SEA_PHINALLY_5,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1821560,29068191,6,BI045_gp06,SEA_PHINALLY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068192,7,BI045_gp07,SEA_PHINALLY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068193,8,BI045_gp08,SEA_PHINALLY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068194,9,BI045_gp09,SEA_PHINALLY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068195,10,BI045_gp10,SEA_PHINALLY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068196,11,BI045_gp11,SEA_PHINALLY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068197,12,BI045_gp12,SEA_PHINALLY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068198,13,BI045_gp13,SEA_PHINALLY_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1821560,29068199,14,BI045_gp14,SEA_PHINALLY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
