#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821562,29124457,2,SEA_SOILASSASSIN_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821562,29124458,3,SEA_SOILASSASSIN_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1821562,29124459,4,SEA_SOILASSASSIN_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1821562,29124460,5,SEA_SOILASSASSIN_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
1821562,29124461,6,SEA_SOILASSASSIN_6,-,-,-,-,major capsid subunit,protein-coding,-,-,-,major capsid subunit,20210424,-
1821562,29124462,7,SEA_SOILASSASSIN_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1821562,29124463,8,SEA_SOILASSASSIN_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1821562,29124464,9,SEA_SOILASSASSIN_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821562,29124465,10,SEA_SOILASSASSIN_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821562,29124466,11,SEA_SOILASSASSIN_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821562,29124467,12,SEA_SOILASSASSIN_12,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1821562,29124468,13,SEA_SOILASSASSIN_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821562,29124469,14,SEA_SOILASSASSIN_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821562,29124470,15,SEA_SOILASSASSIN_15,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1821562,29124471,16,SEA_SOILASSASSIN_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821562,29124472,17,SEA_SOILASSASSIN_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821562,29124473,18,SEA_SOILASSASSIN_18,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1821562,29124474,19,SEA_SOILASSASSIN_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821562,29124475,20,SEA_SOILASSASSIN_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821562,29124476,21,SEA_SOILASSASSIN_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821562,29124477,22,SEA_SOILASSASSIN_22,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821562,29124478,23,SEA_SOILASSASSIN_23,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821562,29124479,24,SEA_SOILASSASSIN_24,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1821562,29124480,25,SEA_SOILASSASSIN_25,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821562,29124481,26,SEA_SOILASSASSIN_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821562,29124482,27,SEA_SOILASSASSIN_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
