#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821564,29126811,2,BJD57_gp02,SEA_VIVI2_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1821564,29126812,3,BJD57_gp03,SEA_VIVI2_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126813,4,BJD57_gp04,SEA_VIVI2_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126814,5,BJD57_gp05,SEA_VIVI2_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126815,6,BJD57_gp06,SEA_VIVI2_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126816,7,BJD57_gp07,SEA_VIVI2_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126817,8,BJD57_gp08,SEA_VIVI2_8,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20200927,-
1821564,29126818,9,BJD57_gp09,SEA_VIVI2_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126819,10,BJD57_gp10,SEA_VIVI2_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126820,11,BJD57_gp11,SEA_VIVI2_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1821564,29126821,12,BJD57_gp12,SEA_VIVI2_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126822,13,BJD57_gp13,SEA_VIVI2_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126823,14,BJD57_gp14,SEA_VIVI2_14,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200927,-
