#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821727,29125959,2,SEA_SHIPWRECK_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821727,29125960,3,SEA_SHIPWRECK_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1821727,29125961,4,SEA_SHIPWRECK_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1821727,29125962,5,SEA_SHIPWRECK_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1821727,29125963,6,SEA_SHIPWRECK_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1821727,29125964,7,SEA_SHIPWRECK_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125965,8,SEA_SHIPWRECK_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1821727,29125966,9,SEA_SHIPWRECK_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1821727,29125967,10,SEA_SHIPWRECK_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125968,11,SEA_SHIPWRECK_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125969,12,SEA_SHIPWRECK_12,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1821727,29125970,13,SEA_SHIPWRECK_13,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1821727,29125971,15,SEA_SHIPWRECK_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821727,29125972,16,SEA_SHIPWRECK_16,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1821727,29125973,14,SEA_SHIPWRECK_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821727,29125974,17,SEA_SHIPWRECK_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821727,29125975,18,SEA_SHIPWRECK_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821727,29125976,19,SEA_SHIPWRECK_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821727,29125977,20,SEA_SHIPWRECK_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821727,29125978,21,SEA_SHIPWRECK_21,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
