#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852640,40092389,FDI76_gp001,FDI76_gp001,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201010,-
1852640,40092390,FDI76_gt003,FDI76_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852640,40092391,FDI76_gp193,FDI76_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092392,FDI76_gp192,FDI76_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092393,FDI76_gp002,FDI76_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092394,FDI76_gp003,FDI76_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092395,FDI76_gp004,FDI76_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092396,FDI76_gp005,FDI76_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092397,FDI76_gp006,FDI76_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092398,FDI76_gp007,FDI76_gp007,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20201010,-
1852640,40092399,FDI76_gp008,FDI76_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092400,FDI76_gp009,FDI76_gp009,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20201010,-
1852640,40092401,FDI76_gp010,FDI76_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092402,FDI76_gp011,FDI76_gp011,-,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20201221,-
1852640,40092403,FDI76_gp012,FDI76_gp012,-,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20201010,-
1852640,40092404,FDI76_gp013,FDI76_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092405,FDI76_gp014,FDI76_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092406,FDI76_gp015,FDI76_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092407,FDI76_gp016,FDI76_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092408,FDI76_gp017,FDI76_gp017,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201010,-
1852640,40092409,FDI76_gp018,FDI76_gp018,-,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20201221,-
1852640,40092410,FDI76_gp019,FDI76_gp019,-,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20201221,-
1852640,40092411,FDI76_gp020,FDI76_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092412,FDI76_gp021,FDI76_gp021,-,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20201221,-
1852640,40092413,FDI76_gp022,FDI76_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092414,FDI76_gp023,FDI76_gp023,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
1852640,40092415,FDI76_gp024,FDI76_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092416,FDI76_gp025,FDI76_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092417,FDI76_gp026,FDI76_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092418,FDI76_gp027,FDI76_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092419,FDI76_gp028,FDI76_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092420,FDI76_gp029,FDI76_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092421,FDI76_gp030,FDI76_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092422,FDI76_gp031,FDI76_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092423,FDI76_gp032,FDI76_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092424,FDI76_gp033,FDI76_gp033,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201010,-
1852640,40092425,FDI76_gp034,FDI76_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092426,FDI76_gp035,FDI76_gp035,-,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20201221,-
1852640,40092427,FDI76_gp036,FDI76_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092428,FDI76_gp037,FDI76_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092429,FDI76_gp038,FDI76_gp038,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20201010,-
1852640,40092430,FDI76_gp039,FDI76_gp039,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20201221,-
1852640,40092431,FDI76_gp040,FDI76_gp040,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20201221,-
1852640,40092432,FDI76_gp041,FDI76_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092433,FDI76_gp042,FDI76_gp042,-,-,-,-,membrane-flanked domain protein,protein-coding,-,-,-,membrane-flanked domain protein,20201221,-
1852640,40092434,FDI76_gp043,FDI76_gp043,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201010,-
1852640,40092435,FDI76_gp044,FDI76_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092436,FDI76_gp045,FDI76_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092437,FDI76_gp046,FDI76_gp046,-,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20201221,-
1852640,40092438,FDI76_gp047,FDI76_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092439,FDI76_gp048,FDI76_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092440,FDI76_gp049,FDI76_gp049,-,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20201221,-
1852640,40092441,FDI76_gp050,FDI76_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092442,FDI76_gp051,FDI76_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092443,FDI76_gp052,FDI76_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092444,FDI76_gp053,FDI76_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092445,FDI76_gp054,FDI76_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092446,FDI76_gp055,FDI76_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092447,FDI76_gp056,FDI76_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092448,FDI76_gp057,FDI76_gp057,-,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20201221,-
1852640,40092449,FDI76_gp058,FDI76_gp058,-,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20201221,-
1852640,40092450,FDI76_gp059,FDI76_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092451,FDI76_gp060,FDI76_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092452,FDI76_gp061,FDI76_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092453,FDI76_gp062,FDI76_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092454,FDI76_gp063,FDI76_gp063,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201010,-
1852640,40092455,FDI76_gp064,FDI76_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092456,FDI76_gp065,FDI76_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092457,FDI76_gp066,FDI76_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092458,FDI76_gp067,FDI76_gp067,-,-,-,-,rIIB lysis inhibitor,protein-coding,-,-,-,rIIB lysis inhibitor,20201221,-
1852640,40092459,FDI76_gp068,FDI76_gp068,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20201221,-
1852640,40092460,FDI76_gp069,FDI76_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092461,FDI76_gp070,FDI76_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092462,FDI76_gp071,FDI76_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092463,FDI76_gp072,FDI76_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092464,FDI76_gp073,FDI76_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092465,FDI76_gp074,FDI76_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092466,FDI76_gp075,FDI76_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092467,FDI76_gp076,FDI76_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092468,FDI76_gp077,FDI76_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092469,FDI76_gp078,FDI76_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092470,FDI76_gp079,FDI76_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092471,FDI76_gp080,FDI76_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
