#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873777,29080438,BI024_gp37,BI024_gp37,SEA_NANODON_37,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201221,-
1873777,29080439,BI024_gp38,BI024_gp38,SEA_NANODON_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080440,BI024_gp39,BI024_gp39,SEA_NANODON_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080441,BI024_gp40,BI024_gp40,SEA_NANODON_40,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1873777,29080442,BI024_gp41,BI024_gp41,SEA_NANODON_41,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1873777,29080443,BI024_gp42,BI024_gp42,SEA_NANODON_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080444,BI024_gp43,BI024_gp43,SEA_NANODON_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080445,BI024_gp44,BI024_gp44,SEA_NANODON_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080446,BI024_gp45,BI024_gp45,SEA_NANODON_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080447,BI024_gp46,BI024_gp46,SEA_NANODON_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080448,BI024_gp47,BI024_gp47,SEA_NANODON_47,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1873777,29080449,BI024_gp48,BI024_gp48,SEA_NANODON_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080450,BI024_gp49,BI024_gp49,SEA_NANODON_49,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201221,-
1873777,29080451,BI024_gp50,BI024_gp50,SEA_NANODON_50,-,-,-,Lsr2 DNA bridging protein,protein-coding,-,-,-,Lsr2 DNA bridging protein,20201221,-
1873777,29080452,BI024_gp51,BI024_gp51,SEA_NANODON_51,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1873777,29080453,BI024_gp52,BI024_gp52,SEA_NANODON_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080454,BI024_gp53,BI024_gp53,SEA_NANODON_53,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
1873777,29080455,BI024_gp54,BI024_gp54,SEA_NANODON_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080456,BI024_gp55,BI024_gp55,SEA_NANODON_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873777,29080457,BI024_gp56,BI024_gp56,SEA_NANODON_56,-,-,-,DNA polymerase III alpha,protein-coding,-,-,-,DNA polymerase III alpha,20201221,-
