#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873960,28267748,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cercospora fijiensis; Mycosphaerella fijiensis; Mycospharella fijiensis; Paracercospora fijiensis; Paracercospora fijiensis var. difformis).,other,-,-,-,-,20200420,-
1873960,41039441,nad5,FRV44_mgp02,-,-,MT,-,LAGLIDADG domain containing endonuclease;NADH dehydrogenase subunit 5;hypothetical protein,protein-coding,-,-,-,LAGLIDADG domain containing endonuclease;NADH dehydrogenase subunit 5;hypothetical protein,20201217,-
1873960,41039442,nad4L,FRV44_mgp03,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20201217,-
1873960,41039443,trnN(gtt),FRV44_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039444,trnH(gtg),FRV44_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039445,FRV44_mgp18,FRV44_mgp18,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1873960,41039446,atp9,FRV44_mgp15,-,-,MT,-,ATP Synthase Membrane Subunit 9,protein-coding,-,-,-,ATP Synthase Membrane Subunit 9,20200911,-
1873960,41039447,trnK(ttt),FRV44_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039448,nad1,FRV44_mgp13,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20201217,-
1873960,41039449,FRV44_mgr01,FRV44_mgr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200911,-
1873960,41039450,FRV44_mgp11,FRV44_mgp11,-,-,MT,-,cytb-like ORF,protein-coding,-,-,-,cytb-like ORF,20201217,-
1873960,41039451,nad6,FRV44_mgp01,-,-,MT,-,subunit 6 of NADH dehydrogenase,protein-coding,-,-,-,subunit 6 of NADH dehydrogenase,20201217,-
1873960,41039452,nad2,FRV44_mgp06,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20201217,-
1873960,41039453,atp8,FRV44_mgp05,-,-,MT,-,ATP Synthase Subunit 8,protein-coding,-,-,-,ATP Synthase Subunit 8,20201217,-
1873960,41039454,atp6,FRV44_mgp04,-,-,MT,-,ATP Synthase Subunit 6,protein-coding,-,-,-,ATP Synthase Subunit 6,20201217,-
1873960,41039455,trnP(tgg),FRV44_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039456,FRV44_mgp25,FRV44_mgp25,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1873960,41039457,trnQ(ttg),FRV44_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039458,trnL1(tag),FRV44_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039459,trnF(gaa),FRV44_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039460,trnA(tgc),FRV44_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039461,trnE(ttc),FRV44_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039462,trnL2(taa),FRV44_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039463,trnM(cat),FRV44_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039464,trnM(cat),FRV44_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039465,trnT(tgt),FRV44_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039466,trnR(tct),FRV44_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039467,trnC(gca),FRV44_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039468,trnR(acg),FRV44_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039469,nad4,FRV44_mgp19,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20201217,-
1873960,41039470,trnS2(tga),FRV44_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039471,trnI(gat),FRV44_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039472,trnW(tca),FRV44_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039473,trnS1(gct),FRV44_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039474,trnD(gtc),FRV44_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039475,trnG(tcc),FRV44_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039476,FRV44_mgp17,FRV44_mgp17,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1873960,41039477,trnV(tac),FRV44_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039478,trnM(cat),FRV44_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039479,cox2,FRV44_mgp14,-,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,cytochrome c oxidase subunit II,20201217,-
1873960,41039480,cox1,FRV44_mgp12,-,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,cytochrome c oxidase subunit I,20201217,-
1873960,41039481,trnQ(ttg),FRV44_mgt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039482,FRV44_mgp10,FRV44_mgp10,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1873960,41039483,trnA(tgc),FRV44_mgt30,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039484,trnE(ttc),FRV44_mgt31,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039485,FRV44_mgp09,FRV44_mgp09,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1873960,41039486,trnM(cat),FRV44_mgt33,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039487,trnT(tgt),FRV44_mgt34,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039488,trnR(tct),FRV44_mgt35,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039489,trnC(gca),FRV44_mgt36,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039490,trnR(acg),FRV44_mgt37,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039491,FRV44_mgp08,FRV44_mgp08,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1873960,41039492,nad3,FRV44_mgp07,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20201217,-
1873960,41039493,FRV44_mgp21,FRV44_mgp21,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1873960,41039494,trnY(gta),FRV44_mgt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039495,FRV44_mgp24,FRV44_mgp24,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1873960,41039496,FRV44_mgp23,FRV44_mgp23,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1873960,41039497,FRV44_mgp22,FRV44_mgp22,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1873960,41039498,FRV44_mgr02,FRV44_mgr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200911,-
1873960,41039499,cob,FRV44_mgp20,-,-,MT,-,LAGLIDADG domain containing endonuclease;cytochrome b,protein-coding,-,-,-,LAGLIDADG domain containing endonuclease;cytochrome b,20201217,-
1873960,41039500,trnR(cct),FRV44_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039501,cox3,FRV44_mgp16,-,-,MT,-,Cytochrome c oxidase subunit III,protein-coding,-,-,-,Cytochrome c oxidase subunit III,20201217,-
1873960,41039502,trnH(gtg),FRV44_mgt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039503,trnF(---),FRV44_mgt29,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039504,trnI(tat),FRV44_mgt32,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
1873960,41039505,trnG(tcc),FRV44_mgt38,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
