#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887641,29080267,3,BIZ77_gp003,SEA_BANTAM_3,-,-,-,phosphoribosyl transferase,protein-coding,-,-,-,phosphoribosyl transferase,20200910,-
1887641,29080268,4,BIZ77_gp004,SEA_BANTAM_4,-,-,-,nicotinate phosphoribosyl transferase,protein-coding,-,-,-,nicotinate phosphoribosyl transferase,20200910,-
1887641,29080269,5,BIZ77_gp005,SEA_BANTAM_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080270,6,BIZ77_gp006,SEA_BANTAM_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080271,7,BIZ77_gp007,SEA_BANTAM_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080272,8,BIZ77_gp008,SEA_BANTAM_8,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1887641,29080273,9,BIZ77_gt001,SEA_BANTAM_9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887641,29080274,10,BIZ77_gp168,SEA_BANTAM_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080275,11,BIZ77_gp167,SEA_BANTAM_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080276,12,BIZ77_gp166,SEA_BANTAM_12,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1887641,29080277,13,BIZ77_gp165,SEA_BANTAM_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1887641,29080278,14,BIZ77_gp164,SEA_BANTAM_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
1887641,29080279,15,BIZ77_gp163,SEA_BANTAM_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
1887641,29080280,16,BIZ77_gp162,SEA_BANTAM_16,-,-,-,head decoration protein,protein-coding,-,-,-,head decoration protein,20210424,-
1887641,29080281,17,BIZ77_gp161,SEA_BANTAM_17,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1887641,29080282,18,BIZ77_gp160,SEA_BANTAM_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080283,19,BIZ77_gp159,SEA_BANTAM_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080284,20,BIZ77_gp158,SEA_BANTAM_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080285,21,BIZ77_gp157,SEA_BANTAM_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080286,22,BIZ77_gp156,SEA_BANTAM_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080287,23,BIZ77_gp155,SEA_BANTAM_23,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200910,-
1887641,29080288,24,BIZ77_gp154,SEA_BANTAM_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
1887641,29080289,25,BIZ77_gp153,SEA_BANTAM_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080290,27,BIZ77_gp152,SEA_BANTAM_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1887641,29080291,28,BIZ77_gp150,SEA_BANTAM_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200910,-
1887641,29080292,26,BIZ77_gp151,SEA_BANTAM_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1887641,29080293,29,BIZ77_gp149,SEA_BANTAM_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1887641,29080294,30,BIZ77_gp148,SEA_BANTAM_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1887641,29080295,31,BIZ77_gp147,SEA_BANTAM_31,-,-,-,"lysin A, cysteine protease domain",protein-coding,-,-,-,"lysin A, cysteine protease domain",20200910,-
1887641,29080296,32,BIZ77_gp146,SEA_BANTAM_32,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20200910,-
1887641,29080297,33,BIZ77_gp145,SEA_BANTAM_33,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1887641,29080298,34,BIZ77_gp144,SEA_BANTAM_34,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
1887641,29080299,35,BIZ77_gp143,SEA_BANTAM_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080300,36,BIZ77_gp142,SEA_BANTAM_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1887641,29080301,37,BIZ77_gp141,SEA_BANTAM_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1887641,29080302,38,BIZ77_gp140,SEA_BANTAM_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080303,39,BIZ77_gp139,SEA_BANTAM_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080304,40,BIZ77_gp138,SEA_BANTAM_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1887641,29080305,41,BIZ77_gp137,SEA_BANTAM_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080306,42,BIZ77_gp136,SEA_BANTAM_42,-,-,-,DNA bridging protein,protein-coding,-,-,-,DNA bridging protein,20200910,-
1887641,29080307,43,BIZ77_gp135,SEA_BANTAM_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080308,44,BIZ77_gp134,SEA_BANTAM_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080309,45,BIZ77_gp133,SEA_BANTAM_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080310,46,BIZ77_gp132,SEA_BANTAM_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080311,47,BIZ77_gp131,SEA_BANTAM_47,-,-,-,exonuclease VII large subunit,protein-coding,-,-,-,exonuclease VII large subunit,20200910,-
1887641,29080312,48,BIZ77_gp130,SEA_BANTAM_48,-,-,-,exonuclease VII small subunit,protein-coding,-,-,-,exonuclease VII small subunit,20200910,-
1887641,29080313,49,BIZ77_gp129,SEA_BANTAM_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080314,50,BIZ77_gp128,SEA_BANTAM_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080315,51,BIZ77_gp127,SEA_BANTAM_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080316,52,BIZ77_gp126,SEA_BANTAM_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080317,53,BIZ77_gp125,SEA_BANTAM_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080318,54,BIZ77_gp124,SEA_BANTAM_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080319,55,BIZ77_gp123,SEA_BANTAM_55,-,-,-,DrpA-like ssDNA binding protein,protein-coding,-,-,-,DrpA-like ssDNA binding protein,20200910,-
1887641,29080320,56,BIZ77_gp122,SEA_BANTAM_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080321,57,BIZ77_gp121,SEA_BANTAM_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080322,58,BIZ77_gp120,SEA_BANTAM_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080323,59,BIZ77_gp119,SEA_BANTAM_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080324,60,BIZ77_gp118,SEA_BANTAM_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080325,61,BIZ77_gp117,SEA_BANTAM_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080326,62,BIZ77_gt002,SEA_BANTAM_62,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887641,29080327,63,BIZ77_gp116,SEA_BANTAM_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080328,64,BIZ77_gp115,SEA_BANTAM_64,-,-,-,integrase,protein-coding,-,-,-,integrase,20200910,-
1887641,29080329,65,BIZ77_gp114,SEA_BANTAM_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080330,66,BIZ77_gp113,SEA_BANTAM_66,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1887641,29080331,67,BIZ77_gp112,SEA_BANTAM_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080332,68,BIZ77_gp111,SEA_BANTAM_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080333,69,BIZ77_gp110,SEA_BANTAM_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080334,70,BIZ77_gp109,SEA_BANTAM_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080335,71,BIZ77_gp108,SEA_BANTAM_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080336,72,BIZ77_gp107,SEA_BANTAM_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080337,73,BIZ77_gp106,SEA_BANTAM_73,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200910,-
1887641,29080338,74,BIZ77_gp105,SEA_BANTAM_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080339,75,BIZ77_gp104,SEA_BANTAM_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080340,76,BIZ77_gp103,SEA_BANTAM_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080341,77,BIZ77_gp102,SEA_BANTAM_77,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200910,-
1887641,29080342,78,BIZ77_gp101,SEA_BANTAM_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080343,79,BIZ77_gp100,SEA_BANTAM_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080344,80,BIZ77_gp099,SEA_BANTAM_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080345,81,BIZ77_gp098,SEA_BANTAM_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080346,82,BIZ77_gp097,SEA_BANTAM_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080347,83,BIZ77_gp096,SEA_BANTAM_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080348,84,BIZ77_gp095,SEA_BANTAM_84,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200910,-
1887641,29080349,85,BIZ77_gp094,SEA_BANTAM_85,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210424,-
1887641,29080350,86,BIZ77_gp093,SEA_BANTAM_86,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1887641,29080351,87,BIZ77_gp092,SEA_BANTAM_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080352,88,BIZ77_gp091,SEA_BANTAM_88,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20200910,-
