#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887647,29063288,2,KCH37_gp02,SEA_GHOBES_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210418,-
1887647,29063289,3,KCH37_gp03,SEA_GHOBES_3,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210418,-
1887647,29063290,4,KCH37_gp04,SEA_GHOBES_4,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210418,-
1887647,29063291,5,KCH37_gp05,SEA_GHOBES_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063292,6,KCH37_gp06,SEA_GHOBES_6,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210418,-
1887647,29063293,8,KCH37_gp08,SEA_GHOBES_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063294,9,KCH37_gp09,SEA_GHOBES_9,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210418,-
1887647,29063295,10,KCH37_gp10,SEA_GHOBES_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063296,11,KCH37_gp11,SEA_GHOBES_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20210418,-
1887647,29063297,13,KCH37_gp12,SEA_GHOBES_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210418,-
1887647,29063298,14,KCH37_gp14,SEA_GHOBES_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210418,-
1887647,29063299,12,KCH37_gp13,SEA_GHOBES_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210418,-
1887647,29063300,15,KCH37_gp15,SEA_GHOBES_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210418,-
1887647,29063301,16,KCH37_gp16,SEA_GHOBES_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210418,-
1887647,29063302,17,KCH37_gp17,SEA_GHOBES_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
