#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887656,29067584,2,SEA_ZIRINKA_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1887656,29067585,3,SEA_ZIRINKA_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067586,4,SEA_ZIRINKA_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1887656,29067587,5,SEA_ZIRINKA_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1887656,29067588,6,SEA_ZIRINKA_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1887656,29067589,7,SEA_ZIRINKA_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1887656,29067590,8,SEA_ZIRINKA_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1887656,29067591,9,SEA_ZIRINKA_9,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1887656,29067592,10,SEA_ZIRINKA_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067593,11,SEA_ZIRINKA_11,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1887656,29067594,12,SEA_ZIRINKA_12,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1887656,29067595,13,SEA_ZIRINKA_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067596,14,SEA_ZIRINKA_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1887656,29067597,15,SEA_ZIRINKA_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1887656,29067598,16,SEA_ZIRINKA_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067599,17,SEA_ZIRINKA_17,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1887656,29067600,18,SEA_ZIRINKA_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887656,29067601,19,SEA_ZIRINKA_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887656,29067602,20,SEA_ZIRINKA_20,-,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210424,-
1887656,29067603,21,SEA_ZIRINKA_21,-,-,-,-,"lysin A, peptidase domain",protein-coding,-,-,-,"lysin A, peptidase domain",20201221,-
1887656,29067604,22,SEA_ZIRINKA_22,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1887656,29067605,23,SEA_ZIRINKA_23,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1887656,29067606,24,SEA_ZIRINKA_24,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1887656,29067607,25,SEA_ZIRINKA_25,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1887656,29067608,26,SEA_ZIRINKA_26,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887656,29067609,27,SEA_ZIRINKA_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067610,28,SEA_ZIRINKA_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887656,29067611,29,SEA_ZIRINKA_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067612,30,SEA_ZIRINKA_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067613,31,SEA_ZIRINKA_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067614,33,SEA_ZIRINKA_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067615,35,SEA_ZIRINKA_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067616,36,SEA_ZIRINKA_36,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1887656,29067617,37,SEA_ZIRINKA_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067618,38,SEA_ZIRINKA_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067619,40,SEA_ZIRINKA_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067620,41,SEA_ZIRINKA_41,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1887656,29067621,42,SEA_ZIRINKA_42,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1887656,29067622,44,SEA_ZIRINKA_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067623,45,SEA_ZIRINKA_45,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1887656,29067624,46,SEA_ZIRINKA_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067625,47,SEA_ZIRINKA_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067626,48,SEA_ZIRINKA_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067627,49,SEA_ZIRINKA_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067628,50,SEA_ZIRINKA_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067629,51,SEA_ZIRINKA_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067630,52,SEA_ZIRINKA_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067631,53,SEA_ZIRINKA_53,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1887656,29067632,54,SEA_ZIRINKA_54,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1887656,29067633,55,SEA_ZIRINKA_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067634,56,SEA_ZIRINKA_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067635,57,SEA_ZIRINKA_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067636,58,SEA_ZIRINKA_58,-,-,-,-,ASC-1 superfamily protein,protein-coding,-,-,-,ASC-1 superfamily protein,20201221,-
1887656,29067637,59,SEA_ZIRINKA_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067638,60,SEA_ZIRINKA_60,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1887656,29067639,61,SEA_ZIRINKA_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067640,62,SEA_ZIRINKA_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067641,63,SEA_ZIRINKA_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067642,64,SEA_ZIRINKA_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067643,65,SEA_ZIRINKA_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067644,66,SEA_ZIRINKA_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067645,67,SEA_ZIRINKA_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067646,68,SEA_ZIRINKA_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067647,69,SEA_ZIRINKA_69,-,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
1887656,29067648,70,SEA_ZIRINKA_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067649,71,SEA_ZIRINKA_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067650,72,SEA_ZIRINKA_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067651,73,SEA_ZIRINKA_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067652,74,SEA_ZIRINKA_74,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210424,-
1887656,29067653,75,SEA_ZIRINKA_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067654,76,SEA_ZIRINKA_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067655,77,SEA_ZIRINKA_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067656,78,SEA_ZIRINKA_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887656,29067657,79,SEA_ZIRINKA_79,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
