#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912321,40073161,FDH17_gp02,FDH17_gp02,kpv52_02,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1912321,40073162,FDH17_gp03,FDH17_gp03,kpv52_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1912321,40073163,FDH17_gp04,FDH17_gp04,kpv52_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073164,FDH17_gp05,FDH17_gp05,kpv52_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073165,FDH17_gp06,FDH17_gp06,kpv52_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073166,FDH17_gp07,FDH17_gp07,kpv52_07,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20201221,-
1912321,40073167,FDH17_gp08,FDH17_gp08,kpv52_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073168,FDH17_gp09,FDH17_gp09,kpv52_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073169,FDH17_gp10,FDH17_gp10,kpv52_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073170,FDH17_gp11,FDH17_gp11,kpv52_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073171,FDH17_gp12,FDH17_gp12,kpv52_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073172,FDH17_gp13,FDH17_gp13,kpv52_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073173,FDH17_gp14,FDH17_gp14,kpv52_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1912321,40073174,FDH17_gp15,FDH17_gp15,kpv52_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1912321,40073175,FDH17_gp16,FDH17_gp16,kpv52_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1912321,40073176,FDH17_gp17,FDH17_gp17,kpv52_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073177,FDH17_gp18,FDH17_gp18,kpv52_18,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210417,-
1912321,40073178,FDH17_gp19,FDH17_gp19,kpv52_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1912321,40073179,FDH17_gp20,FDH17_gp20,kpv52_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073180,FDH17_gp21,FDH17_gp21,kpv52_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1912321,40073181,FDH17_gp22,FDH17_gp22,kpv52_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073182,FDH17_gp23,FDH17_gp23,kpv52_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073183,FDH17_gp24,FDH17_gp24,kpv52_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073184,FDH17_gp25,FDH17_gp25,kpv52_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073185,FDH17_gp26,FDH17_gp26,kpv52_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073186,FDH17_gp27,FDH17_gp27,kpv52_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073187,FDH17_gp28,FDH17_gp28,kpv52_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1912321,40073188,FDH17_gp29,FDH17_gp29,kpv52_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073189,FDH17_gp30,FDH17_gp30,kpv52_30,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20210417,-
1912321,40073190,FDH17_gp31,FDH17_gp31,kpv52_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073191,FDH17_gp32,FDH17_gp32,kpv52_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073192,FDH17_gp33,FDH17_gp33,kpv52_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073193,FDH17_gp34,FDH17_gp34,kpv52_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073194,FDH17_gp35,FDH17_gp35,kpv52_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073195,FDH17_gp36,FDH17_gp36,kpv52_36,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1912321,40073196,FDH17_gp37,FDH17_gp37,kpv52_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073197,FDH17_gp38,FDH17_gp38,kpv52_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073198,FDH17_gp39,FDH17_gp39,kpv52_39,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20210417,-
1912321,40073199,FDH17_gp40,FDH17_gp40,kpv52_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073200,FDH17_gp41,FDH17_gp41,kpv52_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073201,FDH17_gp42,FDH17_gp42,kpv52_42,-,-,-,putative tail fiber family protein,protein-coding,-,-,-,putative tail fiber family protein,20201221,-
1912321,40073202,FDH17_gp43,FDH17_gp43,kpv52_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073203,FDH17_gp44,FDH17_gp44,kpv52_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073204,FDH17_gp45,FDH17_gp45,kpv52_45,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1912321,40073205,FDH17_gp46,FDH17_gp46,kpv52_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073206,FDH17_gp47,FDH17_gp47,kpv52_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073207,FDH17_gp48,FDH17_gp48,kpv52_48,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20210417,-
1912321,40073208,FDH17_gp49,FDH17_gp49,kpv52_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073209,FDH17_gp50,FDH17_gp50,kpv52_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073210,FDH17_gp51,FDH17_gp51,kpv52_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073211,FDH17_gp52,FDH17_gp52,kpv52_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1912321,40073212,FDH17_gp53,FDH17_gp53,kpv52_53,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1912321,40073213,FDH17_gp54,FDH17_gp54,kpv52_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073214,FDH17_gp55,FDH17_gp55,kpv52_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073215,FDH17_gp56,FDH17_gp56,kpv52_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073216,FDH17_gp57,FDH17_gp57,kpv52_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1912321,40073217,FDH17_gp58,FDH17_gp58,kpv52_58,-,-,-,putative NHN endonuclease,protein-coding,-,-,-,putative NHN endonuclease,20210417,-
1912321,40073218,FDH17_gp59,FDH17_gp59,kpv52_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073219,FDH17_gp60,FDH17_gp60,kpv52_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073220,FDH17_gp61,FDH17_gp61,kpv52_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073221,FDH17_gp62,FDH17_gp62,kpv52_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073222,FDH17_gp63,FDH17_gp63,kpv52_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073223,FDH17_gp64,FDH17_gp64,kpv52_64,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1912321,40073224,FDH17_gp65,FDH17_gp65,kpv52_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073225,FDH17_gp66,FDH17_gp66,kpv52_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073226,FDH17_gp67,FDH17_gp67,kpv52_67,-,-,-,putative TetR transcriptional regulator,protein-coding,-,-,-,putative TetR transcriptional regulator,20210417,-
1912321,40073227,FDH17_gp68,FDH17_gp68,kpv52_68,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1912321,40073228,FDH17_gp69,FDH17_gp69,kpv52_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073229,FDH17_gp70,FDH17_gp70,kpv52_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073230,FDH17_gp71,FDH17_gp71,kpv52_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073231,FDH17_gp72,FDH17_gp72,kpv52_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073232,FDH17_gp73,FDH17_gp73,kpv52_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1912321,40073233,FDH17_gp74,FDH17_gp74,kpv52_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073234,FDH17_gp75,FDH17_gp75,kpv52_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912321,40073235,FDH17_gp01,FDH17_gp01,kpv52_01,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210417,-
1912321,40120355,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
