#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1916107,54978089,HOR41_gp02,HOR41_gp02,C5a_2,-,-,-,integrase,protein-coding,-,-,-,integrase,20210123,-
1916107,54978090,HOR41_gp03,HOR41_gp03,C5a_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978091,HOR41_gp04,HOR41_gp04,C5a_4,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210123,-
1916107,54978092,HOR41_gp05,HOR41_gp05,C5a_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978093,HOR41_gp06,HOR41_gp06,C5a_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978094,HOR41_gp07,HOR41_gp07,C5a_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978095,HOR41_gp08,HOR41_gp08,C5a_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978096,HOR41_gp09,HOR41_gp09,C5a_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978097,HOR41_gp10,HOR41_gp10,C5a_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978098,HOR41_gp11,HOR41_gp11,C5a_11,-,-,-,repressor,protein-coding,-,-,-,repressor,20210123,-
1916107,54978099,HOR41_gp12,HOR41_gp12,C5a_12,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210123,-
1916107,54978100,HOR41_gp13,HOR41_gp13,C5a_13,-,-,-,pyocin activator PrtN family protein,protein-coding,-,-,-,pyocin activator PrtN family protein,20210116,-
1916107,54978101,HOR41_gp14,HOR41_gp14,C5a_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978102,HOR41_gp15,HOR41_gp15,C5a_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978103,HOR41_gp16,HOR41_gp16,C5a_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978104,HOR41_gp17,HOR41_gp17,C5a_17,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
1916107,54978105,HOR41_gp18,HOR41_gp18,C5a_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978106,HOR41_gp19,HOR41_gp19,C5a_19,-,-,-,replication gene A endonuclease,protein-coding,-,-,-,replication gene A endonuclease,20210123,-
1916107,54978107,HOR41_gp20,HOR41_gp20,C5a_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978108,HOR41_gp21,HOR41_gp21,C5a_21,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
1916107,54978109,HOR41_gp22,HOR41_gp22,C5a_22,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210123,-
1916107,54978110,HOR41_gp23,HOR41_gp23,C5a_23,-,-,-,SH3 domain-containing protein,protein-coding,-,-,-,SH3 domain-containing protein,20210123,-
1916107,54978111,HOR41_gp25,HOR41_gp25,C5a_25,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20210123,-
1916107,54978112,HOR41_gp26,HOR41_gp26,C5a_26,-,-,-,capsid scaffolding protein,protein-coding,-,-,-,capsid scaffolding protein,20210123,-
1916107,54978113,HOR41_gp27,HOR41_gp27,C5a_27,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
1916107,54978114,HOR41_gp28,HOR41_gp28,C5a_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978115,HOR41_gp29,HOR41_gp29,C5a_29,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20210123,-
1916107,54978116,HOR41_gp30,HOR41_gp30,C5a_30,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210123,-
1916107,54978117,HOR41_gp31,HOR41_gp31,C5a_31,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20200629,-
1916107,54978118,HOR41_gp32,HOR41_gp32,C5a_32,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20210123,-
1916107,54978119,HOR41_gp33,HOR41_gp33,C5a_33,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210123,-
1916107,54978120,HOR41_gp34,HOR41_gp34,C5a_34,-,-,-,DUF2597 family protein,protein-coding,-,-,-,DUF2597 family protein,20210212,-
1916107,54978121,HOR41_gp35,HOR41_gp35,C5a_35,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210123,-
1916107,54978122,HOR41_gp36,HOR41_gp36,C5a_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1916107,54978123,HOR41_gp37,HOR41_gp37,C5a_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978124,HOR41_gp38,HOR41_gp38,C5a_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978125,HOR41_gp39,HOR41_gp39,C5a_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1916107,54978126,HOR41_gp40,HOR41_gp40,C5a_40,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210123,-
1916107,54978127,HOR41_gp41,HOR41_gp41,C5a_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1916107,54978128,HOR41_gp42,HOR41_gp42,C5a_42,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210123,-
1916107,54978129,HOR41_gp43,HOR41_gp43,C5a_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978130,HOR41_gp44,HOR41_gp44,C5a_44,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210123,-
1916107,54978131,HOR41_gp45,HOR41_gp45,C5a_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,54978132,HOR41_gp46,HOR41_gp46,C5a_47,-,-,-,tail spike,protein-coding,-,-,-,tail spike,20200629,-
1916107,54978133,HOR41_gp24,HOR41_gp24,C5a_24,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1916107,54978134,HOR41_gp01,HOR41_gp01,C5a_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916107,55153350,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
