#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1920379,65072384,KMD31_gp02,KMD31_gp02,P240_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
1920379,65072385,KMD31_gp03,KMD31_gp03,P240_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210609,-
1920379,65072386,KMD31_gp04,KMD31_gp04,P240_04,-,-,-,Clp protease,protein-coding,-,-,-,Clp protease,20210612,-
1920379,65072387,KMD31_gp05,KMD31_gp05,P240_05,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210612,-
1920379,65072388,KMD31_gp06,KMD31_gp06,P240_06,-,-,-,head-tail-adapter protein,protein-coding,-,-,-,head-tail-adapter protein,20210612,-
1920379,65072389,KMD31_gp07,KMD31_gp07,P240_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072390,KMD31_gp08,KMD31_gp08,P240_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072391,KMD31_gp09,KMD31_gp09,P240_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072392,KMD31_gp10,KMD31_gp10,P240_10,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
1920379,65072393,KMD31_gp11,KMD31_gp11,P240_11,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
1920379,65072394,KMD31_gp12,KMD31_gp12,P240_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
1920379,65072395,KMD31_gp13,KMD31_gp13,P240_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072396,KMD31_gp14,KMD31_gp14,P240_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072397,KMD31_gp15,KMD31_gp15,P240_15,-,-,-,tail-length tape measure protein,protein-coding,-,-,-,tail-length tape measure protein,20210607,-
1920379,65072398,KMD31_gp16,KMD31_gp16,P240_16,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
1920379,65072399,KMD31_gp17,KMD31_gp17,P240_17,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20210607,-
1920379,65072400,KMD31_gp18,KMD31_gp18,P240_18,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20210607,-
1920379,65072401,KMD31_gp19,KMD31_gp19,P240_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072402,KMD31_gp20,KMD31_gp20,P240_20,-,-,-,major teichoic acid biosynthesis protein C,protein-coding,-,-,-,major teichoic acid biosynthesis protein C,20210607,-
1920379,65072403,KMD31_gp21,KMD31_gp21,P240_21,-,-,-,major teichoic acid biosynthesis protein C,protein-coding,-,-,-,major teichoic acid biosynthesis protein C,20210607,-
1920379,65072404,KMD31_gp22,KMD31_gp22,P240_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072405,KMD31_gp23,KMD31_gp23,P240_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
1920379,65072406,KMD31_gp24,KMD31_gp24,P240_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072407,KMD31_gp25,KMD31_gp25,P240_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
1920379,65072408,KMD31_gp26,KMD31_gp26,P240_26,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
1920379,65072409,KMD31_gp27,KMD31_gp27,P240_27,-,-,-,lysin,protein-coding,-,-,-,lysin,20210612,-
1920379,65072410,KMD31_gp28,KMD31_gp28,P240_28,-,-,-,PVL chain S precursor,protein-coding,-,-,-,PVL chain S precursor,20210607,-
1920379,65072411,KMD31_gp29,KMD31_gp29,P240_29,-,-,-,PVL chain F precursor,protein-coding,-,-,-,PVL chain F precursor,20210612,-
1920379,65072412,KMD31_gp30,KMD31_gp30,P240_30,-,-,-,integrase,protein-coding,-,-,-,integrase,20210607,-
1920379,65072413,KMD31_gp31,KMD31_gp31,P240_31,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20210607,-
1920379,65072414,KMD31_gp32,KMD31_gp32,P240_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072415,KMD31_gp33,KMD31_gp33,P240_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072416,KMD31_gp34,KMD31_gp34,P240_35,-,-,-,toxin,protein-coding,-,-,-,toxin,20210607,-
1920379,65072417,KMD31_gp35,KMD31_gp35,P240_36,-,-,-,repressor protein,protein-coding,-,-,-,repressor protein,20210612,-
1920379,65072418,KMD31_gp36,KMD31_gp36,P240_37,-,-,-,repressor protein,protein-coding,-,-,-,repressor protein,20210607,-
1920379,65072419,KMD31_gp37,KMD31_gp37,P240_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072420,KMD31_gp38,KMD31_gp38,P240_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072421,KMD31_gp39,KMD31_gp39,P240_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072422,KMD31_gp40,KMD31_gp40,P240_41,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210612,-
1920379,65072423,KMD31_gp41,KMD31_gp41,P240_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072424,KMD31_gp42,KMD31_gp42,P240_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072425,KMD31_gp43,KMD31_gp43,P240_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072426,KMD31_gp44,KMD31_gp44,P240_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1920379,65072427,KMD31_gp45,KMD31_gp45,P240_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072428,KMD31_gp46,KMD31_gp46,P240_47,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210612,-
1920379,65072429,KMD31_gp47,KMD31_gp47,P240_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072430,KMD31_gp48,KMD31_gp48,P240_49,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210612,-
1920379,65072431,KMD31_gp49,KMD31_gp49,P240_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072432,KMD31_gp50,KMD31_gp50,P240_51,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210612,-
1920379,65072433,KMD31_gp51,KMD31_gp51,P240_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
1920379,65072434,KMD31_gp52,KMD31_gp52,P240_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072435,KMD31_gp53,KMD31_gp53,P240_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1920379,65072436,KMD31_gp54,KMD31_gp54,P240_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072437,KMD31_gp55,KMD31_gp55,P240_56,-,-,-,dimeric dUTPase,protein-coding,-,-,-,dimeric dUTPase,20210609,-
1920379,65072438,KMD31_gp56,KMD31_gp56,P240_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1920379,65072439,KMD31_gp57,KMD31_gp57,P240_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072440,KMD31_gp58,KMD31_gp58,P240_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072441,KMD31_gp59,KMD31_gp59,P240_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072442,KMD31_gp60,KMD31_gp60,P240_61,-,-,-,transcription activator,protein-coding,-,-,-,transcription activator,20210607,-
1920379,65072443,KMD31_gp61,KMD31_gp61,P240_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072444,KMD31_gp62,KMD31_gp62,P240_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1920379,65072445,KMD31_gp63,KMD31_gp63,P240_64,-,-,-,virulence-associated protein,protein-coding,-,-,-,virulence-associated protein,20210612,-
1920379,65072446,KMD31_gp64,KMD31_gp64,P240_65,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210607,-
1920379,65072447,KMD31_gp65,KMD31_gp65,P240_66,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
1920379,65072448,KMD31_gp66,KMD31_gp66,P240_67,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210612,-
1920379,65072449,KMD31_gp67,KMD31_gp67,P240_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210609,-
1920379,65072450,KMD31_gp01,KMD31_gp01,P240_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
1920379,65242510,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
