#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1983572,65107741,KNT63_gp002,KNT63_gp002,-,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20210607,-
1983572,65107742,KNT63_gp003,KNT63_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107743,KNT63_gp004,KNT63_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107744,KNT63_gp005,KNT63_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107745,KNT63_gp006,KNT63_gp006,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210607,-
1983572,65107746,KNT63_gp007,KNT63_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107747,KNT63_gp008,KNT63_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107748,KNT63_gp009,KNT63_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107749,KNT63_gp010,KNT63_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107750,KNT63_gp011,KNT63_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107751,KNT63_gp012,KNT63_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107752,KNT63_gp013,KNT63_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107753,KNT63_gp014,KNT63_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107754,KNT63_gp015,KNT63_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107755,KNT63_gp016,KNT63_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107756,KNT63_gp017,KNT63_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107757,KNT63_gp018,KNT63_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107758,KNT63_gp019,KNT63_gp019,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210607,-
1983572,65107759,KNT63_gp020,KNT63_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107760,KNT63_gp021,KNT63_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107761,KNT63_gp022,KNT63_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
