#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1983576,60332758,2,I5H78_gp002,SEA_PIPPY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
1983576,60332759,3,I5H78_gp003,SEA_PIPPY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
1983576,60332760,4,I5H78_gp004,SEA_PIPPY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
1983576,60332761,5,I5H78_gp005,SEA_PIPPY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
1983576,60332762,6,I5H78_gp006,SEA_PIPPY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1983576,60332763,7,I5H78_gp007,SEA_PIPPY_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
1983576,60332764,8,I5H78_gp008,SEA_PIPPY_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
1983576,60332765,9,I5H78_gp009,SEA_PIPPY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1983576,60332766,10,I5H78_gp010,SEA_PIPPY_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
1983576,60332767,11,I5H78_gp011,SEA_PIPPY_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
1983576,60332768,12,I5H78_gp012,SEA_PIPPY_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1983576,60332769,13,I5H78_gp013,SEA_PIPPY_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1983576,60332770,15,I5H78_gp015,SEA_PIPPY_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1983576,60332771,16,I5H78_gp016,SEA_PIPPY_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1983576,60332772,17,I5H78_gp017,SEA_PIPPY_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
