#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
198538,1257686,SpyM3_0684,SpyM3_0684,-,-,-,-,putative repressor,protein-coding,-,-,-,putative repressor,20200628,-
198538,1257687,SpyM3_0712,SpyM3_0712,-,-,-,-,head maturation protease,protein-coding,-,-,-,head maturation protease,20200628,-
198538,1257688,SpyM3_0686,SpyM3_0686,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257689,SpyM3_0727,SpyM3_0727,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257690,SpyM3_0681,SpyM3_0681,-,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20200628,-
198538,1257691,SpyM3_0729,SpyM3_0729,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257692,SpyM3_0699,SpyM3_0699,-,-,-,-,fragment of single strand binding protein,protein-coding,-,-,-,fragment of single strand binding protein,20210417,-
198538,1257693,SpyM3_0694,SpyM3_0694,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257694,SpyM3_0726,SpyM3_0726,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
198538,1257695,SpyM3_0688,SpyM3_0688,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257696,SpyM3_0730,SpyM3_0730,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200628,-
198538,1257697,SpyM3_0700,SpyM3_0700,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257698,SpyM3_0719,SpyM3_0719,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200628,-
198538,1257699,SpyM3_0718,SpyM3_0718,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257700,SpyM3_0682,SpyM3_0682,-,-,-,-,type II toxin-antitoxin system PemK/MazF family toxin,protein-coding,-,-,-,type II toxin-antitoxin system PemK/MazF family toxin,20210212,-
198538,1257701,SpyM3_0720,SpyM3_0720,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257702,SpyM3_0706,SpyM3_0706,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257703,SpyM3_0724,SpyM3_0724,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201003,-
198538,1257704,SpyM3_0705,SpyM3_0705,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257705,SpyM3_0704,SpyM3_0704,-,-,-,-,site-specific recombinase,protein-coding,-,-,-,site-specific recombinase,20200628,-
198538,1257706,SpyM3_0693,SpyM3_0693,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257707,SpyM3_0687,SpyM3_0687,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
198538,1257708,SpyM3_0728,SpyM3_0728,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257709,SpyM3_0711,SpyM3_0711,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200628,-
198538,1257710,SpyM3_0735,SpyM3_0735,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257711,SpyM3_0697,SpyM3_0697,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257712,SpyM3_0695,SpyM3_0695,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
198538,1257713,SpyM3_0685,SpyM3_0685,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
