#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1987159,11537034,orf014,CBA120_gp012,-,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20201221,-
1987159,11537035,orf015,CBA120_gp013,-,-,-,-,gp52 topoisomerase II medium subunit,protein-coding,-,-,-,gp52 topoisomerase II medium subunit,20210313,-
1987159,11537036,orf016,CBA120_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537037,orf017,CBA120_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537038,orf018,CBA120_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537039,orf019,CBA120_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537040,orf020,CBA120_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537041,orf021,CBA120_gp019,-,-,-,-,Tk.4 conserved hypothetical phage protein,protein-coding,-,-,-,Tk.4 conserved hypothetical phage protein,20210313,-
1987159,11537042,orf022,CBA120_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537043,orf023,CBA120_gp021,-,-,-,-,DexA exonuclease,protein-coding,-,-,-,DexA exonuclease,20210424,-
1987159,11537044,orf025,CBA120_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537045,orf027,CBA120_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537046,orf028,CBA120_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537047,orf031,CBA120_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537048,orf033,CBA120_gp026,-,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210313,-
1987159,11537049,orf034,CBA120_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537050,orf035,CBA120_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537051,orf036,CBA120_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537052,orf037,CBA120_gp030,-,-,-,-,putative cytidine/deoxycytidylate deaminase,protein-coding,-,-,-,putative cytidine/deoxycytidylate deaminase,20210313,-
1987159,11537053,orf039,CBA120_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1987159,11537054,orf042,CBA120_gp032,-,-,-,-,gp4 head completion protein,protein-coding,-,-,-,gp4 head completion protein,20201221,-
1987159,11537055,orf043,CBA120_gp033,-,-,-,-,gp48 putative tail tube associated base plate protein,protein-coding,-,-,-,gp48 putative tail tube associated base plate protein,20201221,-
1987159,11537056,orf044,CBA120_gp034,-,-,-,-,gp53 baseplate wedge subunit,protein-coding,-,-,-,gp53 baseplate wedge subunit,20210123,-
1987159,11537057,orf045,CBA120_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537058,orf047,CBA120_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537059,orf048,CBA120_gp037,-,-,-,-,gp59 T4-like loader of gp41 DNA helicase,protein-coding,-,-,-,gp59 T4-like loader of gp41 DNA helicase,20201221,-
1987159,11537060,orf049,CBA120_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537061,orf050,CBA120_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537062,orf052,CBA120_gp040,-,-,-,-,gp30 DNA ligase,protein-coding,-,-,-,gp30 DNA ligase,20201221,-
1987159,11537063,orf053,CBA120_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537064,orf055,CBA120_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537065,orf057,CBA120_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537066,orf058,CBA120_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537067,orf060,CBA120_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
