#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015833,60336287,2,I5J43_gp02,SEA_KSQUARED_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2015833,60336288,3,I5J43_gp03,SEA_KSQUARED_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2015833,60336289,4,I5J43_gp04,SEA_KSQUARED_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2015833,60336290,5,I5J43_gp05,SEA_KSQUARED_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2015833,60336291,6,I5J43_gp06,SEA_KSQUARED_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2015833,60336292,7,I5J43_gp07,SEA_KSQUARED_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336293,8,I5J43_gp08,SEA_KSQUARED_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210123,-
2015833,60336294,9,I5J43_gp09,SEA_KSQUARED_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2015833,60336295,10,I5J43_gp10,SEA_KSQUARED_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2015833,60336296,11,I5J43_gp11,SEA_KSQUARED_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336297,12,I5J43_gp12,SEA_KSQUARED_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336298,13,I5J43_gp13,SEA_KSQUARED_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2015833,60336299,14,I5J43_gp14,SEA_KSQUARED_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2015833,60336300,15,I5J43_gp15,SEA_KSQUARED_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2015833,60336301,16,I5J43_gp16,SEA_KSQUARED_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2015833,60336302,18,I5J43_gp18,SEA_KSQUARED_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2015833,60336303,19,I5J43_gp19,SEA_KSQUARED_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2015833,60336304,20,I5J43_gp20,SEA_KSQUARED_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2015833,60336305,21,I5J43_gp21,SEA_KSQUARED_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2015833,60336306,22,I5J43_gp22,SEA_KSQUARED_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2015833,60336307,23,I5J43_gp23,SEA_KSQUARED_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336308,24,I5J43_gp24,SEA_KSQUARED_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336309,25,I5J43_gp25,SEA_KSQUARED_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336310,26,I5J43_gp26,SEA_KSQUARED_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2015833,60336311,27,I5J43_gp27,SEA_KSQUARED_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2015833,60336312,28,I5J43_gp28,SEA_KSQUARED_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2015833,60336313,29,I5J43_gp29,SEA_KSQUARED_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2015833,60336314,30,I5J43_gp30,SEA_KSQUARED_30,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2015833,60336315,31,I5J43_gp31,SEA_KSQUARED_31,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2015833,60336316,32,I5J43_gp32,SEA_KSQUARED_32,-,-,-,excise,protein-coding,-,-,-,excise,20210116,-
2015833,60336317,33,I5J43_gp33,SEA_KSQUARED_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336318,34,I5J43_gp34,SEA_KSQUARED_34,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2015833,60336319,35,I5J43_gp35,SEA_KSQUARED_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2015833,60336320,36,I5J43_gp36,SEA_KSQUARED_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336321,37,I5J43_gp37,SEA_KSQUARED_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336322,38,I5J43_gp38,SEA_KSQUARED_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2015833,60336323,39,I5J43_gp39,SEA_KSQUARED_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336324,40,I5J43_gp40,SEA_KSQUARED_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336325,41,I5J43_gp41,SEA_KSQUARED_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336326,42,I5J43_gp42,SEA_KSQUARED_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336327,43,I5J43_gp43,SEA_KSQUARED_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336328,44,I5J43_gp44,SEA_KSQUARED_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336329,45,I5J43_gp45,SEA_KSQUARED_45,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210424,-
2015833,60336330,46,I5J43_gp46,SEA_KSQUARED_46,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210123,-
2015833,60336331,47,I5J43_gp47,SEA_KSQUARED_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336332,48,I5J43_gp48,SEA_KSQUARED_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336333,49,I5J43_gp49,SEA_KSQUARED_49,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210116,-
2015833,60336334,50,I5J43_gp50,SEA_KSQUARED_50,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2015833,60336335,51,I5J43_gp51,SEA_KSQUARED_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336336,52,I5J43_gp52,SEA_KSQUARED_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336337,53,I5J43_gp53,SEA_KSQUARED_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2015833,60336338,54,I5J43_gp54,SEA_KSQUARED_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336339,55,I5J43_gp55,SEA_KSQUARED_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336340,57,I5J43_gp57,SEA_KSQUARED_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336341,58,I5J43_gp58,SEA_KSQUARED_58,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
2015833,60336342,60,I5J43_gp60,SEA_KSQUARED_60,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2015833,60336343,62,I5J43_gp62,SEA_KSQUARED_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2015833,60336344,63,I5J43_gp63,SEA_KSQUARED_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2015833,60336345,64,I5J43_gp64,SEA_KSQUARED_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336346,65,I5J43_gp65,SEA_KSQUARED_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336347,66,I5J43_gp66,SEA_KSQUARED_66,-,-,-,RepA-like replication initiator,protein-coding,-,-,-,RepA-like replication initiator,20201130,-
2015833,60336348,67,I5J43_gp67,SEA_KSQUARED_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336349,68,I5J43_gp68,SEA_KSQUARED_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336350,69,I5J43_gp69,SEA_KSQUARED_69,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2015833,60336351,70,I5J43_gp70,SEA_KSQUARED_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336352,71,I5J43_gp71,SEA_KSQUARED_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336353,72,I5J43_gp72,SEA_KSQUARED_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336354,73,I5J43_gp73,SEA_KSQUARED_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336355,74,I5J43_gp74,SEA_KSQUARED_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336356,75,I5J43_gp75,SEA_KSQUARED_75,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210313,-
2015833,60336357,76,I5J43_gp76,SEA_KSQUARED_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336358,77,I5J43_gp77,SEA_KSQUARED_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336359,78,I5J43_gp78,SEA_KSQUARED_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336360,79,I5J43_gp79,SEA_KSQUARED_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015833,60336361,80,I5J43_gp80,SEA_KSQUARED_80,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
