#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015875,60336446,2,I5J45_gp02,SEA_BARTHOLOMEW_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2015875,60336447,3,I5J45_gp03,SEA_BARTHOLOMEW_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2015875,60336448,4,I5J45_gp04,SEA_BARTHOLOMEW_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210417,-
2015875,60336449,5,I5J45_gp05,SEA_BARTHOLOMEW_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2015875,60336450,6,I5J45_gp06,SEA_BARTHOLOMEW_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2015875,60336451,7,I5J45_gp07,SEA_BARTHOLOMEW_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336452,8,I5J45_gp08,SEA_BARTHOLOMEW_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210123,-
2015875,60336453,9,I5J45_gp09,SEA_BARTHOLOMEW_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2015875,60336454,10,I5J45_gp10,SEA_BARTHOLOMEW_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336455,11,I5J45_gp11,SEA_BARTHOLOMEW_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336456,12,I5J45_gp12,SEA_BARTHOLOMEW_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336457,13,I5J45_gp13,SEA_BARTHOLOMEW_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2015875,60336458,14,I5J45_gp14,SEA_BARTHOLOMEW_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2015875,60336459,16,I5J45_gp15,SEA_BARTHOLOMEW_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2015875,60336460,17,I5J45_gp17,SEA_BARTHOLOMEW_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2015875,60336461,15,I5J45_gp16,SEA_BARTHOLOMEW_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2015875,60336462,18,I5J45_gp18,SEA_BARTHOLOMEW_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2015875,60336463,19,I5J45_gp19,SEA_BARTHOLOMEW_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2015875,60336464,20,I5J45_gp20,SEA_BARTHOLOMEW_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2015875,60336465,21,I5J45_gp21,SEA_BARTHOLOMEW_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2015875,60336466,22,I5J45_gp22,SEA_BARTHOLOMEW_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2015875,60336467,23,I5J45_gp23,SEA_BARTHOLOMEW_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336468,24,I5J45_gp24,SEA_BARTHOLOMEW_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336469,25,I5J45_gp25,SEA_BARTHOLOMEW_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2015875,60336470,26,I5J45_gp26,SEA_BARTHOLOMEW_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2015875,60336471,27,I5J45_gp27,SEA_BARTHOLOMEW_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2015875,60336472,28,I5J45_gp28,SEA_BARTHOLOMEW_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2015875,60336473,29,I5J45_gp29,SEA_BARTHOLOMEW_29,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210417,-
2015875,60336474,30,I5J45_gp30,SEA_BARTHOLOMEW_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2015875,60336475,31,I5J45_gp31,SEA_BARTHOLOMEW_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2015875,60336476,32,I5J45_gp32,SEA_BARTHOLOMEW_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336477,33,I5J45_gp33,SEA_BARTHOLOMEW_33,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2015875,60336478,34,I5J45_gp34,SEA_BARTHOLOMEW_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336479,35,I5J45_gp35,SEA_BARTHOLOMEW_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336480,36,I5J45_gp36,SEA_BARTHOLOMEW_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336481,37,I5J45_gp37,SEA_BARTHOLOMEW_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2015875,60336482,38,I5J45_gp38,SEA_BARTHOLOMEW_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336483,39,I5J45_gp39,SEA_BARTHOLOMEW_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336484,40,I5J45_gp40,SEA_BARTHOLOMEW_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336485,41,I5J45_gp41,SEA_BARTHOLOMEW_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336486,42,I5J45_gp42,SEA_BARTHOLOMEW_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336487,43,I5J45_gp43,SEA_BARTHOLOMEW_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336488,45,I5J45_gp45,SEA_BARTHOLOMEW_45,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210417,-
2015875,60336489,46,I5J45_gp46,SEA_BARTHOLOMEW_46,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2015875,60336490,47,I5J45_gp47,SEA_BARTHOLOMEW_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336491,48,I5J45_gp48,SEA_BARTHOLOMEW_48,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210417,-
2015875,60336492,49,I5J45_gp49,SEA_BARTHOLOMEW_49,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210424,-
2015875,60336493,50,I5J45_gp50,SEA_BARTHOLOMEW_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336494,51,I5J45_gp51,SEA_BARTHOLOMEW_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336495,52,I5J45_gp52,SEA_BARTHOLOMEW_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336496,53,I5J45_gp53,SEA_BARTHOLOMEW_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336497,54,I5J45_gp54,SEA_BARTHOLOMEW_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336498,55,I5J45_gp55,SEA_BARTHOLOMEW_55,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2015875,60336499,56,I5J45_gp56,SEA_BARTHOLOMEW_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336500,57,I5J45_gp57,SEA_BARTHOLOMEW_57,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2015875,60336501,58,I5J45_gp58,SEA_BARTHOLOMEW_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336502,59,I5J45_gp59,SEA_BARTHOLOMEW_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336503,60,I5J45_gp60,SEA_BARTHOLOMEW_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336504,61,I5J45_gp61,SEA_BARTHOLOMEW_61,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2015875,60336505,62,I5J45_gp62,SEA_BARTHOLOMEW_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336506,63,I5J45_gp63,SEA_BARTHOLOMEW_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336507,64,I5J45_gp64,SEA_BARTHOLOMEW_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336508,65,I5J45_gp65,SEA_BARTHOLOMEW_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336509,66,I5J45_gp66,SEA_BARTHOLOMEW_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336510,67,I5J45_gp67,SEA_BARTHOLOMEW_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
