#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024283,40088795,FDI42_gp02,FDI42_gp02,SEA_SHADE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2024283,40088796,FDI42_gp03,FDI42_gp03,SEA_SHADE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2024283,40088797,FDI42_gp04,FDI42_gp04,SEA_SHADE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2024283,40088798,FDI42_gp05,FDI42_gp05,SEA_SHADE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024283,40088799,FDI42_gp06,FDI42_gp06,SEA_SHADE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024283,40088800,FDI42_gp07,FDI42_gp07,SEA_SHADE_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2024283,40088801,FDI42_gp08,FDI42_gp08,SEA_SHADE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024283,40088802,FDI42_gp09,FDI42_gp09,SEA_SHADE_9,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2024283,40088803,FDI42_gp10,FDI42_gp10,SEA_SHADE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024283,40088804,FDI42_gp11,FDI42_gp11,SEA_SHADE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024283,40088805,FDI42_gp12,FDI42_gp12,SEA_SHADE_12,-,-,-,head to tail connector,protein-coding,-,-,-,head to tail connector,20201221,-
2024283,40088806,FDI42_gp13,FDI42_gp13,SEA_SHADE_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024283,40088807,FDI42_gp14,FDI42_gp14,SEA_SHADE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024283,40088808,FDI42_gp15,FDI42_gp15,SEA_SHADE_15,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201221,-
2024283,40088809,FDI42_gp16,FDI42_gp16,SEA_SHADE_16,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201221,-
2024283,40088810,FDI42_gp17,FDI42_gp17,SEA_SHADE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024283,40088811,FDI42_gp18,FDI42_gp18,SEA_SHADE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024283,40088812,FDI42_gp19,FDI42_gp19,SEA_SHADE_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
