#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024284,40088873,FDI43_gp02,FDI43_gp02,SEA_DRGREY_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2024284,40088874,FDI43_gp03,FDI43_gp03,SEA_DRGREY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088875,FDI43_gp04,FDI43_gp04,SEA_DRGREY_4,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
2024284,40088876,FDI43_gp05,FDI43_gp05,SEA_DRGREY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088877,FDI43_gp06,FDI43_gp06,SEA_DRGREY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088878,FDI43_gp07,FDI43_gp07,SEA_DRGREY_7,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2024284,40088879,FDI43_gp08,FDI43_gp08,SEA_DRGREY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088880,FDI43_gp09,FDI43_gp09,SEA_DRGREY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088881,FDI43_gp10,FDI43_gp10,SEA_DRGREY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088882,FDI43_gp12,FDI43_gp12,SEA_DRGREY_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2024284,40088883,FDI43_gp13,FDI43_gp13,SEA_DRGREY_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088884,FDI43_gp14,FDI43_gp14,SEA_DRGREY_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2024284,40088885,FDI43_gp15,FDI43_gp15,SEA_DRGREY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088886,FDI43_gp16,FDI43_gp16,SEA_DRGREY_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088887,FDI43_gp17,FDI43_gp17,SEA_DRGREY_17,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2024284,40088888,FDI43_gp18,FDI43_gp18,SEA_DRGREY_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088889,FDI43_gp19,FDI43_gp19,SEA_DRGREY_19,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2024284,40088890,FDI43_gp20,FDI43_gp20,SEA_DRGREY_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024284,40088891,FDI43_gp21,FDI43_gp21,SEA_DRGREY_21,-,-,-,chitosanase,protein-coding,-,-,-,chitosanase,20201221,-
2024284,40088892,FDI43_gp22,FDI43_gp22,SEA_DRGREY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
