#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026080,40089115,FDI45_gp002,FDI45_gp002,RISINGSUN_2,-,-,-,putative tail tube protein,protein-coding,-,-,-,putative tail tube protein,20201221,-
2026080,40089116,FDI45_gp003,FDI45_gp003,RISINGSUN_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089117,FDI45_gp004,FDI45_gp004,RISINGSUN_4,-,-,-,putative structural head protein,protein-coding,-,-,-,putative structural head protein,20201221,-
2026080,40089118,FDI45_gp005,FDI45_gp005,RISINGSUN_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089119,FDI45_gp006,FDI45_gp006,RISINGSUN_6,-,-,-,putative dTMP kinase,protein-coding,-,-,-,putative dTMP kinase,20201221,-
2026080,40089120,FDI45_gp007,FDI45_gp007,RISINGSUN_7,-,-,-,putative thymidylate kinase,protein-coding,-,-,-,putative thymidylate kinase,20201221,-
2026080,40089121,FDI45_gp008,FDI45_gp008,RISINGSUN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089122,FDI45_gp009,FDI45_gp009,RISINGSUN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089123,FDI45_gp010,FDI45_gp010,RISINGSUN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089124,FDI45_gp011,FDI45_gp011,RISINGSUN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089125,FDI45_gp012,FDI45_gp012,RISINGSUN_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089126,FDI45_gp013,FDI45_gp013,RISINGSUN_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089127,FDI45_gp014,FDI45_gp014,RISINGSUN_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089128,FDI45_gp015,FDI45_gp015,RISINGSUN_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089129,FDI45_gp016,FDI45_gp016,RISINGSUN_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089130,FDI45_gp017,FDI45_gp017,RISINGSUN_17,-,-,-,putative tubulin like protein,protein-coding,-,-,-,putative tubulin like protein,20201221,-
2026080,40089131,FDI45_gp018,FDI45_gp018,RISINGSUN_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
