#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027277,55808479,HYP51_gp02,HYP51_gp02,LP1502a_02,-,-,-,site-specific DNA-methyltransferase,protein-coding,-,-,-,site-specific DNA-methyltransferase,20210424,-
2027277,55808480,HYP51_gp03,HYP51_gp03,LP1502a_03,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027277,55808481,HYP51_gp04,HYP51_gp04,LP1502a_04,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2027277,55808482,HYP51_gp05,HYP51_gp05,LP1502a_05,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2027277,55808483,HYP51_gp06,HYP51_gp06,LP1502a_06,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20200912,-
2027277,55808484,HYP51_gp07,HYP51_gp07,LP1502a_07,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2027277,55808485,HYP51_gp08,HYP51_gp08,LP1502a_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808486,HYP51_gp09,HYP51_gp09,LP1502a_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808487,HYP51_gp10,HYP51_gp10,LP1502a_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808488,HYP51_gp11,HYP51_gp11,LP1502a_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808489,HYP51_gp12,HYP51_gp12,LP1502a_12,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210424,-
2027277,55808490,HYP51_gp13,HYP51_gp13,LP1502a_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2027277,55808491,HYP51_gp14,HYP51_gp14,LP1502a_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808492,HYP51_gp15,HYP51_gp15,LP1502a_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808493,HYP51_gp16,HYP51_gp16,LP1502a_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2027277,55808494,HYP51_gp17,HYP51_gp17,LP1502a_17,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210424,-
2027277,55808495,HYP51_gp18,HYP51_gp18,LP1502a_18,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210424,-
2027277,55808496,HYP51_gp19,HYP51_gp19,LP1502a_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808497,HYP51_gp20,HYP51_gp20,LP1502a_20,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20210424,-
2027277,55808498,HYP51_gp21,HYP51_gp21,LP1502a_21,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2027277,55808499,HYP51_gp22,HYP51_gp22,LP1502a_22,-,-,-,lysin,protein-coding,-,-,-,lysin,20210424,-
2027277,55808500,HYP51_gp23,HYP51_gp23,LP1502a_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808501,HYP51_gp24,HYP51_gp24,LP1502a_24,-,-,-,putative lytic transglycosylase,protein-coding,-,-,-,putative lytic transglycosylase,20210424,-
2027277,55808502,HYP51_gp25,HYP51_gp25,LP1502a_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808503,HYP51_gp26,HYP51_gp26,LP1502a_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808504,HYP51_gp27,HYP51_gp27,LP1502a_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808505,HYP51_gp28,HYP51_gp28,LP1502a_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808506,HYP51_gp29,HYP51_gp29,LP1502a_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808507,HYP51_gp30,HYP51_gp30,LP1502a_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808508,HYP51_gp31,HYP51_gp31,LP1502a_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808509,HYP51_gp32,HYP51_gp32,LP1502a_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808510,HYP51_gp33,HYP51_gp33,LP1502a_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027277,55808511,HYP51_gp34,HYP51_gp34,LP1502a_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808512,HYP51_gp35,HYP51_gp35,LP1502a_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808513,HYP51_gp36,HYP51_gp36,LP1502a_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808514,HYP51_gp37,HYP51_gp37,LP1502a_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808515,HYP51_gp38,HYP51_gp38,LP1502a_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808516,HYP51_gp39,HYP51_gp39,LP1502a_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808517,HYP51_gp40,HYP51_gp40,LP1502a_40,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20210424,-
2027277,55808518,HYP51_gp41,HYP51_gp41,LP1502a_41,-,-,-,SAK protein,protein-coding,-,-,-,SAK protein,20210424,-
2027277,55808519,HYP51_gp42,HYP51_gp42,LP1502a_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808520,HYP51_gp43,HYP51_gp43,LP1502a_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808521,HYP51_gp44,HYP51_gp44,LP1502a_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808522,HYP51_gp45,HYP51_gp45,LP1502a_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808523,HYP51_gp46,HYP51_gp46,LP1502a_46,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
2027277,55808524,HYP51_gp47,HYP51_gp47,LP1502a_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808525,HYP51_gp48,HYP51_gp48,LP1502a_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808526,HYP51_gp49,HYP51_gp49,LP1502a_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808527,HYP51_gp50,HYP51_gp50,LP1502a_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808528,HYP51_gp51,HYP51_gp51,LP1502a_51,-,-,-,holiday junction endonuclease,protein-coding,-,-,-,holiday junction endonuclease,20210424,-
2027277,55808529,HYP51_gp52,HYP51_gp52,LP1502a_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027277,55808530,HYP51_gp01,HYP51_gp01,LP1502a_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210424,-
2027277,55863459,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
