#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027899,64763415,KHO57_gp002,KHO57_gp002,SEA_PHABBA_2,-,-,-,RF-1 peptide chain release factor,protein-coding,-,-,-,RF-1 peptide chain release factor,20210508,-
2027899,64763416,KHO57_gp003,KHO57_gp003,SEA_PHABBA_3,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210508,-
2027899,64763417,KHO57_gp004,KHO57_gp004,SEA_PHABBA_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763418,KHO57_gp005,KHO57_gp005,SEA_PHABBA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763419,KHO57_gp006,KHO57_gp006,SEA_PHABBA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763420,KHO57_gp007,KHO57_gp007,SEA_PHABBA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763421,KHO57_gp008,KHO57_gp008,SEA_PHABBA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763422,KHO57_gp009,KHO57_gp009,SEA_PHABBA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763423,KHO57_gp010,KHO57_gp010,SEA_PHABBA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763424,KHO57_gp011,KHO57_gp011,SEA_PHABBA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763425,KHO57_gp012,KHO57_gp012,SEA_PHABBA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763426,KHO57_gp013,KHO57_gp013,SEA_PHABBA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763427,KHO57_gp014,KHO57_gp014,SEA_PHABBA_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763428,KHO57_gp015,KHO57_gp015,SEA_PHABBA_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763429,KHO57_gp016,KHO57_gp016,SEA_PHABBA_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763430,KHO57_gp017,KHO57_gp017,SEA_PHABBA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763431,KHO57_gp018,KHO57_gp018,SEA_PHABBA_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763432,KHO57_gp019,KHO57_gp019,SEA_PHABBA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763433,KHO57_gp020,KHO57_gp020,SEA_PHABBA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763434,KHO57_gp021,KHO57_gp021,SEA_PHABBA_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763435,KHO57_gp022,KHO57_gp022,SEA_PHABBA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763436,KHO57_gp023,KHO57_gp023,SEA_PHABBA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763437,KHO57_gp024,KHO57_gp024,SEA_PHABBA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763438,KHO57_gp025,KHO57_gp025,SEA_PHABBA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763439,KHO57_gp026,KHO57_gp026,SEA_PHABBA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763440,KHO57_gp027,KHO57_gp027,SEA_PHABBA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763441,KHO57_gp028,KHO57_gp028,SEA_PHABBA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763442,KHO57_gp029,KHO57_gp029,SEA_PHABBA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763443,KHO57_gp030,KHO57_gp030,SEA_PHABBA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763444,KHO57_gp031,KHO57_gp031,SEA_PHABBA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763445,KHO57_gp032,KHO57_gp032,SEA_PHABBA_32,-,-,-,tRNA nucleotidyltransferase,protein-coding,-,-,-,tRNA nucleotidyltransferase,20210508,-
2027899,64763446,KHO57_gp033,KHO57_gp033,SEA_PHABBA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763447,KHO57_gp034,KHO57_gp034,SEA_PHABBA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763448,KHO57_gp035,KHO57_gp035,SEA_PHABBA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763449,KHO57_gp036,KHO57_gp036,SEA_PHABBA_36,-,-,-,esterase,protein-coding,-,-,-,esterase,20210508,-
2027899,64763450,KHO57_gp037,KHO57_gp037,SEA_PHABBA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763451,KHO57_gp038,KHO57_gp038,SEA_PHABBA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763452,KHO57_gp039,KHO57_gp039,SEA_PHABBA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763453,KHO57_gp040,KHO57_gp040,SEA_PHABBA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763454,KHO57_gp041,KHO57_gp041,SEA_PHABBA_41,-,-,-,peptidyl tRNA hydrolase,protein-coding,-,-,-,peptidyl tRNA hydrolase,20210508,-
2027899,64763455,KHO57_gp042,KHO57_gp042,SEA_PHABBA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763456,KHO57_gp043,KHO57_gp043,SEA_PHABBA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
