#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041544,60332558,I5H76_gp003,I5H76_gp003,SEA_PHASIH_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2041544,60332559,I5H76_gp004,I5H76_gp004,SEA_PHASIH_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2041544,60332560,I5H76_gp005,I5H76_gp005,SEA_PHASIH_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2041544,60332561,I5H76_gp006,I5H76_gp006,SEA_PHASIH_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2041544,60332562,I5H76_gp007,I5H76_gp007,SEA_PHASIH_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2041544,60332563,I5H76_gp008,I5H76_gp008,SEA_PHASIH_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2041544,60332564,I5H76_gp009,I5H76_gp009,SEA_PHASIH_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2041544,60332565,I5H76_gp010,I5H76_gp010,SEA_PHASIH_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2041544,60332566,I5H76_gp011,I5H76_gp011,SEA_PHASIH_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2041544,60332567,I5H76_gp012,I5H76_gp012,SEA_PHASIH_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2041544,60332568,I5H76_gp014,I5H76_gp014,SEA_PHASIH_14,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2041544,60332569,I5H76_gp013,I5H76_gp013,SEA_PHASIH_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2041544,60332570,I5H76_gp016,I5H76_gp016,SEA_PHASIH_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041544,60332571,I5H76_gp017,I5H76_gp017,SEA_PHASIH_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041544,60332572,I5H76_gp018,I5H76_gp018,SEA_PHASIH_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041544,60332573,I5H76_gp020,I5H76_gp020,SEA_PHASIH_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210313,-
2041544,60332574,I5H76_gp021,I5H76_gp021,SEA_PHASIH_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041544,60332575,I5H76_gp022,I5H76_gp022,SEA_PHASIH_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041544,60332576,I5H76_gp023,I5H76_gp023,SEA_PHASIH_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041544,60332577,I5H76_gp024,I5H76_gp024,SEA_PHASIH_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041544,60332578,I5H76_gp025,I5H76_gp025,SEA_PHASIH_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041544,60332579,I5H76_gp026,I5H76_gp026,SEA_PHASIH_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2041544,60332580,I5H76_gp027,I5H76_gp027,SEA_PHASIH_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041544,60332581,I5H76_gp028,I5H76_gp028,SEA_PHASIH_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041544,60332582,I5H76_gp030,I5H76_gp030,SEA_PHASIH_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041544,60332583,I5H76_gp031,I5H76_gp031,SEA_PHASIH_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210313,-
2041544,60332584,I5H76_gp032,I5H76_gp032,SEA_PHASIH_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2041544,60332585,I5H76_gp033,I5H76_gp033,SEA_PHASIH_33,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2041544,60332586,I5H76_gp034,I5H76_gp034,SEA_PHASIH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2041544,60332587,I5H76_gp035,I5H76_gp035,SEA_PHASIH_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041544,60332588,I5H76_gp036,I5H76_gp036,SEA_PHASIH_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
