#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047834,64367887,KD931_gp02,KD931_gp02,SEA_ANDIES_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2047834,64367888,KD931_gp03,KD931_gp03,SEA_ANDIES_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367889,KD931_gp04,KD931_gp04,SEA_ANDIES_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2047834,64367890,KD931_gp05,KD931_gp05,SEA_ANDIES_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210423,-
2047834,64367891,KD931_gp06,KD931_gp06,SEA_ANDIES_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2047834,64367892,KD931_gp07,KD931_gp07,SEA_ANDIES_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367893,KD931_gp08,KD931_gp08,SEA_ANDIES_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210423,-
2047834,64367894,KD931_gp09,KD931_gp09,SEA_ANDIES_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210423,-
2047834,64367895,KD931_gp10,KD931_gp10,SEA_ANDIES_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367896,KD931_gp11,KD931_gp11,SEA_ANDIES_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2047834,64367897,KD931_gp12,KD931_gp12,SEA_ANDIES_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210423,-
2047834,64367898,KD931_gp13,KD931_gp13,SEA_ANDIES_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210423,-
2047834,64367899,KD931_gp14,KD931_gp14,SEA_ANDIES_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2047834,64367900,KD931_gp16,KD931_gp16,SEA_ANDIES_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210423,-
2047834,64367901,KD931_gp15,KD931_gp15,SEA_ANDIES_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2047834,64367902,KD931_gp17,KD931_gp17,SEA_ANDIES_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2047834,64367903,KD931_gp18,KD931_gp18,SEA_ANDIES_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2047834,64367904,KD931_gp19,KD931_gp19,SEA_ANDIES_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2047834,64367905,KD931_gp20,KD931_gp20,SEA_ANDIES_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2047834,64367906,KD931_gp21,KD931_gp21,SEA_ANDIES_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2047834,64367907,KD931_gp22,KD931_gp22,SEA_ANDIES_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367908,KD931_gp23,KD931_gp23,SEA_ANDIES_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367909,KD931_gp24,KD931_gp24,SEA_ANDIES_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367910,KD931_gp25,KD931_gp25,SEA_ANDIES_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210515,-
2047834,64367911,KD931_gp26,KD931_gp26,SEA_ANDIES_26,-,-,-,holin,protein-coding,-,-,-,holin,20210529,-
2047834,64367912,KD931_gp27,KD931_gp27,SEA_ANDIES_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2047834,64367913,KD931_gp28,KD931_gp28,SEA_ANDIES_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2047834,64367914,KD931_gp29,KD931_gp29,SEA_ANDIES_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367915,KD931_gp30,KD931_gp30,SEA_ANDIES_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367916,KD931_gp31,KD931_gp31,SEA_ANDIES_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367917,KD931_gp32,KD931_gp32,SEA_ANDIES_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2047834,64367918,KD931_gp33,KD931_gp33,SEA_ANDIES_33,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210529,-
2047834,64367919,KD931_gp34,KD931_gp34,SEA_ANDIES_34,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210529,-
2047834,64367920,KD931_gp35,KD931_gp35,SEA_ANDIES_35,-,-,-,excise,protein-coding,-,-,-,excise,20210529,-
2047834,64367921,KD931_gp36,KD931_gp36,SEA_ANDIES_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367922,KD931_gp37,KD931_gp37,SEA_ANDIES_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367923,KD931_gp38,KD931_gp38,SEA_ANDIES_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367924,KD931_gp39,KD931_gp39,SEA_ANDIES_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367925,KD931_gp40,KD931_gp40,SEA_ANDIES_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367926,KD931_gp41,KD931_gp41,SEA_ANDIES_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367927,KD931_gp42,KD931_gp42,SEA_ANDIES_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367928,KD931_gp43,KD931_gp43,SEA_ANDIES_43,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210423,-
2047834,64367929,KD931_gp44,KD931_gp44,SEA_ANDIES_44,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210423,-
2047834,64367930,KD931_gp45,KD931_gp45,SEA_ANDIES_45,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210605,-
2047834,64367931,KD931_gp46,KD931_gp46,SEA_ANDIES_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367932,KD931_gp47,KD931_gp47,SEA_ANDIES_47,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210423,-
2047834,64367933,KD931_gp48,KD931_gp48,SEA_ANDIES_48,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210423,-
2047834,64367934,KD931_gp49,KD931_gp49,SEA_ANDIES_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367935,KD931_gp50,KD931_gp50,SEA_ANDIES_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367936,KD931_gp51,KD931_gp51,SEA_ANDIES_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367937,KD931_gp52,KD931_gp52,SEA_ANDIES_52,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210515,-
2047834,64367938,KD931_gp53,KD931_gp53,SEA_ANDIES_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367939,KD931_gp54,KD931_gp54,SEA_ANDIES_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367940,KD931_gp55,KD931_gp55,SEA_ANDIES_55,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
