#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047872,40097090,FDJ13_gp02,FDJ13_gp02,PHIRE_GUSTAV_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2047872,40097091,FDJ13_gp03,FDJ13_gp03,PHIRE_GUSTAV_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2047872,40097092,FDJ13_gp04,FDJ13_gp04,PHIRE_GUSTAV_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2047872,40097093,FDJ13_gp05,FDJ13_gp05,PHIRE_GUSTAV_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2047872,40097094,FDJ13_gp06,FDJ13_gp06,PHIRE_GUSTAV_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097095,FDJ13_gp07,FDJ13_gp07,PHIRE_GUSTAV_7,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
2047872,40097096,FDJ13_gp08,FDJ13_gp08,PHIRE_GUSTAV_8,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
2047872,40097097,FDJ13_gp09,FDJ13_gp09,PHIRE_GUSTAV_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097098,FDJ13_gp10,FDJ13_gp10,PHIRE_GUSTAV_10,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
2047872,40097099,FDJ13_gp11,FDJ13_gp11,PHIRE_GUSTAV_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
2047872,40097100,FDJ13_gp12,FDJ13_gp12,PHIRE_GUSTAV_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097101,FDJ13_gp13,FDJ13_gp13,PHIRE_GUSTAV_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097102,FDJ13_gp14,FDJ13_gp14,PHIRE_GUSTAV_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2047872,40097103,FDJ13_gp15,FDJ13_gp15,PHIRE_GUSTAV_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2047872,40097104,FDJ13_gp16,FDJ13_gp16,PHIRE_GUSTAV_16,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
2047872,40097105,FDJ13_gp17,FDJ13_gp17,PHIRE_GUSTAV_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2047872,40097106,FDJ13_gp18,FDJ13_gp18,PHIRE_GUSTAV_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2047872,40097107,FDJ13_gp19,FDJ13_gp19,PHIRE_GUSTAV_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097108,FDJ13_gp20,FDJ13_gp20,PHIRE_GUSTAV_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2047872,40097109,FDJ13_gp21,FDJ13_gp21,PHIRE_GUSTAV_21,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2047872,40097110,FDJ13_gp22,FDJ13_gp22,PHIRE_GUSTAV_22,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2047872,40097111,FDJ13_gp23,FDJ13_gp23,PHIRE_GUSTAV_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
