#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047873,40097160,FDJ14_gp02,FDJ14_gp02,PBI_MAHDIA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2047873,40097161,FDJ14_gp03,FDJ14_gp03,PBI_MAHDIA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2047873,40097162,FDJ14_gp04,FDJ14_gp04,PBI_MAHDIA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2047873,40097163,FDJ14_gp05,FDJ14_gp05,PBI_MAHDIA_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2047873,40097164,FDJ14_gp06,FDJ14_gp06,PBI_MAHDIA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097165,FDJ14_gp07,FDJ14_gp07,PBI_MAHDIA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097166,FDJ14_gp08,FDJ14_gp08,PBI_MAHDIA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097167,FDJ14_gp09,FDJ14_gp09,PBI_MAHDIA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097168,FDJ14_gp10,FDJ14_gp10,PBI_MAHDIA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097169,FDJ14_gp11,FDJ14_gp11,PBI_MAHDIA_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2047873,40097170,FDJ14_gp12,FDJ14_gp12,PBI_MAHDIA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097171,FDJ14_gp13,FDJ14_gp13,PBI_MAHDIA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097172,FDJ14_gp14,FDJ14_gp14,PBI_MAHDIA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2047873,40097173,FDJ14_gp15,FDJ14_gp15,PBI_MAHDIA_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2047873,40097174,FDJ14_gp16,FDJ14_gp16,PBI_MAHDIA_16,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
2047873,40097175,FDJ14_gp17,FDJ14_gp17,PBI_MAHDIA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097176,FDJ14_gp18,FDJ14_gp18,PBI_MAHDIA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2047873,40097177,FDJ14_gp19,FDJ14_gp19,PBI_MAHDIA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097178,FDJ14_gp20,FDJ14_gp20,PBI_MAHDIA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097179,FDJ14_gp21,FDJ14_gp21,PBI_MAHDIA_21,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2047873,40097180,FDJ14_gp22,FDJ14_gp22,PBI_MAHDIA_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2047873,40097181,FDJ14_gp23,FDJ14_gp23,PBI_MAHDIA_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2047873,40097182,FDJ14_gp24,FDJ14_gp24,PBI_MAHDIA_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2047873,40097183,FDJ14_gp25,FDJ14_gp25,PBI_MAHDIA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097184,FDJ14_gp26,FDJ14_gp26,PBI_MAHDIA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097185,FDJ14_gp27,FDJ14_gp27,PBI_MAHDIA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097186,FDJ14_gp28,FDJ14_gp28,PBI_MAHDIA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097187,FDJ14_gp29,FDJ14_gp29,PBI_MAHDIA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097188,FDJ14_gp30,FDJ14_gp30,PBI_MAHDIA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097189,FDJ14_gp31,FDJ14_gp31,PBI_MAHDIA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097190,FDJ14_gp32,FDJ14_gp32,PBI_MAHDIA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097191,FDJ14_gp33,FDJ14_gp33,PBI_MAHDIA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047873,40097192,FDJ14_gp34,FDJ14_gp34,PBI_MAHDIA_34,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
2047873,40097193,FDJ14_gp35,FDJ14_gp35,PBI_MAHDIA_35,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
