#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2052821,40236480,FGG65_gp02,FGG65_gp02,phi673_gp02,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
2052821,40236481,FGG65_gp03,FGG65_gp03,phi673_gp03,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
2052821,40236482,FGG65_gp04,FGG65_gp04,phi673_gp04,-,-,-,putative head maturation protease,protein-coding,-,-,-,putative head maturation protease,20201221,-
2052821,40236483,FGG65_gp05,FGG65_gp05,phi673_gp05,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
2052821,40236484,FGG65_gp06,FGG65_gp06,phi673_gp06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236485,FGG65_gp07,FGG65_gp07,phi673_gp07,-,-,-,putative head-to-tail connector,protein-coding,-,-,-,putative head-to-tail connector,20201221,-
2052821,40236486,FGG65_gp08,FGG65_gp08,phi673_gp08,-,-,-,putative head-to-tail connector,protein-coding,-,-,-,putative head-to-tail connector,20201221,-
2052821,40236487,FGG65_gp09,FGG65_gp09,phi673_gp09,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
2052821,40236488,FGG65_gp10,FGG65_gp10,phi673_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236489,FGG65_gp11,FGG65_gp11,phi673_gp11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
2052821,40236490,FGG65_gp12,FGG65_gp12,phi673_gp12,-,-,-,putative tail assembly chaperone,protein-coding,-,-,-,putative tail assembly chaperone,20201221,-
2052821,40236491,FGG65_gp13,FGG65_gp13,phi673_gp13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236492,FGG65_gp14,FGG65_gp14,phi673_gp14,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
2052821,40236493,FGG65_gp15,FGG65_gp15,phi673_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236494,FGG65_gp16,FGG65_gp16,phi673_gp16,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
2052821,40236495,FGG65_gp17,FGG65_gp17,phi673_gp17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236496,FGG65_gp18,FGG65_gp18,phi673_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236497,FGG65_gp19,FGG65_gp19,phi673_gp19,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
2052821,40236498,FGG65_gp20,FGG65_gp20,phi673_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236499,FGG65_gp21,FGG65_gp21,phi673_gp21,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
2052821,40236500,FGG65_gp22,FGG65_gp22,phi673_gp22,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2052821,40236501,FGG65_gp23,FGG65_gp23,phi673_gp23,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
2052821,40236502,FGG65_gp24,FGG65_gp24,phi673_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236503,FGG65_gp25,FGG65_gp25,phi673_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236504,FGG65_gp26,FGG65_gp26,phi673_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236505,FGG65_gp27,FGG65_gp27,phi673_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236506,FGG65_gp28,FGG65_gp28,phi673_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236507,FGG65_gp29,FGG65_gp29,phi673_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236508,FGG65_gp30,FGG65_gp30,phi673_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236509,FGG65_gp31,FGG65_gp31,phi673_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236510,FGG65_gp32,FGG65_gp32,phi673_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236511,FGG65_gp33,FGG65_gp33,phi673_gp33,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
2052821,40236512,FGG65_gp34,FGG65_gp34,phi673_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236513,FGG65_gp35,FGG65_gp35,phi673_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236514,FGG65_gp36,FGG65_gp36,phi673_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236515,FGG65_gp37,FGG65_gp37,phi673_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236516,FGG65_gp38,FGG65_gp38,phi673_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236517,FGG65_gp39,FGG65_gp39,phi673_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236518,FGG65_gp40,FGG65_gp40,phi673_gp40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236519,FGG65_gp41,FGG65_gp41,phi673_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236520,FGG65_gp42,FGG65_gp42,phi673_gp42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236521,FGG65_gp43,FGG65_gp43,phi673_gp43,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
2052821,40236522,FGG65_gp44,FGG65_gp44,phi673_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236523,FGG65_gp45,FGG65_gp45,phi673_gp45,-,-,-,putative RepA-like protein,protein-coding,-,-,-,putative RepA-like protein,20201221,-
2052821,40236524,FGG65_gp46,FGG65_gp46,phi673_gp46,-,-,-,putative DNA polymerase I,protein-coding,-,-,-,putative DNA polymerase I,20201221,-
2052821,40236525,FGG65_gp47,FGG65_gp47,phi673_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236526,FGG65_gp48,FGG65_gp48,phi673_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236527,FGG65_gp49,FGG65_gp49,phi673_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236528,FGG65_gp50,FGG65_gp50,phi673_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052821,40236529,FGG65_gp51,FGG65_gp51,phi673_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
