#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053078,41900990,F8206_gp02,F8206_gp02,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
2053078,41900991,F8206_gp03,F8206_gp03,-,-,-,-,lysozyme-like protein,protein-coding,-,-,-,lysozyme-like protein,20201221,-
2053078,41900992,F8206_gp04,F8206_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41900993,F8206_gp05,F8206_gp05,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
2053078,41900994,F8206_gp06,F8206_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41900995,F8206_gp07,F8206_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41900996,F8206_gp08,F8206_gp08,-,-,-,-,CRISPR/Cas4 system-associated protein,protein-coding,-,-,-,CRISPR/Cas4 system-associated protein,20201221,-
2053078,41900997,F8206_gp09,F8206_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41900998,F8206_gp10,F8206_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41900999,F8206_gp11,F8206_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901000,F8206_gp12,F8206_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901001,F8206_gp13,F8206_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901002,F8206_gp14,F8206_gp14,-,-,-,-,ATP-dependent DNA or RNA helicase,protein-coding,-,-,-,ATP-dependent DNA or RNA helicase,20201221,-
2053078,41901003,F8206_gp15,F8206_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901004,F8206_gp16,F8206_gp16,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
