#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053813,55606337,HWB41_gp02,HWB41_gp02,SEA_IMMANUEL3_2,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2053813,55606338,HWB41_gp03,HWB41_gp03,SEA_IMMANUEL3_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2053813,55606339,HWB41_gp04,HWB41_gp04,SEA_IMMANUEL3_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606340,HWB41_gp05,HWB41_gp05,SEA_IMMANUEL3_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606341,HWB41_gp06,HWB41_gp06,SEA_IMMANUEL3_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606342,HWB41_gp07,HWB41_gp07,SEA_IMMANUEL3_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606343,HWB41_gp08,HWB41_gp08,SEA_IMMANUEL3_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606344,HWB41_gp09,HWB41_gp09,SEA_IMMANUEL3_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606345,HWB41_gp10,HWB41_gp10,SEA_IMMANUEL3_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606346,HWB41_gp11,HWB41_gp11,SEA_IMMANUEL3_11,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210424,-
2053813,55606347,HWB41_gp12,HWB41_gp12,SEA_IMMANUEL3_12,-,-,-,glycosylase,protein-coding,-,-,-,glycosylase,20200620,-
2053813,55606348,HWB41_gp13,HWB41_gp13,SEA_IMMANUEL3_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606349,HWB41_gt01,HWB41_gt01,SEA_IMMANUEL3_14,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606350,HWB41_gt02,HWB41_gt02,SEA_IMMANUEL3_15,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606351,HWB41_gt03,HWB41_gt03,SEA_IMMANUEL3_16,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606352,HWB41_gt04,HWB41_gt04,SEA_IMMANUEL3_17,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606353,HWB41_gt06,HWB41_gt06,SEA_IMMANUEL3_19,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606354,HWB41_gt08,HWB41_gt08,SEA_IMMANUEL3_21,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606355,HWB41_gt10,HWB41_gt10,SEA_IMMANUEL3_23,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606356,HWB41_gt12,HWB41_gt12,SEA_IMMANUEL3_25,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606357,HWB41_gt13,HWB41_gt13,SEA_IMMANUEL3_26,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606358,HWB41_gt14,HWB41_gt14,SEA_IMMANUEL3_27,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606359,HWB41_gt15,HWB41_gt15,SEA_IMMANUEL3_28,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606360,HWB41_gt16,HWB41_gt16,SEA_IMMANUEL3_29,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606361,HWB41_gt17,HWB41_gt17,SEA_IMMANUEL3_30,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606362,HWB41_gt18,HWB41_gt18,SEA_IMMANUEL3_31,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606363,HWB41_gt19,HWB41_gt19,SEA_IMMANUEL3_32,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606364,HWB41_gt20,HWB41_gt20,SEA_IMMANUEL3_33,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606365,HWB41_gt21,HWB41_gt21,SEA_IMMANUEL3_34,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053813,55606366,HWB41_gp62,HWB41_gp62,SEA_IMMANUEL3_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606367,HWB41_gp01,HWB41_gp01,SEA_IMMANUEL3_1,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
