#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
205895,2598188,LdCPV1s1gp1,LdCPV1s1gp1,-,-,-,-,putative major core protein,protein-coding,-,-,-,putative major core protein,20180815,-
205895,2598189,pol,LdCPV1s2gp1,-,-,-,-,RNA-dependent RNA polymerase,protein-coding,-,-,-,RNA-dependent RNA polymerase,20180815,-
205895,2598190,LdCPV1s3gp1,LdCPV1s3gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205895,2598191,LdCPV1s4gp1,LdCPV1s4gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205895,2598192,LdCPV1s5gp1,LdCPV1s5gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205895,2598193,LdCPV1s6gp1,LdCPV1s6gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205895,2598194,LdCPV1s7gp1,LdCPV1s7gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205895,2598195,LdCPV1s8gp1,LdCPV1s8gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205895,2598196,LdCPV1s9gp1,LdCPV1s9gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205895,2598197,pod,LdCPV1s10gp1,-,-,-,-,polyhedrin,protein-coding,-,-,-,polyhedrin,20180815,-
205895,2830759,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
