#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
205908,984340,pol,LdcV14s1gp1,-,-,-,-,RNA dependent RNA polymerase,protein-coding,-,-,-,RNA dependent RNA polymerase,20180815,-
205908,984341,LdcV14s2gp1,LdcV14s2gp1,-,-,-,-,putative major core protein,protein-coding,-,-,-,putative major core protein,20180815,-
205908,984342,LdcV14s3gp1,LdcV14s3gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205908,984343,LdcV14s4gp1,LdcV14s4gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205908,984344,LdcV14s5gp1,LdcV14s5gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205908,984345,LdcV14s6gp1,LdcV14s6gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205908,984346,LdcV14s7gp1,LdcV14s7gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205908,984347,LdcV14s8gp1,LdcV14s8gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205908,984348,LdcV14s9gp1,LdcV14s9gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205908,984349,pod,LdcV14s10gp1,-,-,-,-,polyhedrin,protein-coding,-,-,-,polyhedrin,20180815,-
205908,1732899,LdcV14s10gp2,LdcV14s10gp2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
205908,2830761,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
