#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059883,54987235,HOS59_gp02,HOS59_gp02,SEA_ROWA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2059883,54987236,HOS59_gp03,HOS59_gp03,SEA_ROWA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2059883,54987237,HOS59_gp04,HOS59_gp04,SEA_ROWA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
2059883,54987238,HOS59_gp05,HOS59_gp05,SEA_ROWA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
2059883,54987239,HOS59_gp06,HOS59_gp06,SEA_ROWA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2059883,54987240,HOS59_gp07,HOS59_gp07,SEA_ROWA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987241,HOS59_gp08,HOS59_gp08,SEA_ROWA_8,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200910,-
2059883,54987242,HOS59_gp09,HOS59_gp09,SEA_ROWA_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200910,-
2059883,54987243,HOS59_gp10,HOS59_gp10,SEA_ROWA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987244,HOS59_gp11,HOS59_gp11,SEA_ROWA_11,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200910,-
2059883,54987245,HOS59_gp12,HOS59_gp12,SEA_ROWA_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2059883,54987246,HOS59_gp13,HOS59_gp13,SEA_ROWA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2059883,54987247,HOS59_gp15,HOS59_gp15,SEA_ROWA_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2059883,54987248,HOS59_gp16,HOS59_gp16,SEA_ROWA_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987249,HOS59_gp17,HOS59_gp17,SEA_ROWA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987250,HOS59_gp18,HOS59_gp18,SEA_ROWA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2059883,54987251,HOS59_gp19,HOS59_gp19,SEA_ROWA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
