#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099652,40101160,FDJ45_gp002,FDJ45_gp002,Vid5_gp02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
2099652,40101161,FDJ45_gp003,FDJ45_gp003,Vid5_gp03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
2099652,40101162,FDJ45_gp004,FDJ45_gp004,Vid5_gp04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101163,FDJ45_gp005,FDJ45_gp005,Vid5_gp05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101164,FDJ45_gp006,FDJ45_gp006,Vid5_gp06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2099652,40101165,FDJ45_gp007,FDJ45_gp007,Vid5_gp07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101166,FDJ45_gp008,FDJ45_gp008,Vid5_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101167,FDJ45_gp009,FDJ45_gp009,Vid5_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101168,FDJ45_gp010,FDJ45_gp010,Vid5_gp10,-,-,-,structural protein containing EPS-depolymerase domain,protein-coding,-,-,-,structural protein containing EPS-depolymerase domain,20200910,-
2099652,40101169,FDJ45_gp011,FDJ45_gp011,Vid5_gp11,-,-,-,adaptor,protein-coding,-,-,-,adaptor,20200910,-
2099652,40101170,FDJ45_gp012,FDJ45_gp012,Vid5_gp12,-,-,-,head closure protein,protein-coding,-,-,-,head closure protein,20200910,-
2099652,40101171,FDJ45_gp013,FDJ45_gp013,Vid5_gp13,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
2099652,40101172,FDJ45_gp014,FDJ45_gp014,Vid5_gp14,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20200910,-
2099652,40101173,FDJ45_gp015,FDJ45_gp015,Vid5_gp15,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2099652,40101174,FDJ45_gp016,FDJ45_gp016,Vid5_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101175,FDJ45_gp017,FDJ45_gp017,Vid5_gp17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101176,FDJ45_gp018,FDJ45_gp018,Vid5_gp18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200910,-
2099652,40101177,FDJ45_gp019,FDJ45_gp019,Vid5_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101178,FDJ45_gp020,FDJ45_gp020,Vid5_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101179,FDJ45_gp021,FDJ45_gp021,Vid5_gp21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101180,FDJ45_gp022,FDJ45_gp022,Vid5_gp22,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
2099652,40101181,FDJ45_gp023,FDJ45_gp023,Vid5_gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101182,FDJ45_gp024,FDJ45_gp024,Vid5_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101183,FDJ45_gp025,FDJ45_gp025,Vid5_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101184,FDJ45_gp026,FDJ45_gp026,Vid5_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101185,FDJ45_gp027,FDJ45_gp027,Vid5_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101186,FDJ45_gp028,FDJ45_gp028,Vid5_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101187,FDJ45_gp029,FDJ45_gp029,Vid5_gp29,-,-,-,DNA polymerase alpha subunit,protein-coding,-,-,-,DNA polymerase alpha subunit,20200910,-
2099652,40101188,FDJ45_gp030,FDJ45_gp030,Vid5_gp30,-,-,-,DNA polymerase beta subunit,protein-coding,-,-,-,DNA polymerase beta subunit,20200910,-
2099652,40101189,FDJ45_gp031,FDJ45_gp031,Vid5_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101190,FDJ45_gp032,FDJ45_gp032,Vid5_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101191,FDJ45_gp033,FDJ45_gp033,Vid5_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101192,FDJ45_gp034,FDJ45_gp034,Vid5_gp34,-,-,-,queuosine tRNA ribosyltransferase,protein-coding,-,-,-,queuosine tRNA ribosyltransferase,20200910,-
2099652,40101193,FDJ45_gp035,FDJ45_gp035,Vid5_gp35,-,-,-,GTP cyclohydrolase type I,protein-coding,-,-,-,GTP cyclohydrolase type I,20200910,-
2099652,40101194,FDJ45_gp036,FDJ45_gp036,Vid5_gp36,-,-,-,6-carboxytetrahydropterin synthase,protein-coding,-,-,-,6-carboxytetrahydropterin synthase,20200910,-
2099652,40101195,FDJ45_gp037,FDJ45_gp037,Vid5_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101196,FDJ45_gp038,FDJ45_gp038,Vid5_gp38,-,-,-,glutamine amidotransferase class-II,protein-coding,-,-,-,glutamine amidotransferase class-II,20200910,-
2099652,40101197,FDJ45_gp039,FDJ45_gp039,Vid5_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101198,FDJ45_gp040,FDJ45_gp040,Vid5_gp40,-,-,-,queuosine biosynthesis protein,protein-coding,-,-,-,queuosine biosynthesis protein,20200910,-
2099652,40101199,FDJ45_gp041,FDJ45_gp041,Vid5_gp41,-,-,-,VUT family protein,protein-coding,-,-,-,VUT family protein,20200910,-
2099652,40101200,FDJ45_gp042,FDJ45_gp042,Vid5_gp42,-,-,-,transcriptional activator,protein-coding,-,-,-,transcriptional activator,20200910,-
2099652,40101201,FDJ45_gp043,FDJ45_gp043,Vid5_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101202,FDJ45_gp044,FDJ45_gp044,Vid5_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101203,FDJ45_gp045,FDJ45_gp045,Vid5_gp45,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
2099652,40101204,FDJ45_gp046,FDJ45_gp046,Vid5_gp46,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
2099652,40101205,FDJ45_gp047,FDJ45_gp047,Vid5_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101206,FDJ45_gp048,FDJ45_gp048,Vid5_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101207,FDJ45_gp049,FDJ45_gp049,Vid5_gp49,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20200910,-
2099652,40101208,FDJ45_gp050,FDJ45_gp050,Vid5_gp50,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
2099652,40101209,FDJ45_gp051,FDJ45_gp051,Vid5_gp51,-,-,-,RNAseH,protein-coding,-,-,-,RNAseH,20200910,-
2099652,40101210,FDJ45_gp052,FDJ45_gp052,Vid5_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101211,FDJ45_gp053,FDJ45_gp053,Vid5_gp53,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20200910,-
2099652,40101212,FDJ45_gp054,FDJ45_gp054,Vid5_gp54,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200910,-
2099652,40101213,FDJ45_gp055,FDJ45_gp055,Vid5_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101214,FDJ45_gt001,FDJ45_gt001,Vid5_gt001,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2099652,40101215,FDJ45_gp099,FDJ45_gp099,Vid5_gp56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101216,FDJ45_gp001,FDJ45_gp001,Vid5_gp01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
2099652,40101217,FDJ45_gp098,FDJ45_gp098,Vid5_gp57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
