#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126803,40101470,FDJ49_gp02,FDJ49_gp02,vBAbaPD2_02,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
2126803,40101471,FDJ49_gp03,FDJ49_gp03,vBAbaPD2_03,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
2126803,40101472,FDJ49_gp04,FDJ49_gp04,vBAbaPD2_04,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
2126803,40101473,FDJ49_gp05,FDJ49_gp05,vBAbaPD2_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101474,FDJ49_gp06,FDJ49_gp06,vBAbaPD2_06,-,-,-,putative DNA maturase B,protein-coding,-,-,-,putative DNA maturase B,20201221,-
2126803,40101475,FDJ49_gp07,FDJ49_gp07,vBAbaPD2_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101476,FDJ49_gp08,FDJ49_gp08,vBAbaPD2_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101477,FDJ49_gp09,FDJ49_gp09,vBAbaPD2_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101478,FDJ49_gp10,FDJ49_gp10,vBAbaPD2_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101479,FDJ49_gp11,FDJ49_gp11,vBAbaPD2_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101480,FDJ49_gp12,FDJ49_gp12,vBAbaPD2_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101481,FDJ49_gp13,FDJ49_gp13,vBAbaPD2_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101482,FDJ49_gp14,FDJ49_gp14,vBAbaPD2_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101483,FDJ49_gp15,FDJ49_gp15,vBAbaPD2_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101484,FDJ49_gp16,FDJ49_gp16,vBAbaPD2_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101485,FDJ49_gp17,FDJ49_gp17,vBAbaPD2_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101486,FDJ49_gp18,FDJ49_gp18,vBAbaPD2_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101487,FDJ49_gp19,FDJ49_gp19,vBAbaPD2_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101488,FDJ49_gp20,FDJ49_gp20,vBAbaPD2_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101489,FDJ49_gp21,FDJ49_gp21,vBAbaPD2_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101490,FDJ49_gp22,FDJ49_gp22,vBAbaPD2_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101491,FDJ49_gp23,FDJ49_gp23,vBAbaPD2_23,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
2126803,40101492,FDJ49_gp24,FDJ49_gp24,vBAbaPD2_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101493,FDJ49_gp25,FDJ49_gp25,vBAbaPD2_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101494,FDJ49_gp26,FDJ49_gp26,vBAbaPD2_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126803,40101495,FDJ49_gp27,FDJ49_gp27,vBAbaPD2_27,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
2126803,40101496,FDJ49_gp28,FDJ49_gp28,vBAbaPD2_28,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20201221,-
