#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163593,60331118,2,I5H62_gp02,SEA_MELISSAUREN88_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2163593,60331119,3,I5H62_gp03,SEA_MELISSAUREN88_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2163593,60331120,4,I5H62_gp04,SEA_MELISSAUREN88_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2163593,60331121,5,I5H62_gp05,SEA_MELISSAUREN88_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2163593,60331122,6,I5H62_gp06,SEA_MELISSAUREN88_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2163593,60331123,7,I5H62_gp07,SEA_MELISSAUREN88_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2163593,60331124,8,I5H62_gp08,SEA_MELISSAUREN88_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2163593,60331125,9,I5H62_gp09,SEA_MELISSAUREN88_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2163593,60331126,10,I5H62_gp10,SEA_MELISSAUREN88_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2163593,60331127,11,I5H62_gp11,SEA_MELISSAUREN88_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2163593,60331128,13,I5H62_gp12,SEA_MELISSAUREN88_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2163593,60331129,14,I5H62_gp14,SEA_MELISSAUREN88_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2163593,60331130,12,I5H62_gp13,SEA_MELISSAUREN88_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2163593,60331131,15,I5H62_gp15,SEA_MELISSAUREN88_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2163593,60331132,16,I5H62_gp16,SEA_MELISSAUREN88_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2163593,60331133,17,I5H62_gp17,SEA_MELISSAUREN88_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331134,18,I5H62_gp18,SEA_MELISSAUREN88_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2163593,60331135,20,I5H62_gp20,SEA_MELISSAUREN88_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331136,22,I5H62_gp22,SEA_MELISSAUREN88_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2163593,60331137,23,I5H62_gp23,SEA_MELISSAUREN88_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331138,24,I5H62_gp24,SEA_MELISSAUREN88_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331139,26,I5H62_gp26,SEA_MELISSAUREN88_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331140,27,I5H62_gp27,SEA_MELISSAUREN88_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331141,28,I5H62_gp28,SEA_MELISSAUREN88_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331142,29,I5H62_gp29,SEA_MELISSAUREN88_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331143,31,I5H62_gp31,SEA_MELISSAUREN88_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2163593,60331144,32,I5H62_gp32,SEA_MELISSAUREN88_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2163593,60331145,33,I5H62_gp33,SEA_MELISSAUREN88_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163593,60331146,34,I5H62_gp34,SEA_MELISSAUREN88_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331147,35,I5H62_gp35,SEA_MELISSAUREN88_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20201129,-
2163593,60331148,36,I5H62_gp36,SEA_MELISSAUREN88_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331149,37,I5H62_gp37,SEA_MELISSAUREN88_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331150,38,I5H62_gp38,SEA_MELISSAUREN88_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331151,39,I5H62_gp39,SEA_MELISSAUREN88_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
