#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182358,56214252,2,H3N90_gp02,PBI_TEAGAN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2182358,56214253,3,H3N90_gp03,PBI_TEAGAN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200729,-
2182358,56214254,4,H3N90_gp04,PBI_TEAGAN_4,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210403,-
2182358,56214255,5,H3N90_gp05,PBI_TEAGAN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200729,-
2182358,56214256,6,H3N90_gp06,PBI_TEAGAN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2182358,56214257,7,H3N90_gp07,PBI_TEAGAN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214258,8,H3N90_gp08,PBI_TEAGAN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214259,9,H3N90_gp09,PBI_TEAGAN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214260,10,H3N90_gp10,PBI_TEAGAN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214261,11,H3N90_gp11,PBI_TEAGAN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214262,12,H3N90_gp12,PBI_TEAGAN_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200729,-
2182358,56214263,13,H3N90_gp13,PBI_TEAGAN_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214264,14,H3N90_gp14,PBI_TEAGAN_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200729,-
2182358,56214265,15,H3N90_gp15,PBI_TEAGAN_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200729,-
2182358,56214266,16,H3N90_gp16,PBI_TEAGAN_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200729,-
2182358,56214267,17,H3N90_gp17,PBI_TEAGAN_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200912,-
2182358,56214268,18,H3N90_gp18,PBI_TEAGAN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200729,-
2182358,56214269,19,H3N90_gp19,PBI_TEAGAN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2182358,56214270,20,H3N90_gp20,PBI_TEAGAN_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214271,21,H3N90_gp21,PBI_TEAGAN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214272,22,H3N90_gp22,PBI_TEAGAN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214273,23,H3N90_gp23,PBI_TEAGAN_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2182358,56214274,24,H3N90_gp24,PBI_TEAGAN_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2182358,56214275,25,H3N90_gp25,PBI_TEAGAN_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200729,-
2182358,56214276,26,H3N90_gp26,PBI_TEAGAN_26,-,-,-,holin,protein-coding,-,-,-,holin,20200729,-
2182358,56214277,27,H3N90_gp27,PBI_TEAGAN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214278,28,H3N90_gp28,PBI_TEAGAN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214279,29,H3N90_gp29,PBI_TEAGAN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214280,30,H3N90_gp30,PBI_TEAGAN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214281,31,H3N90_gp31,PBI_TEAGAN_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214282,32,H3N90_gp32,PBI_TEAGAN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214283,33,H3N90_gp33,PBI_TEAGAN_33,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200729,-
2182358,56214284,34,H3N90_gp34,PBI_TEAGAN_34,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210403,-
2182358,56214285,35,H3N90_gp35,PBI_TEAGAN_35,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20200729,-
2182358,56214286,36,H3N90_gp36,PBI_TEAGAN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214287,37,H3N90_gp37,PBI_TEAGAN_37,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210403,-
