#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2234047,65113615,KNT92_gp002,KNT92_gp002,CPT_Mineola_002,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
2234047,65113616,KNT92_gp003,KNT92_gp003,CPT_Mineola_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113617,KNT92_gp004,KNT92_gp004,CPT_Mineola_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113618,KNT92_gp005,KNT92_gp005,CPT_Mineola_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113619,KNT92_gp006,KNT92_gp006,CPT_Mineola_006,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20210607,-
2234047,65113620,KNT92_gp007,KNT92_gp007,CPT_Mineola_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113621,KNT92_gp008,KNT92_gp008,CPT_Mineola_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113622,KNT92_gp009,KNT92_gp009,CPT_Mineola_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113623,KNT92_gp010,KNT92_gp010,CPT_Mineola_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113624,KNT92_gp011,KNT92_gp011,CPT_Mineola_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113625,KNT92_gp012,KNT92_gp012,CPT_Mineola_012,-,-,-,modifier of suppressor trnas,protein-coding,-,-,-,modifier of suppressor trnas,20210607,-
2234047,65113626,KNT92_gp013,KNT92_gp013,CPT_Mineola_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113627,KNT92_gp014,KNT92_gp014,CPT_Mineola_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113628,KNT92_gp015,KNT92_gp015,CPT_Mineola_015,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2234047,65113629,KNT92_gp016,KNT92_gp016,CPT_Mineola_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113630,KNT92_gp017,KNT92_gp017,CPT_Mineola_017,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2234047,65113631,KNT92_gp018,KNT92_gp018,CPT_Mineola_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113632,KNT92_gp019,KNT92_gp019,CPT_Mineola_019,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20210607,-
