#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
224399,1485718,AhnVgp031,AhnVgp031,-,-,-,-,P26,protein-coding,-,-,-,P26,20180815,-
224399,1485719,AhnVgp032,AhnVgp032,-,-,-,-,P10,protein-coding,-,-,-,P10,20180815,-
224399,1485720,AhnVgp033,AhnVgp033,-,-,-,-,baculovirus repeated ORF,protein-coding,-,-,-,baculovirus repeated ORF,20180815,-
224399,1485721,AhnVgp034,AhnVgp034,-,-,-,-,baculovirus repeated ORF,protein-coding,-,-,-,baculovirus repeated ORF,20180815,-
224399,1485722,AhnVgp106,AhnVgp106,-,-,-,-,superoxide dismutase,protein-coding,-,-,-,superoxide dismutase,20180815,-
224399,1485723,AhnVgp107,AhnVgp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485724,AhnVgp108,AhnVgp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485725,AhnVgp109,AhnVgp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485726,AhnVgp110,AhnVgp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485727,AhnVgp111,AhnVgp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485728,AhnVgp112,AhnVgp112,-,-,-,-,fibroblast growth factor,protein-coding,-,-,-,fibroblast growth factor,20180815,-
224399,1485729,AhnVgp113,AhnVgp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485730,AhnVgp004,AhnVgp004,-,-,-,-,ORF1629,protein-coding,-,-,-,ORF1629,20180815,-
224399,1485731,AhnVgp005,AhnVgp005,-,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20180815,-
224399,1485732,AhnVgp017,AhnVgp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485733,AhnVgp018,AhnVgp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485734,AhnVgp118,AhnVgp118,-,-,-,-,fusion protein,protein-coding,-,-,-,fusion protein,20180815,-
224399,1485735,AhnVgp119,AhnVgp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485736,AhnVgp120,AhnVgp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
