#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250289,54997651,2,HOT71_gp02,SEA_EDEN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2250289,54997652,3,HOT71_gp03,SEA_EDEN_3,-,-,-,portal and MuF-like fusion protein,protein-coding,-,-,-,portal and MuF-like fusion protein,20210403,-
2250289,54997653,4,HOT71_gp04,SEA_EDEN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2250289,54997654,5,HOT71_gp05,SEA_EDEN_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2250289,54997655,6,HOT71_gp06,SEA_EDEN_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997656,7,HOT71_gp07,SEA_EDEN_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
2250289,54997657,8,HOT71_gp08,SEA_EDEN_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
2250289,54997658,9,HOT71_gp09,SEA_EDEN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997659,10,HOT71_gp10,SEA_EDEN_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
2250289,54997660,11,HOT71_gp11,SEA_EDEN_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2250289,54997661,13,HOT71_gp12,SEA_EDEN_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2250289,54997662,14,HOT71_gp14,SEA_EDEN_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997663,12,HOT71_gp13,SEA_EDEN_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2250289,54997664,15,HOT71_gp15,SEA_EDEN_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2250289,54997665,16,HOT71_gp16,SEA_EDEN_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2250289,54997666,17,HOT71_gp17,SEA_EDEN_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
