#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250417,63026683,2,J1768_gp02,SEA_RIBEYE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2250417,63026684,3,J1768_gp03,SEA_RIBEYE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026685,4,J1768_gp04,SEA_RIBEYE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026686,5,J1768_gp05,SEA_RIBEYE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026687,6,J1768_gp06,SEA_RIBEYE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026688,7,J1768_gp07,SEA_RIBEYE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026689,8,J1768_gp08,SEA_RIBEYE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026690,9,J1768_gp09,SEA_RIBEYE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026691,10,J1768_gp10,SEA_RIBEYE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026692,11,J1768_gp11,SEA_RIBEYE_11,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210417,-
2250417,63026693,12,J1768_gp12,SEA_RIBEYE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026694,13,J1768_gp13,SEA_RIBEYE_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2250417,63026695,14,J1768_gp14,SEA_RIBEYE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026696,15,J1768_gp15,SEA_RIBEYE_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026697,16,J1768_gp16,SEA_RIBEYE_16,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
