#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301538,63911528,2,KDJ57_gp02,SEA_CATFISH_2,-,-,-,esterase,protein-coding,-,-,-,esterase,20210421,-
2301538,63911529,3,KDJ57_gp03,SEA_CATFISH_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911530,4,KDJ57_gp04,SEA_CATFISH_4,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210421,-
2301538,63911531,5,KDJ57_gp05,SEA_CATFISH_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210421,-
2301538,63911532,6,KDJ57_gp06,SEA_CATFISH_6,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210421,-
2301538,63911533,7,KDJ57_gp07,SEA_CATFISH_7,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210421,-
2301538,63911534,8,KDJ57_gp08,SEA_CATFISH_8,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210421,-
2301538,63911535,9,KDJ57_gp09,SEA_CATFISH_9,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210421,-
2301538,63911536,10,KDJ57_gp10,SEA_CATFISH_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911537,11,KDJ57_gp11,SEA_CATFISH_11,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210421,-
2301538,63911538,12,KDJ57_gp12,SEA_CATFISH_12,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210421,-
2301538,63911539,13,KDJ57_gp13,SEA_CATFISH_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911540,14,KDJ57_gp14,SEA_CATFISH_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911541,15,KDJ57_gp15,SEA_CATFISH_15,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210421,-
2301538,63911542,16,KDJ57_gp16,SEA_CATFISH_16,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210421,-
2301538,63911543,17,KDJ57_gp17,SEA_CATFISH_17,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210421,-
2301538,63911544,19,KDJ57_gp18,SEA_CATFISH_19,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210421,-
2301538,63911545,20,KDJ57_gp20,SEA_CATFISH_20,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210421,-
2301538,63911546,18,KDJ57_gp19,SEA_CATFISH_18,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210421,-
2301538,63911547,21,KDJ57_gp21,SEA_CATFISH_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210421,-
2301538,63911548,22,KDJ57_gp22,SEA_CATFISH_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210421,-
2301538,63911549,23,KDJ57_gp23,SEA_CATFISH_23,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210421,-
2301538,63911550,24,KDJ57_gp24,SEA_CATFISH_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911551,25,KDJ57_gp25,SEA_CATFISH_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911552,26,KDJ57_gp26,SEA_CATFISH_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210421,-
2301538,63911553,27,KDJ57_gp27,SEA_CATFISH_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210421,-
2301538,63911554,28,KDJ57_gp28,SEA_CATFISH_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911555,29,KDJ57_gp29,SEA_CATFISH_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
