#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301565,60329142,3,I5H43_gp003,SEA_GIRR_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2301565,60329143,4,I5H43_gp004,SEA_GIRR_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2301565,60329144,5,I5H43_gp005,SEA_GIRR_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2301565,60329145,6,I5H43_gp006,SEA_GIRR_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2301565,60329146,7,I5H43_gp007,SEA_GIRR_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2301565,60329147,8,I5H43_gp008,SEA_GIRR_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2301565,60329148,9,I5H43_gp009,SEA_GIRR_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2301565,60329149,10,I5H43_gp010,SEA_GIRR_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2301565,60329150,11,I5H43_gp011,SEA_GIRR_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2301565,60329151,13,I5H43_gp012,SEA_GIRR_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301565,60329152,14,I5H43_gp014,SEA_GIRR_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2301565,60329153,12,I5H43_gp013,SEA_GIRR_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301565,60329154,15,I5H43_gp015,SEA_GIRR_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301565,60329155,16,I5H43_gp016,SEA_GIRR_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301565,60329156,17,I5H43_gp017,SEA_GIRR_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301565,60329157,18,I5H43_gp018,SEA_GIRR_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301565,60329158,19,I5H43_gp019,SEA_GIRR_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2301565,60329159,20,I5H43_gp020,SEA_GIRR_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329160,21,I5H43_gp021,SEA_GIRR_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329161,22,I5H43_gp022,SEA_GIRR_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329162,23,I5H43_gp023,SEA_GIRR_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329163,24,I5H43_gp024,SEA_GIRR_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329164,25,I5H43_gp025,SEA_GIRR_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201203,-
2301565,60329165,26,I5H43_gp026,SEA_GIRR_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329166,27,I5H43_gp027,SEA_GIRR_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329167,29,I5H43_gp029,SEA_GIRR_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329168,30,I5H43_gp030,SEA_GIRR_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329169,31,I5H43_gp031,SEA_GIRR_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2301565,60329170,32,I5H43_gp032,SEA_GIRR_32,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2301565,60329171,34,I5H43_gp034,SEA_GIRR_34,-,-,-,holin,protein-coding,-,-,-,holin,20210529,-
2301565,60329172,35,I5H43_gp035,SEA_GIRR_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301565,60329173,36,I5H43_gp036,SEA_GIRR_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
