#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
230158,2753516,Aaphi23p33,Aaphi23p33,-,-,-,-,DUF2213 domain-containing protein,protein-coding,-,-,-,DUF2213 domain-containing protein,20201220,-
230158,2753517,Aaphi23p34,Aaphi23p34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
230158,2753518,Aaphi23p02,Aaphi23p02,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201220,-
230158,2753519,Aaphi23p03,Aaphi23p03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
230158,2753520,Aaphi23p07,Aaphi23p07,-,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201220,-
230158,2753521,Aaphi23p08,Aaphi23p08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
230158,2753522,Aaphi23p09,Aaphi23p09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
230158,2753523,Aaphi23p45,Aaphi23p45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
230158,2753524,Aaphi23p46,Aaphi23p46,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20201220,-
230158,2753525,Aaphi23p47,Aaphi23p47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
230158,2753526,Aaphi23p48,Aaphi23p48,-,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20201220,-
230158,2753527,antB,Aaphi23p15,-,-,-,-,antirepressor KilAC domain-containing protein,protein-coding,-,-,-,antirepressor KilAC domain-containing protein,20201220,-
