#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301612,60328927,2,I5H41_gp002,SEA_GALACTIC_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2301612,60328928,3,I5H41_gp003,SEA_GALACTIC_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
2301612,60328929,4,I5H41_gp004,SEA_GALACTIC_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2301612,60328930,5,I5H41_gp005,SEA_GALACTIC_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2301612,60328931,6,I5H41_gp006,SEA_GALACTIC_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2301612,60328932,7,I5H41_gp007,SEA_GALACTIC_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2301612,60328933,8,I5H41_gp008,SEA_GALACTIC_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2301612,60328934,9,I5H41_gp009,SEA_GALACTIC_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301612,60328935,10,I5H41_gp010,SEA_GALACTIC_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2301612,60328936,11,I5H41_gp011,SEA_GALACTIC_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2301612,60328937,13,I5H41_gp012,SEA_GALACTIC_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301612,60328938,14,I5H41_gp014,SEA_GALACTIC_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2301612,60328939,12,I5H41_gp013,SEA_GALACTIC_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301612,60328940,15,I5H41_gp015,SEA_GALACTIC_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301612,60328941,16,I5H41_gp016,SEA_GALACTIC_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301612,60328942,17,I5H41_gp017,SEA_GALACTIC_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301612,60328943,18,I5H41_gp018,SEA_GALACTIC_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301612,60328944,19,I5H41_gp019,SEA_GALACTIC_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2301612,60328945,20,I5H41_gp020,SEA_GALACTIC_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301612,60328946,21,I5H41_gp021,SEA_GALACTIC_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301612,60328947,22,I5H41_gp022,SEA_GALACTIC_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301612,60328948,23,I5H41_gp023,SEA_GALACTIC_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301612,60328949,24,I5H41_gp024,SEA_GALACTIC_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301612,60328950,25,I5H41_gp025,SEA_GALACTIC_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2301612,60328951,26,I5H41_gp026,SEA_GALACTIC_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
