#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315601,55005135,HOU36_gp46,HOU36_gp46,Aci08_46,-,-,-,putative capsular polysaccharide depolymerase,protein-coding,-,-,-,putative capsular polysaccharide depolymerase,20201221,-
2315601,55005136,HOU36_gp45,HOU36_gp45,Aci08_45,-,-,-,putative internal virion protein C,protein-coding,-,-,-,putative internal virion protein C,20210403,-
2315601,55005137,HOU36_gp34,HOU36_gp34,Aci08_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005138,HOU36_gp47,HOU36_gp47,Aci08_47,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
2315601,55005139,HOU36_gp24,HOU36_gp24,Aci08_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005140,HOU36_gp43,HOU36_gp43,Aci08_43,-,-,-,putative internal virion protein A,protein-coding,-,-,-,putative internal virion protein A,20201221,-
2315601,55005141,HOU36_gp51,HOU36_gp51,Aci08_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005142,HOU36_gp37,HOU36_gp37,Aci08_37,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20210403,-
2315601,55005143,HOU36_gp21,HOU36_gp21,Aci08_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005144,HOU36_gp39,HOU36_gp39,Aci08_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005145,HOU36_gp23,HOU36_gp23,Aci08_23,-,-,-,putative DNA polymerase I,protein-coding,-,-,-,putative DNA polymerase I,20210403,-
2315601,55005146,HOU36_gp29,HOU36_gp29,Aci08_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005147,HOU36_gp32,HOU36_gp32,Aci08_32,-,-,-,putative dNMP kinase,protein-coding,-,-,-,putative dNMP kinase,20210403,-
2315601,55005148,HOU36_gp26,HOU36_gp26,Aci08_26,-,-,-,putative Zn-ribbon domain containing protein,protein-coding,-,-,-,putative Zn-ribbon domain containing protein,20201221,-
2315601,55005149,HOU36_gp38,HOU36_gp38,Aci08_38,-,-,-,putative capsid and scaffold,protein-coding,-,-,-,putative capsid and scaffold,20210403,-
2315601,55005150,HOU36_gp17,HOU36_gp17,Aci08_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005151,HOU36_gp22,HOU36_gp22,Aci08_22,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20210403,-
2315601,55005152,HOU36_gp44,HOU36_gp44,Aci08_44,-,-,-,putative internal virion protein B,protein-coding,-,-,-,putative internal virion protein B,20210403,-
2315601,55005153,HOU36_gp33,HOU36_gp33,Aci08_33,-,-,-,putative RNA polymerase,protein-coding,-,-,-,putative RNA polymerase,20210403,-
2315601,55005154,HOU36_gp06,HOU36_gp06,Aci08_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005155,HOU36_gp30,HOU36_gp30,Aci08_30,-,-,-,putative endonuclease VII,protein-coding,-,-,-,putative endonuclease VII,20210123,-
2315601,55005156,HOU36_gp42,HOU36_gp42,Aci08_42,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20201221,-
2315601,55005157,HOU36_gp49,HOU36_gp49,Aci08_49,-,-,-,putative DNA maturase A,protein-coding,-,-,-,putative DNA maturase A,20210403,-
2315601,55005158,HOU36_gp04,HOU36_gp04,Aci08_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005159,HOU36_gp11,HOU36_gp11,Aci08_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005160,HOU36_gp05,HOU36_gp05,Aci08_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005161,HOU36_gp31,HOU36_gp31,Aci08_31,-,-,-,putative phosphoestherase,protein-coding,-,-,-,putative phosphoestherase,20210403,-
2315601,55005162,HOU36_gp12,HOU36_gp12,Aci08_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005163,HOU36_gp09,HOU36_gp09,Aci08_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005164,HOU36_gp48,HOU36_gp48,Aci08_48,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210403,-
2315601,55005165,HOU36_gp28,HOU36_gp28,Aci08_28,-,-,-,putative 5'-3' exonuclease,protein-coding,-,-,-,putative 5'-3' exonuclease,20210403,-
2315601,55005166,HOU36_gp19,HOU36_gp19,Aci08_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005167,HOU36_gp18,HOU36_gp18,Aci08_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005168,HOU36_gp50,HOU36_gp50,Aci08_50,-,-,-,putative DNA maturase B,protein-coding,-,-,-,putative DNA maturase B,20210403,-
2315601,55005169,HOU36_gp03,HOU36_gp03,Aci08_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315601,55005170,HOU36_gp36,HOU36_gp36,Aci08_36,-,-,-,putative head-tail connector protein,protein-coding,-,-,-,putative head-tail connector protein,20210403,-
2315601,55005171,HOU36_gp41,HOU36_gp41,Aci08_41,-,-,-,putative tail tubular protein A,protein-coding,-,-,-,putative tail tubular protein A,20210403,-
2315601,55005172,HOU36_gp20,HOU36_gp20,Aci08_20,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
2315601,55005173,HOU36_gp25,HOU36_gp25,Aci08_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315601,55005174,HOU36_gp15,HOU36_gp15,Aci08_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005175,HOU36_gp16,HOU36_gp16,Aci08_16,-,-,-,putative DNA primase/helicase,protein-coding,-,-,-,putative DNA primase/helicase,20210403,-
2315601,55005176,HOU36_gp35,HOU36_gp35,Aci08_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005177,HOU36_gp14,HOU36_gp14,Aci08_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005178,HOU36_gp40,HOU36_gp40,Aci08_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005179,HOU36_gp10,HOU36_gp10,Aci08_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005180,HOU36_gp13,HOU36_gp13,Aci08_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005181,HOU36_gp08,HOU36_gp08,Aci08_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005182,HOU36_gp02,HOU36_gp02,Aci08_02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005183,HOU36_gp53,HOU36_gp53,Aci08_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005184,HOU36_gp52,HOU36_gp52,Aci08_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005185,HOU36_gp27,HOU36_gp27,Aci08_27,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20201221,-
2315601,55005186,HOU36_gp07,HOU36_gp07,Aci08_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55005187,HOU36_gp01,HOU36_gp01,Aci08_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315601,55154154,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
