#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
235201,5075518,phiJL1_ORF64a,phiJL1_ORF64a,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201220,-
235201,5075519,phiJL1_ORF65b,phiJL1_ORF65b,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075520,phiJL1_ORF93,phiJL1_ORF93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075521,phiJL1_ORF199,phiJL1_ORF199,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
235201,5075522,phiJL1_ORF153,phiJL1_ORF153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075523,phiJL1_ORF113,phiJL1_ORF113,-,-,-,-,putative DNA packaging protein,protein-coding,-,-,-,putative DNA packaging protein,20201220,-
235201,5075524,phiJL1_ORF738,phiJL1_ORF738,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075525,phiJL1_ORF148,phiJL1_ORF148,-,-,-,-,putative small subunit terminase,protein-coding,-,-,-,putative small subunit terminase,20201220,-
235201,5075526,phiJL1_ORF1133,phiJL1_ORF1133,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201220,-
235201,5075527,phiJL1_ORF147,phiJL1_ORF147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075528,phiJL1_ORF246,phiJL1_ORF246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075529,phiJL1_ORF139,phiJL1_ORF139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075530,phiJL1_ORF94,phiJL1_ORF94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075531,phiJL1_ORF77,phiJL1_ORF77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075532,phiJL1_ORF72,phiJL1_ORF72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075533,phiJL1_ORF249,phiJL1_ORF249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075534,phiJL1_ORF64b,phiJL1_ORF64b,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075535,phiJL1_ORF140,phiJL1_ORF140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075536,phiJL1_ORF388,phiJL1_ORF388,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075537,phiJL1_ORF33b,phiJL1_ORF33b,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075538,phiJL1_ORF47,phiJL1_ORF47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075539,phiJL1_ORF97,phiJL1_ORF97,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20201220,-
235201,5075540,phiJL1_ORF142,phiJL1_ORF142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075541,phiJL1_ORF440,phiJL1_ORF440,-,-,-,-,putative large subunit terminase,protein-coding,-,-,-,putative large subunit terminase,20201220,-
235201,5075542,phiJL1_ORF65a,phiJL1_ORF65a,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075543,phiJL1_ORF273,phiJL1_ORF273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075544,phiJL1_ORF286,phiJL1_ORF286,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201220,-
235201,5075545,phiJL1_ORF79,phiJL1_ORF79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075546,phiJL1_ORF134,phiJL1_ORF134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075547,phiJL1_ORF637,phiJL1_ORF637,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20201220,-
235201,5075548,phiJL1_ORF224,phiJL1_ORF224,-,-,-,-,putative NTP-binding helicase,protein-coding,-,-,-,putative NTP-binding helicase,20201220,-
235201,5075549,phiJL1_ORF441,phiJL1_ORF441,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075550,phiJL1_ORF184,phiJL1_ORF184,-,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201220,-
235201,5075551,phiJL1_ORF32,phiJL1_ORF32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075552,phiJL1_ORF114,phiJL1_ORF114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075553,phiJL1_ORF99,phiJL1_ORF99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075554,phiJL1_ORF125,phiJL1_ORF125,-,-,-,-,putative head to tail joining,protein-coding,-,-,-,putative head to tail joining,20201220,-
235201,5075555,phiJL1_ORF33a,phiJL1_ORF33a,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075556,phiJL1_ORF398,phiJL1_ORF398,-,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201220,-
235201,5075557,phiJL1_ORF749,phiJL1_ORF749,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
235201,5075558,phiJL1_ORF198,phiJL1_ORF198,-,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20201220,-
235201,5075559,phiJL1_ORF60,phiJL1_ORF60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075560,phiJL1_ORF170,phiJL1_ORF170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5075561,phiJL1_ORF467,phiJL1_ORF467,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
235201,5075562,phiJL1_ORF506,phiJL1_ORF506,-,-,-,-,minor head protein,protein-coding,-,-,-,minor head protein,20201220,-
235201,5075563,phiJL1_ORF117,phiJL1_ORF117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
235201,5114777,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactobacillus phage phiJL-1; Lactobacillus phage phijl1; Lactobacillus plantarum bacteriophage phiJL-1).,other,-,-,-,-,20200513,-
