#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2420240,65055986,KMC00_gp241,KMC00_gp241,DalCa_241,-,-,-,hinge connector of long tail fiber proximal protein,protein-coding,-,-,-,hinge connector of long tail fiber proximal protein,20210609,-
2420240,65055987,KMC00_gp153,KMC00_gp153,DalCa_153,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210609,-
2420240,65055988,KMC00_gp244,KMC00_gp244,DalCa_244,-,-,-,tail fiber/host adhesion protein,protein-coding,-,-,-,tail fiber/host adhesion protein,20210607,-
2420240,65055989,KMC00_gp049,KMC00_gp049,DalCa_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65055990,KMC00_gp227,KMC00_gp227,DalCa_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65055991,KMC00_gp002,KMC00_gp002,DalCa_002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2420240,65055992,KMC00_gp194,KMC00_gp194,DalCa_194,-,-,-,ADP ribosyltransferase,protein-coding,-,-,-,ADP ribosyltransferase,20210607,-
2420240,65055993,KMC00_gp195,KMC00_gp195,DalCa_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65055994,KMC00_gp152,KMC00_gp152,DalCa_152,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
2420240,65055995,KMC00_gp165,KMC00_gp165,DalCa_165,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2420240,65055996,KMC00_gp164,KMC00_gp164,DalCa_164,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2420240,65055997,KMC00_gp004,KMC00_gp004,DalCa_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65055998,KMC00_gp079,KMC00_gp079,DalCa_079,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210612,-
2420240,65055999,KMC00_gp156,KMC00_gp156,DalCa_156,-,-,-,baseplate wedge completion tail pin,protein-coding,-,-,-,baseplate wedge completion tail pin,20210607,-
2420240,65056000,KMC00_gp190,KMC00_gp190,DalCa_190,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210607,-
2420240,65056001,KMC00_gp149,KMC00_gp149,DalCa_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056002,KMC00_gp057,KMC00_gp057,DalCa_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2420240,65056003,KMC00_gp167,KMC00_gp167,DalCa_167,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2420240,65056004,KMC00_gp158,KMC00_gp158,DalCa_158,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210607,-
2420240,65056005,KMC00_gp172,KMC00_gp172,DalCa_172,-,-,-,precursor of head vertex subunit,protein-coding,-,-,-,precursor of head vertex subunit,20210607,-
2420240,65056006,KMC00_gp180,KMC00_gp180,DalCa_180,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210609,-
2420240,65056007,KMC00_gp159,KMC00_gp159,DalCa_159,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2420240,65056008,KMC00_gp197,KMC00_gp197,DalCa_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2420240,65056009,KMC00_gp040,KMC00_gp040,DalCa_040,-,-,-,head formation protein,protein-coding,-,-,-,head formation protein,20210607,-
2420240,65056010,KMC00_gp178,KMC00_gp178,DalCa_178,-,-,-,minor capsid protein inhibitor of prohead protease,protein-coding,-,-,-,minor capsid protein inhibitor of prohead protease,20210607,-
2420240,65056011,KMC00_gp259,KMC00_gp259,DalCa_259,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20210607,-
2420240,65056012,KMC00_gp017,KMC00_gp017,DalCa_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056013,KMC00_gp173,KMC00_gp173,DalCa_173,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210607,-
2420240,65056014,KMC00_gp061,KMC00_gp061,DalCa_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056015,KMC00_gp042,KMC00_gp042,DalCa_042,-,-,-,glucosyl transferase,protein-coding,-,-,-,glucosyl transferase,20210607,-
2420240,65056016,KMC00_gp226,KMC00_gp226,DalCa_226,-,-,-,ribonucleotide reductase A subunit,protein-coding,-,-,-,ribonucleotide reductase A subunit,20210609,-
2420240,65056017,KMC00_gp188,KMC00_gp188,DalCa_188,-,-,-,baseplate distal hub subunit,protein-coding,-,-,-,baseplate distal hub subunit,20210607,-
2420240,65056018,KMC00_gp224,KMC00_gp224,DalCa_224,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210607,-
2420240,65056019,KMC00_gp242,KMC00_gp242,DalCa_242,-,-,-,hinge connector long tail fiber,protein-coding,-,-,-,hinge connector long tail fiber,20210607,-
2420240,65056020,KMC00_gp191,KMC00_gp191,DalCa_191,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210607,-
2420240,65056021,KMC00_gp034,KMC00_gp034,DalCa_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056022,KMC00_gp060,KMC00_gp060,DalCa_060,-,-,-,alpha-glucosyl-transferase,protein-coding,-,-,-,alpha-glucosyl-transferase,20210607,-
2420240,65056023,KMC00_gp091,KMC00_gp091,DalCa_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056024,KMC00_gp099,KMC00_gp099,DalCa_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056025,KMC00_gp154,KMC00_gp154,DalCa_154,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
2420240,65056026,KMC00_gp090,KMC00_gp090,DalCa_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056027,KMC00_gp096,KMC00_gp096,DalCa_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056028,KMC00_gp192,KMC00_gp192,DalCa_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056029,KMC00_gp053,KMC00_gp053,DalCa_053,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210609,-
2420240,65056030,KMC00_gp160,KMC00_gp160,DalCa_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2420240,65056031,KMC00_gp089,KMC00_gp089,DalCa_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056032,KMC00_gp240,KMC00_gp240,DalCa_240,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2420240,65056033,KMC00_gp236,KMC00_gp236,DalCa_236,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210607,-
2420240,65056034,KMC00_gp218,KMC00_gp218,DalCa_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056035,KMC00_gp092,KMC00_gp092,DalCa_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056036,KMC00_gp155,KMC00_gp155,DalCa_155,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2420240,65056037,KMC00_gp229,KMC00_gp229,DalCa_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056038,KMC00_gp199,KMC00_gp199,DalCa_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056039,KMC00_gp175,KMC00_gp175,DalCa_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056040,KMC00_gp043,KMC00_gp043,DalCa_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056041,KMC00_gp146,KMC00_gp146,DalCa_146,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2420240,65056042,KMC00_gp162,KMC00_gp162,DalCa_162,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2420240,65056043,KMC00_gp171,KMC00_gp171,DalCa_171,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2420240,65056044,KMC00_gp245,KMC00_gp245,DalCa_245,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2420240,65056045,KMC00_gp161,KMC00_gp161,DalCa_161,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210607,-
2420240,65056046,KMC00_gp187,KMC00_gp187,DalCa_187,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2420240,65056047,KMC00_gp019,KMC00_gp019,DalCa_019,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2420240,65056048,KMC00_gp045,KMC00_gp045,DalCa_045,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210609,-
2420240,65056049,KMC00_gp144,KMC00_gp144,DalCa_144,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210607,-
2420240,65056050,KMC00_gp054,KMC00_gp054,DalCa_054,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210612,-
2420240,65056051,KMC00_gp013,KMC00_gp013,DalCa_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056052,KMC00_gp179,KMC00_gp179,DalCa_179,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210607,-
2420240,65056053,KMC00_gp157,KMC00_gp157,DalCa_157,-,-,-,short tail fiber,protein-coding,-,-,-,short tail fiber,20210607,-
2420240,65056054,KMC00_gp246,KMC00_gp246,DalCa_246,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210612,-
2420240,65056055,KMC00_gp237,KMC00_gp237,DalCa_237,-,-,-,late promoter transcription factor,protein-coding,-,-,-,late promoter transcription factor,20210607,-
2420240,65056056,KMC00_gp243,KMC00_gp243,DalCa_243,-,-,-,"long tail fiber, distal subunit",protein-coding,-,-,-,"long tail fiber, distal subunit",20210607,-
2420240,65056057,KMC00_gp044,KMC00_gp044,DalCa_044,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,protein-coding,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,20210607,-
2420240,65056058,KMC00_gp170,KMC00_gp170,DalCa_170,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210607,-
2420240,65056059,KMC00_gp256,KMC00_gp256,DalCa_256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056060,KMC00_gp186,KMC00_gp186,DalCa_186,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210607,-
2420240,65056061,KMC00_gp021,KMC00_gp021,DalCa_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056062,KMC00_gp131,KMC00_gp131,DalCa_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056063,KMC00_gp020,KMC00_gp020,DalCa_020,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210607,-
2420240,65056064,KMC00_gp132,KMC00_gp132,DalCa_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056065,KMC00_gp148,KMC00_gp148,DalCa_148,-,-,-,baseplate hub subunit and lysozyme,protein-coding,-,-,-,baseplate hub subunit and lysozyme,20210607,-
2420240,65056066,KMC00_gp124,KMC00_gp124,DalCa_124,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2420240,65056067,KMC00_gp231,KMC00_gp231,DalCa_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056068,KMC00_gp110,KMC00_gp110,DalCa_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056069,KMC00_gp211,KMC00_gp211,DalCa_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056070,KMC00_gp052,KMC00_gp052,DalCa_052,-,-,-,DNA polymerase clamp-loader subunit,protein-coding,-,-,-,DNA polymerase clamp-loader subunit,20210607,-
2420240,65056071,KMC00_gp134,KMC00_gp134,DalCa_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056072,KMC00_gp066,KMC00_gp066,DalCa_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056073,KMC00_gp011,KMC00_gp011,DalCa_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056074,KMC00_gp102,KMC00_gp102,DalCa_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056075,KMC00_gp117,KMC00_gp117,DalCa_117,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210607,-
2420240,65056076,KMC00_gp150,KMC00_gp150,DalCa_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2420240,65056077,KMC00_gp145,KMC00_gp145,DalCa_145,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210612,-
2420240,65056078,KMC00_gp094,KMC00_gp094,DalCa_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056079,KMC00_gp214,KMC00_gp214,DalCa_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056080,KMC00_gp101,KMC00_gp101,DalCa_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056081,KMC00_gp032,KMC00_gp032,DalCa_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056082,KMC00_gp223,KMC00_gp223,DalCa_223,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210607,-
2420240,65056083,KMC00_gp012,KMC00_gp012,DalCa_012,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210609,-
2420240,65056084,KMC00_gp126,KMC00_gp126,DalCa_126,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210607,-
2420240,65056085,KMC00_gp163,KMC00_gp163,DalCa_163,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2420240,65056086,KMC00_gp010,KMC00_gp010,DalCa_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056087,KMC00_gp166,KMC00_gp166,DalCa_166,-,-,-,portal vertex of the head,protein-coding,-,-,-,portal vertex of the head,20210607,-
2420240,65056088,KMC00_gp128,KMC00_gp128,DalCa_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056089,KMC00_gp026,KMC00_gp026,DalCa_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056090,KMC00_gp081,KMC00_gp081,DalCa_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056091,KMC00_gp267,KMC00_gp267,DalCa_267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056092,KMC00_gp080,KMC00_gp080,DalCa_080,-,-,-,Pin protease inhibitor,protein-coding,-,-,-,Pin protease inhibitor,20210607,-
2420240,65056093,KMC00_gp135,KMC00_gp135,DalCa_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056094,KMC00_gp023,KMC00_gp023,DalCa_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056095,KMC00_gp078,KMC00_gp078,DalCa_078,-,-,-,anaerobic NTP reductase large subunit,protein-coding,-,-,-,anaerobic NTP reductase large subunit,20210607,-
2420240,65056096,KMC00_gp115,KMC00_gp115,DalCa_115,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2420240,65056097,KMC00_gp253,KMC00_gp253,DalCa_253,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
2420240,65056098,KMC00_gp100,KMC00_gp100,DalCa_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056099,KMC00_gp118,KMC00_gp118,DalCa_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056100,KMC00_gp189,KMC00_gp189,DalCa_189,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20210607,-
2420240,65056101,KMC00_gp261,KMC00_gp261,DalCa_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056102,KMC00_gp142,KMC00_gp142,DalCa_142,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20210609,-
2420240,65056103,KMC00_gp147,KMC00_gp147,DalCa_147,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210609,-
2420240,65056104,KMC00_gp127,KMC00_gp127,DalCa_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056105,KMC00_gp169,KMC00_gp169,DalCa_169,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210612,-
2420240,65056106,KMC00_gp008,KMC00_gp008,DalCa_008,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20210607,-
2420240,65056107,KMC00_gp125,KMC00_gp125,DalCa_125,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210607,-
2420240,65056108,KMC00_gp184,KMC00_gp184,DalCa_184,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2420240,65056109,KMC00_gp225,KMC00_gp225,DalCa_225,-,-,-,ribonucleotide reductase B subunit,protein-coding,-,-,-,ribonucleotide reductase B subunit,20210607,-
2420240,65056110,KMC00_gp138,KMC00_gp138,DalCa_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056111,KMC00_gp185,KMC00_gp185,DalCa_185,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210607,-
2420240,65056112,KMC00_gp130,KMC00_gp130,DalCa_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056113,KMC00_gp055,KMC00_gp055,DalCa_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2420240,65056114,KMC00_gp107,KMC00_gp107,DalCa_107,-,-,-,rI lysis inhibition regulator,protein-coding,-,-,-,rI lysis inhibition regulator,20210607,-
2420240,65056115,KMC00_gp047,KMC00_gp047,DalCa_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056116,KMC00_gp200,KMC00_gp200,DalCa_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056117,KMC00_gp006,KMC00_gp006,DalCa_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056118,KMC00_gp051,KMC00_gp051,DalCa_051,-,-,-,DNA polymerase clamp-loader subunit,protein-coding,-,-,-,DNA polymerase clamp-loader subunit,20210607,-
2420240,65056119,KMC00_gp204,KMC00_gp204,DalCa_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
