#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2484209,60328509,2,I5H37_gp002,PBI_FILUZINO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2484209,60328510,3,I5H37_gp003,PBI_FILUZINO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2484209,60328511,4,I5H37_gp004,PBI_FILUZINO_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2484209,60328512,5,I5H37_gp005,PBI_FILUZINO_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2484209,60328513,6,I5H37_gp006,PBI_FILUZINO_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2484209,60328514,7,I5H37_gp007,PBI_FILUZINO_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2484209,60328515,8,I5H37_gp008,PBI_FILUZINO_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2484209,60328516,9,I5H37_gp009,PBI_FILUZINO_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2484209,60328517,10,I5H37_gp010,PBI_FILUZINO_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2484209,60328518,11,I5H37_gp011,PBI_FILUZINO_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2484209,60328519,13,I5H37_gp012,PBI_FILUZINO_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2484209,60328520,14,I5H37_gp014,PBI_FILUZINO_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2484209,60328521,12,I5H37_gp013,PBI_FILUZINO_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2484209,60328522,15,I5H37_gp015,PBI_FILUZINO_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2484209,60328523,16,I5H37_gp016,PBI_FILUZINO_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2484209,60328524,17,I5H37_gp017,PBI_FILUZINO_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2484209,60328525,18,I5H37_gp018,PBI_FILUZINO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2484209,60328526,19,I5H37_gp019,PBI_FILUZINO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2484209,60328527,20,I5H37_gp020,PBI_FILUZINO_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2484209,60328528,21,I5H37_gp021,PBI_FILUZINO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484209,60328529,22,I5H37_gp022,PBI_FILUZINO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484209,60328530,23,I5H37_gp023,PBI_FILUZINO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484209,60328531,24,I5H37_gp024,PBI_FILUZINO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484209,60328532,25,I5H37_gp025,PBI_FILUZINO_25,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201129,-
