#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2491321,65070548,KMD08_gp02,KMD08_gp02,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210609,-
2491321,65070549,KMD08_gp03,KMD08_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2491321,65070550,KMD08_gp04,KMD08_gp04,-,-,-,-,Rhs family protein,protein-coding,-,-,-,Rhs family protein,20210607,-
2491321,65070551,KMD08_gp05,KMD08_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070552,KMD08_gp06,KMD08_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070553,KMD08_gp07,KMD08_gp07,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20210607,-
2491321,65070554,KMD08_gp08,KMD08_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070555,KMD08_gp09,KMD08_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070556,KMD08_gp10,KMD08_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070557,KMD08_gp11,KMD08_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070558,KMD08_gp12,KMD08_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070559,KMD08_gp13,KMD08_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070560,KMD08_gp14,KMD08_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070561,KMD08_gp15,KMD08_gp15,-,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20210607,-
2491321,65070562,KMD08_gp16,KMD08_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070563,KMD08_gp17,KMD08_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070564,KMD08_gp18,KMD08_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070565,KMD08_gp19,KMD08_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070566,KMD08_gp20,KMD08_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070567,KMD08_gp21,KMD08_gp21,-,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20210607,-
2491321,65070568,KMD08_gp22,KMD08_gp22,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210607,-
2491321,65070569,KMD08_gp23,KMD08_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070570,KMD08_gp24,KMD08_gp24,-,-,-,-,replication initiation protein,protein-coding,-,-,-,replication initiation protein,20210607,-
2491321,65070571,KMD08_gp25,KMD08_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070572,KMD08_gp26,KMD08_gp26,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2491321,65070573,KMD08_gp27,KMD08_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070574,KMD08_gp28,KMD08_gp28,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210607,-
2491321,65070575,KMD08_gp29,KMD08_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070576,KMD08_gp30,KMD08_gp30,-,-,-,-,modification methylase,protein-coding,-,-,-,modification methylase,20210607,-
2491321,65070577,KMD08_gp31,KMD08_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070578,KMD08_gp32,KMD08_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070579,KMD08_gp33,KMD08_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070580,KMD08_gp34,KMD08_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070581,KMD08_gp35,KMD08_gp35,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210607,-
2491321,65070582,KMD08_gp36,KMD08_gp36,-,-,-,-,TPR domain protein,protein-coding,-,-,-,TPR domain protein,20210609,-
2491321,65070583,KMD08_gp37,KMD08_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
