#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2492961,60321670,I5G68_gp03,I5G68_gp03,Henu3_gp4,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201129,-
2492961,60321671,I5G68_gp04,I5G68_gp04,Henu3_gp5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321672,I5G68_gp07,I5G68_gp07,Henu3_gp8,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20201129,-
2492961,60321673,I5G68_gp08,I5G68_gp08,Henu3_gp9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321674,I5G68_gp06,I5G68_gp06,Henu3_gp7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321675,I5G68_gp05,I5G68_gp05,Henu3_gp6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321676,I5G68_gp10,I5G68_gp10,Henu3_gp12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321677,I5G68_gp02,I5G68_gp02,Henu3_gp2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2492961,60321678,I5G68_gp09,I5G68_gp09,Henu3_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321679,I5G68_gp11,I5G68_gp11,Henu3_gp13,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20210424,-
2492961,60321680,I5G68_gp12,I5G68_gp12,Henu3_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321681,I5G68_gp13,I5G68_gp13,Henu3_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321682,I5G68_gp14,I5G68_gp14,Henu3_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321683,I5G68_gp15,I5G68_gp15,Henu3_gp17,-,-,-,putative HTH DNA binding protein,protein-coding,-,-,-,putative HTH DNA binding protein,20201129,-
2492961,60321684,I5G68_gp16,I5G68_gp16,Henu3_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321685,I5G68_gp17,I5G68_gp17,Henu3_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321686,I5G68_gp18,I5G68_gp18,Henu3_gp21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321687,I5G68_gp19,I5G68_gp19,Henu3_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2492961,60321688,I5G68_gp21,I5G68_gp21,Henu3_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
