#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2496992,65066855,terL,KMC41_gp03,ChaoS9_010,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2496992,65066856,por,KMC41_gp04,ChaoS9_015,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2496992,65066857,KMC41_gp05,KMC41_gp05,ChaoS9_020,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210607,-
2496992,65066858,KMC41_gp06,KMC41_gp06,ChaoS9_025,-,-,-,putative head assembly protein,protein-coding,-,-,-,putative head assembly protein,20210607,-
2496992,65066859,KMC41_gp07,KMC41_gp07,ChaoS9_030,-,-,-,putative prohead protease protein,protein-coding,-,-,-,putative prohead protease protein,20210607,-
2496992,65066860,KMC41_gp08,KMC41_gp08,ChaoS9_035,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066861,KMC41_gp09,KMC41_gp09,ChaoS9_040,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2496992,65066862,KMC41_gp10,KMC41_gp10,ChaoS9_045,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066863,KMC41_gp11,KMC41_gp11,ChaoS9_050,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066864,hco,KMC41_gp12,ChaoS9_055,-,-,-,"head closure protein, type 1",protein-coding,-,-,-,"head closure protein, type 1",20210607,-
2496992,65066865,KMC41_gp13,KMC41_gp13,ChaoS9_060,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066866,KMC41_gp14,KMC41_gp14,ChaoS9_065,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066867,nep,KMC41_gp15,ChaoS9_070,-,-,-,"putative neck protein, type 1",protein-coding,-,-,-,"putative neck protein, type 1",20210607,-
2496992,65066868,tco,KMC41_gp16,ChaoS9_075,-,-,-,"tail completion protein, type 1",protein-coding,-,-,-,"tail completion protein, type 1",20210607,-
2496992,65066869,KMC41_gp17,KMC41_gp17,ChaoS9_080,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2496992,65066870,KMC41_gp18,KMC41_gp18,ChaoS9_085,-,-,-,putative tail tube protein,protein-coding,-,-,-,putative tail tube protein,20210607,-
2496992,65066871,KMC41_gp19,KMC41_gp19,ChaoS9_090,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066872,KMC41_gp20,KMC41_gp20,ChaoS9_095,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066873,tpm,KMC41_gp21,ChaoS9_100,-,-,-,tape-measure tail protein,protein-coding,-,-,-,tape-measure tail protein,20210607,-
2496992,65066874,KMC41_gp22,KMC41_gp22,ChaoS9_105,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066875,KMC41_gp23,KMC41_gp23,ChaoS9_110,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066876,KMC41_gp24,KMC41_gp24,ChaoS9_115,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066877,KMC41_gp25,KMC41_gp25,ChaoS9_120,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210607,-
2496992,65066878,KMC41_gp26,KMC41_gp26,ChaoS9_125,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066879,KMC41_gp27,KMC41_gp27,ChaoS9_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2496992,65066880,KMC41_gp28,KMC41_gp28,ChaoS9_135,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066881,bpj,KMC41_gp29,ChaoS9_140,-,-,-,baseplate J family protein,protein-coding,-,-,-,baseplate J family protein,20210607,-
2496992,65066882,KMC41_gp30,KMC41_gp30,ChaoS9_145,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066883,KMC41_gp31,KMC41_gp31,ChaoS9_150,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066884,KMC41_gp32,KMC41_gp32,ChaoS9_155,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066885,KMC41_gp33,KMC41_gp33,ChaoS9_160,-,-,-,repeat-containing tail fiber protein,protein-coding,-,-,-,repeat-containing tail fiber protein,20210607,-
2496992,65066886,KMC41_gp34,KMC41_gp34,ChaoS9_165,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066887,int1,KMC41_gp35,ChaoS9_170,-,-,-,tyrosine integrase/recombinase,protein-coding,-,-,-,tyrosine integrase/recombinase,20210607,-
2496992,65066888,KMC41_gp36,KMC41_gp36,ChaoS9_175,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066889,KMC41_gp37,KMC41_gp37,ChaoS9_180,-,-,-,repeat-containing tail fiber protein,pseudo,-,-,-,-,20210607,-
2496992,65066890,tnpA,KMC41_gp39,ChaoS9_190,-,-,-,IS200-type transposase,protein-coding,-,-,-,IS200-type transposase,20210612,-
2496992,65066891,KMC41_gp40,KMC41_gp40,ChaoS9_195,-,-,-,repeat-containing tail fiber protein,pseudo,-,-,-,-,20210607,-
2496992,65066892,KMC41_gp41,KMC41_gp41,ChaoS9_200,-,-,-,transmembrane domain protein,protein-coding,-,-,-,transmembrane domain protein,20210607,-
2496992,65066893,KMC41_gp42,KMC41_gp42,ChaoS9_205,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20210607,-
2496992,65066894,KMC41_gp43,KMC41_gp43,ChaoS9_210,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066895,KMC41_gp44,KMC41_gp44,ChaoS9_215,-,-,-,"glutamine amidotransferase domain protein, class-II",protein-coding,-,-,-,"glutamine amidotransferase domain protein, class-II",20210607,-
2496992,65066896,KMC41_gp45,KMC41_gp45,ChaoS9_220,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066897,KMC41_gp46,KMC41_gp46,ChaoS9_225,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066898,KMC41_gp47,KMC41_gp47,ChaoS9_230,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066899,KMC41_gp48,KMC41_gp48,ChaoS9_235,-,-,-,VapC family toxin,protein-coding,-,-,-,VapC family toxin,20210607,-
2496992,65066900,KMC41_gp49,KMC41_gp49,ChaoS9_240,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066901,int2,KMC41_gp50,ChaoS9_245,-,-,-,tyrosine integrase/recombinase,protein-coding,-,-,-,tyrosine integrase/recombinase,20210607,-
2496992,65066902,KMC41_gp51,KMC41_gp51,ChaoS9_250,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066903,KMC41_gp52,KMC41_gp52,ChaoS9_255,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066904,parA,KMC41_gp53,ChaoS9_260,-,-,-,plasmid partition protein,protein-coding,-,-,-,plasmid partition protein,20210607,-
2496992,65066905,KMC41_gp54,KMC41_gp54,ChaoS9_265,-,-,-,transmembrane domain protein,protein-coding,-,-,-,transmembrane domain protein,20210607,-
2496992,65066906,KMC41_gp55,KMC41_gp55,ChaoS9_270,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066907,KMC41_gp56,KMC41_gp56,ChaoS9_275,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066908,KMC41_gp57,KMC41_gp57,ChaoS9_280,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066909,KMC41_gp58,KMC41_gp58,ChaoS9_285,-,-,-,transmembrane domain protein,protein-coding,-,-,-,transmembrane domain protein,20210607,-
2496992,65066910,KMC41_gp59,KMC41_gp59,ChaoS9_290,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066911,KMC41_gp60,KMC41_gp60,ChaoS9_295,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210607,-
2496992,65066912,KMC41_gp61,KMC41_gp61,ChaoS9_300,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066913,KMC41_gp62,KMC41_gp62,ChaoS9_305,-,-,-,HNH-type endonuclease / MarR family transcription regulator,protein-coding,-,-,-,HNH-type endonuclease / MarR family transcription regulator,20210607,-
2496992,65066914,KMC41_gp63,KMC41_gp63,ChaoS9_310,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20210607,-
