#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499009,55009906,2,HOU96_gp02,PBI_MAJA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210212,-
2499009,55009907,3,HOU96_gp03,PBI_MAJA_3,-,-,-,RNA binding protein,protein-coding,-,-,-,RNA binding protein,20201221,-
2499009,55009908,4,HOU96_gp04,PBI_MAJA_4,-,-,-,portal and MuF-like fusion protein,protein-coding,-,-,-,portal and MuF-like fusion protein,20210212,-
2499009,55009909,5,HOU96_gp05,PBI_MAJA_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210212,-
2499009,55009910,6,HOU96_gp06,PBI_MAJA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
2499009,55009911,7,HOU96_gp07,PBI_MAJA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009912,8,HOU96_gp08,PBI_MAJA_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2499009,55009913,9,HOU96_gp09,PBI_MAJA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009914,10,HOU96_gp10,PBI_MAJA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009915,11,HOU96_gp11,PBI_MAJA_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
2499009,55009916,12,HOU96_gp12,PBI_MAJA_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2499009,55009917,13,HOU96_gp13,PBI_MAJA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009918,15,HOU96_gp14,PBI_MAJA_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2499009,55009919,16,HOU96_gp16,PBI_MAJA_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210212,-
2499009,55009920,14,HOU96_gp15,PBI_MAJA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2499009,55009921,17,HOU96_gp17,PBI_MAJA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2499009,55009922,18,HOU96_gp18,PBI_MAJA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2499009,55009923,19,HOU96_gp19,PBI_MAJA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2499009,55009924,20,HOU96_gp20,PBI_MAJA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009925,21,HOU96_gp21,PBI_MAJA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2499009,55009926,22,HOU96_gp22,PBI_MAJA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009927,23,HOU96_gp23,PBI_MAJA_23,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210212,-
2499009,55009928,24,HOU96_gp24,PBI_MAJA_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2499009,55009929,25,HOU96_gp25,PBI_MAJA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499009,55009930,26,HOU96_gp26,PBI_MAJA_26,-,-,-,esterase,protein-coding,-,-,-,esterase,20210212,-
2499009,55009931,27,HOU96_gp27,PBI_MAJA_27,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210212,-
2499009,55009932,28,HOU96_gp28,PBI_MAJA_28,-,-,-,integrase,protein-coding,-,-,-,integrase,20210212,-
2499009,55009933,29,HOU96_gp29,PBI_MAJA_29,-,-,-,integrase,protein-coding,-,-,-,integrase,20210212,-
2499009,55009934,30,HOU96_gp30,PBI_MAJA_30,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210212,-
2499009,55009935,31,HOU96_gp31,PBI_MAJA_31,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201221,-
2499009,55009936,32,HOU96_gp32,PBI_MAJA_32,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210212,-
2499009,55009937,33,HOU96_gp33,PBI_MAJA_33,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210212,-
2499009,55009938,34,HOU96_gp34,PBI_MAJA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009939,35,HOU96_gp35,PBI_MAJA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009940,36,HOU96_gp36,PBI_MAJA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009941,37,HOU96_gp37,PBI_MAJA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009942,38,HOU96_gp38,PBI_MAJA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009943,39,HOU96_gp39,PBI_MAJA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009944,40,HOU96_gp40,PBI_MAJA_40,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210212,-
2499009,55009945,41,HOU96_gp41,PBI_MAJA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009946,42,HOU96_gp42,PBI_MAJA_42,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210212,-
2499009,55009947,43,HOU96_gp43,PBI_MAJA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009948,44,HOU96_gp44,PBI_MAJA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009949,45,HOU96_gp45,PBI_MAJA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009950,46,HOU96_gp46,PBI_MAJA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499009,55009951,47,HOU96_gp47,PBI_MAJA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499009,55009952,48,HOU96_gp48,PBI_MAJA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
