#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2502448,60333079,3,I5H81_gp003,SEA_POLLYWOG_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2502448,60333080,4,I5H81_gp004,SEA_POLLYWOG_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
2502448,60333081,5,I5H81_gp005,SEA_POLLYWOG_5,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201129,-
2502448,60333082,6,I5H81_gp006,SEA_POLLYWOG_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2502448,60333083,7,I5H81_gp007,SEA_POLLYWOG_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2502448,60333084,8,I5H81_gp008,SEA_POLLYWOG_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2502448,60333085,9,I5H81_gp009,SEA_POLLYWOG_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2502448,60333086,10,I5H81_gp010,SEA_POLLYWOG_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2502448,60333087,11,I5H81_gp011,SEA_POLLYWOG_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2502448,60333088,12,I5H81_gp012,SEA_POLLYWOG_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2502448,60333089,14,I5H81_gp013,SEA_POLLYWOG_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2502448,60333090,15,I5H81_gp015,SEA_POLLYWOG_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2502448,60333091,13,I5H81_gp014,SEA_POLLYWOG_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2502448,60333092,16,I5H81_gp016,SEA_POLLYWOG_16,-,-,-,transposase,protein-coding,-,-,-,transposase,20210123,-
2502448,60333093,17,I5H81_gp017,SEA_POLLYWOG_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2502448,60333094,18,I5H81_gp018,SEA_POLLYWOG_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2502448,60333095,19,I5H81_gp019,SEA_POLLYWOG_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2502448,60333096,20,I5H81_gp020,SEA_POLLYWOG_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2502448,60333097,21,I5H81_gp021,SEA_POLLYWOG_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2502448,60333098,22,I5H81_gp022,SEA_POLLYWOG_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2502448,60333099,23,I5H81_gp023,SEA_POLLYWOG_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333100,24,I5H81_gp024,SEA_POLLYWOG_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333101,25,I5H81_gp025,SEA_POLLYWOG_25,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20210417,-
2502448,60333102,27,I5H81_gp027,SEA_POLLYWOG_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333103,28,I5H81_gp028,SEA_POLLYWOG_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333104,29,I5H81_gp029,SEA_POLLYWOG_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333105,30,I5H81_gp030,SEA_POLLYWOG_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210427,-
2502448,60333106,31,I5H81_gp031,SEA_POLLYWOG_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
